time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,0,0,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0,0
864042,63,2,719754,719754,864042,144288,144288,144288,0,0,0,0
867080,86,4,810604,810619,867080,56461,56476,56461,15,0,0,0
987146,117,2,961023,961026,987146,26120,26123,23673,2450,4,80,0
1015061,174,2,961222,961222,1015061,53839,53839,30389,23450,2,60,0
1029696,124,2,961048,961048,1029696,68648,68648,38311,30337,4,200,0
1035886,195,2,961295,961295,1035886,74591,74591,44984,29607,2,120,0
1050351,181,2,961246,961246,1050351,89105,89105,51020,38085,3,60,0
1053379,151,2,961143,961143,1053379,92236,92236,41336,50900,4,80,0
1067870,126,2,961055,961055,1067870,106815,106815,55829,50986,5,100,0
1067887,177,2,961233,961233,1067887,106654,106654,54078,52576,4,80,0
1069186,199,2,961308,961308,1069186,107878,107878,60778,47100,3,180,0
1071622,170,2,961208,961208,1071622,110414,110414,57838,52576,4,160,0
1094810,212,2,961361,961361,1094810,133449,133449,71896,61553,3,30,0
1098981,202,2,961318,961318,1098981,137663,137663,57433,80230,5,50,0
1113924,141,2,961106,961106,1113924,152818,152818,83048,69770,5,200,0
