time,max,99th,95th,med
0,7,7,7,7
6,22,22,22,22
10,22,7,7,22
11,22,12,12,22
12,22,17,17,22
14,22,22,22,22
17,22,22,22,22
18,22,22,22,22
21,22,22,22,22
22,22,22,22,22
25,22,22,22,22
26,22,22,22,22
29,22,22,22,22
30,22,22,22,22
3250,22,22,22,22
3256,22,22,22,22
3260,22,22,22,22
3261,22,22,22,22
3262,22,22,22,22
3264,22,22,22,22
3267,22,22,22,22
3268,22,22,22,22
3271,22,22,22,22
3272,22,22,22,22
3275,22,22,22,22
3276,22,22,22,22
3279,22,22,22,22
3280,22,22,22,22
10006,22,22,22,22
27794,22,22,22,22
44477,22,22,22,22
44488,22,22,22,22
44497,22,22,22,22
44498,22,22,22,22
44500,22,22,22,22
44506,22,22,22,22
44507,22,22,22,22
44508,22,22,22,22
47452,22,22,22,22
47727,22,22,22,22
47738,22,22,22,22
47747,22,22,22,22
47748,22,22,22,22
47750,22,22,22,22
47756,22,22,22,22
47757,22,22,22,22
47758,22,22,22,22
50932,22,22,22,22
71728,22,22,22,17
88003,22,22,22,17
95121,22,17,17,17
96445,22,17,17,17
138519,22,17,17,17
164380,17,17,17,17
205786,17,17,17,17
214591,17,17,17,17
224994,22,17,17,17
224997,22,17,17,17
224999,22,22,22,17
225000,22,22,22,17
225010,22,22,22,17
225012,22,22,22,17
225015,22,22,22,22
225016,22,22,22,22
227498,22,22,22,22
228244,22,22,22,22
228247,22,22,22,22
228249,22,22,22,22
228250,22,22,22,22
228262,22,22,22,22
228265,22,22,22,22
228266,22,22,22,22
233159,22,22,22,17
249917,22,22,22,17
283022,22,22,22,17
291278,22,22,22,17
291287,22,22,22,17
291295,22,22,22,17
291300,22,22,22,12
291309,22,22,22,12
291313,22,22,22,7
291315,22,22,22,7
291317,22,22,22,7
292120,22,22,22,7
292730,22,22,22,7
329579,22,22,22,7
343915,22,22,22,7
343918,22,22,22,7
343923,22,22,22,7
343925,22,22,22,7
343968,22,22,22,7
343982,22,22,17,7
343996,22,22,17,7
343999,22,22,17,7
344791,22,22,17,7
345402,22,22,17,7
365796,22,22,17,7
398384,22,17,17,7
399086,22,17,17,7
399377,17,17,17,7
510176,17,17,17,7
510191,17,17,17,7
510211,17,17,17,7
511015,17,17,17,7
511627,17,17,17,7
603106,17,17,17,7
621381,17,17,17,7
632320,17,17,17,7
632336,17,17,17,7
632338,17,17,17,7
633146,17,17,17,7
633756,17,17,17,7
687598,17,17,17,7
696856,17,17,17,7
712420,17,17,17,7
719719,17,17,17,7
719728,17,17,17,7
719742,17,17,17,7
719748,17,17,17,7
719754,17,17,17,7
719767,17,17,17,7
719816,17,17,17,7
719849,17,17,17,7
721409,17,17,17,7
722238,17,17,17,7
769021,17,17,17,7
769058,17,17,17,7
769060,17,17,17,7
769074,17,17,17,7
769093,17,17,17,7
769100,17,17,17,7
769106,17,17,17,7
769128,17,17,17,7
770700,17,17,17,7
771522,17,17,17,7
810492,17,17,17,7
810498,17,17,17,7
810513,17,17,17,7
810521,17,17,17,7
810528,17,17,17,7
810542,17,17,17,7
810548,17,17,17,7
810564,17,17,17,7
810573,17,17,17,7
810588,17,17,17,7
810604,17,17,17,7
810619,17,17,17,7
810624,17,17,17,7
810916,17,17,17,7
810994,17,17,17,7
810997,17,17,17,7
811684,17,17,17,7
812305,17,17,17,7
813118,17,17,17,7
864042,17,17,17,7
867080,17,17,17,7
960932,17,17,17,7
960936,17,17,17,7
960939,17,17,17,7
960944,17,17,17,7
960948,17,17,17,12
960951,17,17,17,12
960956,17,17,17,12
960960,17,17,17,12
960964,17,17,17,12
960968,17,17,17,12
960971,17,17,12,12
960974,17,17,17,12
960978,17,17,12,12
960981,17,17,17,12
960985,17,17,12,12
960989,17,17,17,12
960993,17,17,12,12
960997,17,17,17,12
961001,17,17,12,12
961004,17,17,17,12
961008,17,17,12,12
961011,17,17,12,12
961015,17,12,12,12
961019,12,12,12,12
961023,12,12,12,12
961026,12,12,12,12
961030,17,12,12,12
961033,12,12,12,12
961036,17,12,12,12
961041,12,12,12,12
961045,17,12,12,12
961048,12,12,12,12
961051,17,12,12,12
961055,12,12,12,12
961058,17,12,12,12
961062,12,12,12,12
961065,17,12,12,12
961069,12,12,12,12
961072,17,12,12,12
961075,12,12,12,12
961078,17,12,12,12
961082,12,12,12,12
961086,17,12,12,12
961089,12,12,12,12
961092,17,12,12,12
961095,12,12,12,12
961099,17,12,12,12
961102,12,12,12,12
961106,12,12,12,12
