time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,0,0,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0,0
865153,63,2,719754,719754,865153,145399,145399,144288,1111,1,40,0
972957,16,1,44477,44477,972957,928480,928480,926043,2437,1,10,0
1017205,47,4,343925,343925,1017205,673280,673280,669539,3741,1,40,0
1032601,64,2,719767,719767,1032601,312834,312834,307293,5541,2,40,0
1053659,62,2,719748,719748,1053659,333911,333911,329010,4901,2,100,0
1055415,65,2,719816,719816,1055415,335599,335599,330045,5554,2,60,0
1070542,66,2,719849,719849,1070542,350693,350693,345135,5558,2,120,0
1105942,23,1,44500,44500,1105942,1061442,1061442,1058998,2444,1,40,0
1106295,3,1,6,6,1106295,1106289,1106289,1104675,1614,1,20,0
1144518,34,1,225015,225015,1144518,919503,919503,915833,3670,1,10,0
1200233,12,1,25,25,1200233,1200208,1200208,1197774,2434,1,30,0
1246722,54,4,510211,510211,1246722,736511,736511,731668,4843,2,100,0
1272620,17,1,44477,44477,1272620,1228143,1228143,1225706,2437,1,50,0
1326453,56,4,632320,632320,1326453,694133,694133,689277,4856,2,100,0
1358391,35,1,225016,225016,1358391,1133375,1133375,1129705,3670,1,30,0
