time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,0,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0
864042,63,2,719754,719754,864042,144288,144288,144288,0,0,0
970520,16,1,44477,44477,970520,926043,926043,926043,0,0,0
1013464,47,4,343925,343925,1013464,669539,669539,669539,0,0,0
1027060,64,2,719767,719767,1027060,307293,307293,307293,0,0,0
1048758,62,2,719748,719748,1048758,329010,329010,329010,0,0,0
1049861,65,2,719816,719816,1049861,330045,330045,330045,0,0,0
1064984,66,2,719849,719849,1064984,345135,345135,345135,0,0,0
1103498,23,1,44500,44500,1103498,1058998,1058998,1058998,0,0,0
1104681,3,1,6,6,1104681,1104675,1104675,1104675,0,0,0
1140848,34,1,225015,225015,1140848,915833,915833,915833,0,0,0
1197799,12,1,25,25,1197799,1197774,1197774,1197774,0,0,0
1241879,54,4,510211,510211,1241879,731668,731668,731668,0,0,0
1270183,17,1,44477,44477,1270183,1225706,1225706,1225706,0,0,0
1321597,56,4,632320,632320,1321597,689277,689277,689277,0,0,0
1354721,35,1,225016,225016,1354721,1129705,1129705,1129705,0,0,0
1419824,49,4,343982,343982,1419824,1075842,1075842,1075842,0,0,0
1883217,60,2,719728,719728,1883217,1163489,1163489,1163489,0,0,0
1896000,76,4,810492,810492,1896000,1085508,1085508,1085508,0,0,0
1916043,19,1,44488,44488,1916043,1871555,1871555,1871555,0,0,0
2278178,45,4,343918,343918,2278178,1934260,1934260,1934260,0,0,0
2334639,86,4,810604,2278178,2334639,56461,1524035,56461,1467574,0,0
2388110,5,1,11,11,2388110,2388099,2388099,2388099,0,0,0
2403324,14,1,29,29,2403324,2403295,2403295,2403295,0,0,0
2412330,29,1,224997,224997,2412330,2187333,2187333,2187333,0,0,0
2530618,42,4,291315,291315,2530618,2239303,2239303,2239303,0,0,0
2703108,37,4,291287,291287,2703108,2411821,2411821,2411821,0,0,0
2734613,26,1,44508,44508,2734613,2690105,2690105,2690105,0,0,0
2736078,59,2,719719,719719,2736078,2016359,2016359,2016359,0,0,0
2763838,83,4,810564,1419824,2763838,1344014,1953274,1344014,609260,0,0
2788633,10,1,21,21,2788633,2788612,2788612,2788612,0,0,0
2799821,6,1,12,12,2799821,2799809,2799809,2799809,0,0,0
2962745,79,4,810521,1049861,2962745,1912884,2152224,1912884,239340,0,0
3210079,20,1,44497,44497,3210079,3165582,3165582,3165582,0,0,0
3457919,74,2,769106,769106,3457919,2688813,2688813,2688813,0,0,0
3467836,92,4,810997,2799821,3467836,668015,2656839,668015,1988824,0,0
3518039,72,2,769093,769093,3518039,2748946,2748946,2748946,0,0,0
