time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,0,0,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0,0
864042,63,2,719754,719754,864042,144288,144288,144288,0,0,0,0
970520,16,1,44477,44477,970520,926043,926043,926043,0,0,0,0
984699,117,2,961023,961026,984699,23673,23676,23673,3,0,0,0
1000909,174,2,961222,970520,1000909,30389,39687,30389,9298,0,0,0
1013464,47,4,343925,343925,1013464,669539,669539,669539,0,0,0,0
1023010,124,2,961048,984699,1023010,38311,61962,38311,23651,0,0,0
1027060,64,2,719767,719767,1027060,307293,307293,307293,0,0,0,0
1042245,151,2,961143,1000909,1042245,41336,81102,41336,39766,0,0,0
1048758,62,2,719748,719748,1048758,329010,329010,329010,0,0,0,0
1049861,65,2,719816,719816,1049861,330045,330045,330045,0,0,0,0
1058448,195,2,961295,1013464,1058448,44984,97153,44984,52169,0,0,0
1064484,181,2,961246,1013464,1064484,51020,103238,51020,52218,0,0,0
1064984,66,2,719849,719849,1064984,345135,345135,345135,0,0,0,0
1077088,177,2,961233,1023010,1077088,54078,115855,54078,61777,0,0,0
1082889,126,2,961055,1027060,1082889,55829,121834,55829,66005,0,0,0
