time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
287957,4,1,256418,256418,287957,31539,31539,31539,0,0,0
291767,2,1,251674,251674,291767,40093,40093,40093,0,0,0
314735,8,1,258886,258886,314735,55849,55849,55849,0,0,0
322266,18,4,274530,274530,322266,47736,47736,47736,0,0,0
323621,7,1,258863,258863,323621,64758,64758,64758,0,0,0
340950,24,1,328412,328412,340950,12538,12538,12538,0,0,0
370895,11,1,259600,259600,370895,111295,111295,111295,0,0,0
378921,13,1,262503,262503,378921,116418,116418,116418,0,0,0
381592,22,1,310067,310067,381592,71525,71525,71525,0,0,0
423645,30,1,409827,409827,423645,13818,13818,13818,0,0,0
427463,21,1,309095,309095,427463,118368,118368,118368,0,0,0
434937,9,1,258888,258888,434937,176049,176049,176049,0,0,0
435612,25,1,328414,328414,435612,107198,107198,107198,0,0,0
461937,15,1,262523,262523,461937,199414,199414,199414,0,0,0
507107,33,2,445554,445554,507107,61553,61553,61553,0,0,0
526225,32,4,438136,438136,526225,88089,88089,88089,0,0,0
611761,38,1,571052,571052,611761,40709,40709,40709,0,0,0
681498,41,2,595709,595709,681498,85789,85789,85789,0,0,0
768308,31,4,420889,420889,768308,347419,347419,347419,0,0,0
785065,37,1,559930,559930,785065,225135,225135,225135,0,0,0
898683,42,1,667980,667980,898683,230703,230703,230703,0,0,0
1015055,28,1,396126,396126,1015055,618929,618929,618929,0,0,0
1029525,47,1,977077,977077,1029525,52448,52448,52448,0,0,0
1057527,12,1,259609,259609,1057527,797918,797918,797918,0,0,0
1078190,29,1,409806,409806,1078190,668384,668384,668384,0,0,0
1090799,57,4,1089801,1089801,1090799,998,998,998,0,0,0
1091516,58,4,1090064,1090064,1091516,1452,1452,1452,0,0,0
1099193,53,1,1085610,1085610,1099193,13583,13583,13583,0,0,0
1099261,55,1,1088036,1088036,1099261,11225,11225,11225,0,0,0
1125316,64,4,1122645,1122645,1125316,2671,2671,2671,0,0,0
1146205,63,4,1122645,1122645,1146205,23560,23560,23560,0,0,0
1163074,66,1,1148547,1148547,1163074,14527,14527,14527,0,0,0
1181518,49,1,1070705,1070705,1181518,110813,110813,110813,0,0,0
1184080,56,1,1088037,1088037,1184080,96043,96043,96043,0,0,0
1186580,60,4,1094822,1094822,1186580,91758,91758,91758,0,0,0
1214088,54,1,1085610,1085610,1214088,128478,128478,128478,0,0,0
1274174,36,1,552756,552756,1274174,721418,721418,721418,0,0,0
1298973,1,4,219316,219316,1298973,1079657,1079657,1079657,0,0,0
1304507,72,1,1184265,1184265,1304507,120242,120242,120242,0,0,0
1308950,16,4,268877,268877,1308950,1040073,1040073,1040073,0,0,0
1314625,74,1,1196788,1196788,1314625,117837,117837,117837,0,0,0
1320324,71,1,1184261,1184261,1320324,136063,136063,136063,0,0,0
1398513,20,1,308826,308826,1398513,1089687,1089687,1089687,0,0,0
1422899,86,4,1322235,1322235,1422899,100664,100664,100664,0,0,0
1433897,59,4,1090067,1090067,1433897,343830,343830,343830,0,0,0
1469048,65,1,1148546,1148546,1469048,320502,320502,320502,0,0,0
1485472,92,1,1362333,1362333,1485472,123139,123139,123139,0,0,0
1581042,79,1,1282384,1282384,1581042,298658,298658,298658,0,0,0
1589969,83,1,1307455,1307455,1589969,282514,282514,282514,0,0,0
1600196,17,4,273432,273432,1600196,1326764,1326764,1326764,0,0,0
1601152,73,1,1196785,1196785,1601152,404367,404367,404367,0,0,0
1609683,91,1,1362294,1362294,1609683,247389,247389,247389,0,0,0
1679614,111,1,1667778,1667778,1679614,11836,11836,11831,5,1,0
1690549,105,4,1631317,1631317,1690549,59232,59232,56366,2866,1,0
1723795,101,1,1610864,1610864,1723795,112931,112931,112931,0,0,0
1726639,117,1,1696457,1696457,1726639,30182,30182,14951,15231,2,0
1750536,112,1,1667783,1667783,1750536,82753,82753,70301,12452,4,0
1774225,104,1,1630997,1630997,1774225,143228,143228,106717,36511,5,0
1778300,124,4,1777206,1777206,1778300,1094,1094,1094,0,0,0
1789373,3,1,251699,251699,1789373,1537674,1537674,1537674,0,0,0
1825158,126,1,1784253,1784253,1825158,40905,40905,9367,31538,2,0
1863776,102,1,1610875,1610875,1863776,252901,252901,247210,5691,3,0
1880770,14,1,262517,262517,1880770,1618253,1618253,1618253,0,0,0
1881378,125,1,1784253,1784253,1881378,97125,97125,93280,3845,2,0
1887613,128,1,1820628,1820628,1887613,66985,66985,66985,0,0,0
1889923,106,4,1631322,1631322,1889923,258601,258601,80669,177932,9,0
1911840,133,1,1904139,1904139,1911840,7701,7701,7701,0,0,0
1944241,5,1,256458,256458,1944241,1687783,1687783,1687783,0,0,0
1958324,135,1,1905356,1905356,1958324,52968,52968,37488,15480,6,0
1999200,52,1,1070743,1070743,1999200,928457,928457,928457,0,0,0
2007444,137,1,1907471,1907471,2007444,99973,99973,70403,29570,1,0
2036842,119,1,1716607,1716607,2036842,320235,320235,315404,4831,3,0
2067621,87,1,1322761,1322761,2067621,744860,744860,744860,0,0,0
2068982,132,1,1904135,1904135,2068982,164847,164847,159145,5702,4,0
2131004,118,1,1696457,1696457,2131004,434547,434547,412164,22383,5,0
2140876,67,1,1151950,1151950,2140876,988926,988926,988926,0,0,0
2144563,10,1,259585,259585,2144563,1884978,1884978,1884978,0,0,0
2149777,159,1,2042879,2042879,2149777,106898,106898,12414,94484,1,0
2164758,174,1,2161425,2161425,2164758,3333,3333,3333,0,0,0
2164772,170,1,2161107,2161107,2164772,3665,3665,3665,0,0,0
2186268,154,1,2041886,2041886,2186268,144382,144382,124105,20277,4,0
2196862,157,1,2042575,2042575,2196862,154287,154287,65443,88844,2,0
2205866,70,4,1179128,1179128,2205866,1026738,1026738,1026738,0,0,0
2209462,107,4,1647890,1647890,2209462,561572,561572,20218,541354,2,0
2213491,45,4,693196,693196,2213491,1520295,1520295,1520295,0,0,0
2242982,108,4,1651211,1651211,2242982,591771,591771,35930,555841,1,0
2245422,161,1,2059479,2059479,2245422,185943,185943,66354,119589,1,0
2271833,160,1,2042954,2042954,2271833,228879,228879,118282,110597,3,0
2286140,153,1,2041865,2041865,2286140,244275,244275,225891,18384,5,0
2301421,164,1,2062114,2062114,2301421,239307,239307,52907,186400,3,0
2320442,163,1,2062114,2062114,2320442,258328,258328,73684,184644,3,0
2329938,146,1,2013046,2013046,2329938,316892,316892,293181,23711,6,0
2366482,169,1,2161106,2161106,2366482,205376,205376,105661,99715,6,0
2378599,162,1,2059484,2059484,2378599,319115,319115,182235,136880,4,0
2396576,171,1,2161132,2161132,2396576,235444,235444,135648,99796,6,0
2414578,77,1,1281443,1281443,2414578,1133135,1133135,1133135,0,0,0
2466934,78,1,1281444,1281444,2466934,1185490,1185490,1185490,0,0,0
2499867,186,1,2247257,2247257,2499867,252610,252610,175225,77385,4,0
2503974,51,1,1070742,1070742,2503974,1433232,1433232,1433232,0,0,0
2512314,100,4,1571742,1571742,2512314,940572,940572,932595,7977,3,0
2585331,188,1,2247322,2247322,2585331,338009,338009,221499,116510,3,0
2594423,176,1,2161666,2161666,2594423,432757,432757,291212,141545,3,0
2596877,200,1,2360615,2360615,2596877,236262,236262,124005,112257,5,0
2599562,223,1,2548010,2548010,2599562,51552,51552,16354,35198,2,0
2648341,110,1,1664218,1664218,2648341,984123,984123,959118,25005,10,0
2659006,99,1,1571375,1571375,2659006,1087631,1087631,1082355,5276,4,0
2673964,226,1,2561761,2561761,2673964,112203,112203,79192,33011,2,0
