time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
287957,4,1,256418,256418,287957,31539,31539,31539,0,0,0
291767,2,1,251674,251674,291767,40093,40093,40093,0,0,0
314735,8,1,258886,258886,314735,55849,55849,55849,0,0,0
322266,18,4,274530,274530,322266,47736,47736,47736,0,0,0
323621,7,1,258863,258863,323621,64758,64758,64758,0,0,0
340950,24,1,328412,328412,340950,12538,12538,12538,0,0,0
370895,11,1,259600,259600,370895,111295,111295,111295,0,0,0
378921,13,1,262503,262503,378921,116418,116418,116418,0,0,0
381592,22,1,310067,310067,381592,71525,71525,71525,0,0,0
423645,30,1,409827,409827,423645,13818,13818,13818,0,0,0
427463,21,1,309095,309095,427463,118368,118368,118368,0,0,0
434937,9,1,258888,258888,434937,176049,176049,176049,0,0,0
435612,25,1,328414,328414,435612,107198,107198,107198,0,0,0
461937,15,1,262523,262523,461937,199414,199414,199414,0,0,0
507107,33,2,445554,445554,507107,61553,61553,61553,0,0,0
526225,32,4,438136,438136,526225,88089,88089,88089,0,0,0
611761,38,1,571052,571052,611761,40709,40709,40709,0,0,0
681498,41,2,595709,595709,681498,85789,85789,85789,0,0,0
768308,31,4,420889,420889,768308,347419,347419,347419,0,0,0
785065,37,1,559930,559930,785065,225135,225135,225135,0,0,0
898683,42,1,667980,667980,898683,230703,230703,230703,0,0,0
1015055,28,1,396126,396126,1015055,618929,618929,618929,0,0,0
1029525,47,1,977077,977077,1029525,52448,52448,52448,0,0,0
1057527,12,1,259609,259609,1057527,797918,797918,797918,0,0,0
1078190,29,1,409806,409806,1078190,668384,668384,668384,0,0,0
1090799,57,4,1089801,1089801,1090799,998,998,998,0,0,0
1091516,58,4,1090064,1090064,1091516,1452,1452,1452,0,0,0
1099193,53,1,1085610,1085610,1099193,13583,13583,13583,0,0,0
1099261,55,1,1088036,1088036,1099261,11225,11225,11225,0,0,0
1125316,64,4,1122645,1122645,1125316,2671,2671,2671,0,0,0
1146205,63,4,1122645,1122645,1146205,23560,23560,23560,0,0,0
1163074,66,1,1148547,1148547,1163074,14527,14527,14527,0,0,0
1181518,49,1,1070705,1070705,1181518,110813,110813,110813,0,0,0
1184080,56,1,1088037,1088037,1184080,96043,96043,96043,0,0,0
1186580,60,4,1094822,1094822,1186580,91758,91758,91758,0,0,0
1214088,54,1,1085610,1085610,1214088,128478,128478,128478,0,0,0
1274174,36,1,552756,552756,1274174,721418,721418,721418,0,0,0
1298973,1,4,219316,219316,1298973,1079657,1079657,1079657,0,0,0
1304507,72,1,1184265,1184265,1304507,120242,120242,120242,0,0,0
1308950,16,4,268877,268877,1308950,1040073,1040073,1040073,0,0,0
1314625,74,1,1196788,1196788,1314625,117837,117837,117837,0,0,0
1320324,71,1,1184261,1184261,1320324,136063,136063,136063,0,0,0
1398513,20,1,308826,308826,1398513,1089687,1089687,1089687,0,0,0
1422899,86,4,1322235,1322235,1422899,100664,100664,100664,0,0,0
1433897,59,4,1090067,1090067,1433897,343830,343830,343830,0,0,0
1469048,65,1,1148546,1148546,1469048,320502,320502,320502,0,0,0
1485472,92,1,1362333,1362333,1485472,123139,123139,123139,0,0,0
1581042,79,1,1282384,1282384,1581042,298658,298658,298658,0,0,0
1589969,83,1,1307455,1307455,1589969,282514,282514,282514,0,0,0
1600196,17,4,273432,273432,1600196,1326764,1326764,1326764,0,0,0
1601152,73,1,1196785,1196785,1601152,404367,404367,404367,0,0,0
1609683,91,1,1362294,1362294,1609683,247389,247389,247389,0,0,0
1668108,107,4,1647890,1647890,1668108,20218,20218,20218,0,0,0
1679609,111,1,1667778,1667778,1679609,11831,11831,11831,0,0,0
1687141,108,4,1651211,1651211,1687141,35930,35930,35930,0,0,0
1687683,105,4,1631317,1631317,1687683,56366,56366,56366,0,0,0
1711408,117,1,1696457,1696457,1711408,14951,14951,14951,0,0,0
1711991,106,4,1631322,1631322,1711991,80669,80669,80669,0,0,0
1723795,101,1,1610864,1610864,1723795,112931,112931,112931,0,0,0
1737714,104,1,1630997,1630997,1737714,106717,106717,106717,0,0,0
1738084,112,1,1667783,1667783,1738084,70301,70301,70301,0,0,0
1755031,116,4,1695296,1695296,1755031,59735,59735,59735,0,0,0
1778300,124,4,1777206,1777206,1778300,1094,1094,1094,0,0,0
1789373,3,1,251699,251699,1789373,1537674,1537674,1537674,0,0,0
1793620,126,1,1784253,1784253,1793620,9367,9367,9367,0,0,0
1822962,122,4,1722100,1722100,1822962,100862,100862,100862,0,0,0
1858085,102,1,1610875,1610875,1858085,247210,247210,247210,0,0,0
1877533,125,1,1784253,1784253,1877533,93280,93280,93280,0,0,0
1880770,14,1,262517,262517,1880770,1618253,1618253,1618253,0,0,0
1887613,128,1,1820628,1820628,1887613,66985,66985,66985,0,0,0
1911840,133,1,1904139,1904139,1911840,7701,7701,7701,0,0,0
1934939,140,4,1927711,1927711,1934939,7228,7228,7228,0,0,0
1937844,141,4,1927712,1932851,1937844,4993,10132,4993,5139,0,0
1939607,138,4,1920806,1922368,1939607,17239,18801,17239,1562,0,0
1942844,135,1,1905356,1905356,1942844,37488,37488,37488,0,0,0
1944241,5,1,256458,256458,1944241,1687783,1687783,1687783,0,0,0
1977874,137,1,1907471,1907471,1977874,70403,70403,70403,0,0,0
1983973,142,4,1932851,1934939,1983973,49034,51122,49034,2088,0,0
1999200,52,1,1070743,1070743,1999200,928457,928457,928457,0,0,0
2012769,123,4,1777206,1778300,2012769,234469,235563,234469,1094,0,0
2032011,119,1,1716607,1716607,2032011,315404,315404,315404,0,0,0
2049516,151,4,2041079,2041299,2049516,8217,8437,8217,220,0,0
2055293,159,1,2042879,2042879,2055293,12414,12414,12414,0,0,0
2056743,156,4,2042018,2042593,2056743,14150,14725,14150,575,0,0
2063280,132,1,1904135,1904135,2063280,159145,159145,159145,0,0,0
2067621,87,1,1322761,1322761,2067621,744860,744860,744860,0,0,0
2108018,157,1,2042575,2042575,2108018,65443,65443,65443,0,0,0
2108621,118,1,1696457,1696457,2108621,412164,412164,412164,0,0,0
2115021,164,1,2062114,2062114,2115021,52907,52907,52907,0,0,0
2125833,161,1,2059479,2059479,2125833,66354,66354,66354,0,0,0
2135798,163,1,2062114,2062114,2135798,73684,73684,73684,0,0,0
2140876,67,1,1151950,1151950,2140876,988926,988926,988926,0,0,0
2144563,10,1,259585,259585,2144563,1884978,1884978,1884978,0,0,0
2161236,160,1,2042954,2042954,2161236,118282,118282,118282,0,0,0
2164758,174,1,2161425,2161425,2164758,3333,3333,3333,0,0,0
2164772,170,1,2161107,2161107,2164772,3665,3665,3665,0,0,0
2165991,154,1,2041886,2041886,2165991,124105,124105,124105,0,0,0
2205866,70,4,1179128,1179128,2205866,1026738,1026738,1026738,0,0,0
2213491,45,4,693196,693196,2213491,1520295,1520295,1520295,0,0,0
2216377,130,4,1821516,1822962,2216377,393415,394861,393415,1446,0,0
2241719,162,1,2059484,2059484,2241719,182235,182235,182235,0,0,0
2266767,169,1,2161106,2161106,2266767,105661,105661,105661,0,0,0
2267756,153,1,2041865,2041865,2267756,225891,225891,225891,0,0,0
2284114,181,4,2246807,2247257,2284114,36857,37307,36857,450,0,0
2296780,171,1,2161132,2161132,2296780,135648,135648,135648,0,0,0
2306227,146,1,2013046,2013046,2306227,293181,293181,293181,0,0,0
2316711,139,4,1922368,1937844,2316711,378867,394343,378867,15476,0,0
2324162,195,4,2278490,2278490,2324162,45672,45672,45672,0,0,0
