time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
524706,4,8,512614,512614,524706,12092,12092,12092,0,0,0
559303,1,4,1456,1456,559303,557847,557847,557847,0,0,0
566163,7,8,542432,542432,566163,23731,23731,23731,0,0,0
597706,8,8,589714,589714,597706,7992,7992,7992,0,0,0
700895,16,8,680163,680163,700895,20732,20732,20732,0,0,0
710452,9,8,665621,665621,710452,44831,44831,44831,0,0,0
711640,15,8,680146,680146,711640,31494,31494,31494,0,0,0
872119,17,1,773814,773814,872119,98305,98305,98305,0,0,0
1017657,18,8,895207,895207,1017657,122450,122450,122450,0,0,0
1121086,5,8,517969,517969,1121086,603117,603117,603117,0,0,0
1172065,19,8,929584,929584,1172065,242481,242481,242481,0,0,0
1211878,6,8,533527,533527,1211878,678351,678351,678351,0,0,0
1334260,2,4,352430,352430,1334260,981830,981830,981830,0,0,0
1431633,21,32,937075,1172065,1431633,259568,494558,259568,234990,0,0
1517459,10,8,665969,665969,1517459,851490,851490,851490,0,0,0
1547690,24,8,972336,1431633,1547690,116057,575354,116057,459297,0,0
1597311,22,32,937097,1431633,1597311,165678,660214,165678,494536,0,0
1610723,23,1,943298,1431633,1610723,179090,667425,179090,488335,0,0
1700270,30,8,1198165,1597311,1700270,102959,502105,102959,399146,0,0
1779591,32,8,1198208,1700270,1779591,79321,581383,79321,502062,0,0
2259518,11,8,672805,672805,2259518,1586713,1586713,1586713,0,0,0
2513380,25,8,972341,1517459,2513380,995921,1541039,995921,545118,0,0
2725104,13,8,672933,672933,2725104,2052171,2052171,2052171,0,0,0
3844436,33,8,1198246,1779591,3844436,2064845,2646190,2064845,581345,0,0
4568985,28,8,972388,1597311,4568985,2971674,3596597,2971674,624923,0,0
5352613,0,4,0,0,5352613,5352613,5352613,5352613,0,0,0
5512598,20,32,937052,937052,5512598,4575546,4575546,4575546,0,0,0
5704228,27,8,972384,1597311,5704228,4106917,4731844,4106917,624927,0,0
6482867,29,8,1198143,1597311,6482867,4885556,5284724,4885556,399168,0,0
9916829,31,8,1198187,1610723,9916829,8306106,8718642,8306106,412536,0,0
10134226,26,8,972381,1547690,10134226,8586536,9161845,8586536,575309,0,0
10146721,37,8,1205035,10134226,10146721,12495,8941686,12495,8929191,0,0
10149117,38,8,1207098,10146721,10149117,2396,8942019,2396,8939623,0,0
10164386,39,8,1209098,10149117,10164386,15269,8955288,15269,8940019,0,0
10176260,41,4,1222021,10164386,10176260,11874,8954239,11874,8942365,0,0
10260578,40,8,1212768,10164386,10260578,96192,9047810,96192,8951618,0,0
10624935,35,32,1202338,5512598,10624935,5112337,9422597,5112337,4310260,0,0
11169446,42,32,1273988,10624935,11169446,544511,9895458,544511,9350947,0,0
11466640,36,32,1202360,9916829,11466640,1549811,10264280,1549811,8714469,0,0
12272441,34,32,1202315,3844436,12272441,8428005,11070126,8428005,2642121,0,0
12802137,45,32,1274054,12272441,12802137,529696,11528083,529696,10998387,0,0
12808153,47,8,1288816,12802137,12808153,6016,11519337,6016,11513321,0,0
