time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
524706,4,8,512614,512614,524706,12092,12092,12092,0,0,0
559303,1,4,1456,1456,559303,557847,557847,557847,0,0,0
566163,7,8,542432,542432,566163,23731,23731,23731,0,0,0
597706,8,8,589714,589714,597706,7992,7992,7992,0,0,0
700895,16,8,680163,680163,700895,20732,20732,20732,0,0,0
710452,9,8,665621,665621,710452,44831,44831,44831,0,0,0
711640,15,8,680146,680146,711640,31494,31494,31494,0,0,0
872119,17,1,773814,773814,872119,98305,98305,98305,0,0,0
1017657,18,8,895207,895207,1017657,122450,122450,122450,0,0,0
1088398,24,8,972336,972341,1088398,116057,116062,116057,5,0,0
1121086,5,8,517969,517969,1121086,603117,603117,603117,0,0,0
1172065,19,8,929584,929584,1172065,242481,242481,242481,0,0,0
1211878,6,8,533527,533527,1211878,678351,678351,678351,0,0,0
1214274,38,8,1207098,1211878,1214274,2396,7176,2396,4780,0,0
1226769,37,8,1205035,1214274,1226769,12495,21734,12495,9239,0,0
1238643,41,4,1222021,1226769,1238643,11874,16622,11874,4748,0,0
1253912,39,8,1209098,1238643,1253912,15269,44814,15269,29545,0,0
1333233,32,8,1198208,1253912,1333233,79321,135025,79321,55704,0,0
1334260,2,4,352430,352430,1334260,981830,981830,981830,0,0,0
1337743,22,32,937097,1172065,1337743,165678,400646,165678,234968,0,0
1339249,47,8,1288816,1333233,1339249,6016,50433,6016,44417,0,0
1351155,23,1,943298,1172065,1351155,179090,407857,179090,228767,0,0
1364585,53,8,1362087,1363741,1364585,844,2498,844,1654,0,0
1372226,54,8,1363741,1364585,1372226,7641,8485,7641,844,0,0
1372989,55,8,1366817,1372226,1372989,763,6172,763,5409,0,0
1384942,58,8,1379974,1382142,1384942,2800,4968,2800,2168,0,0
1417104,48,8,1300065,1337743,1417104,79361,117039,79361,37678,0,0
1433164,52,8,1361647,1362087,1433164,71077,71517,71077,440,0,0
1433712,49,8,1300853,1337743,1433712,95969,132859,95969,36890,0,0
1433935,40,8,1212768,1337743,1433935,96192,221167,96192,124975,0,0
1440702,30,8,1198165,1337743,1440702,102959,242537,102959,139578,0,0
1459295,57,32,1379074,1433712,1459295,25583,80221,25583,54638,0,0
1460525,65,8,1435521,1440702,1460525,19823,25004,19823,5181,0,0
1462978,64,8,1408253,1433935,1462978,29043,54725,29043,25682,0,0
1469519,72,8,1461874,1462978,1469519,6541,7645,6541,1104,0,0
1476197,70,8,1453262,1459295,1476197,16902,22935,16902,6033,0,0
1481381,71,8,1457822,1459295,1481381,22086,23559,22086,1473,0,0
1517459,10,8,665969,665969,1517459,851490,851490,851490,0,0,0
1558215,66,8,1441858,1459295,1558215,98920,116357,98920,17437,0,0
1574182,85,8,1536518,1558215,1574182,15967,37664,15967,21697,0,0
1580184,82,8,1499394,1517459,1580184,62725,80790,62725,18065,0,0
1591228,83,8,1529623,1574182,1591228,17046,61605,17046,44559,0,0
1690624,62,8,1385826,1459295,1690624,231329,304798,231329,73469,0,0
