time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2603599,1,1,266564,266564,2603599,2337035,2337035,2337035,0,0,0
3473655,57,1,2717244,2717244,3473655,756411,756411,756411,0,0,0
3552201,117,1,3551397,3551397,3552201,804,804,804,0,0,0
3565365,124,1,3564757,3564757,3565365,608,608,608,0,0,0
3565623,126,1,3564927,3564927,3565623,696,696,696,0,0,0
3567641,133,1,3567044,3567044,3567641,597,597,597,0,0,0
3573017,142,1,3571105,3571105,3573017,1912,1912,1912,0,0,0
3575341,141,1,3570115,3570115,3575341,5226,5226,5226,0,0,0
3575658,151,1,3574908,3574908,3575658,750,750,750,0,0,0
3578165,159,1,3577410,3577410,3578165,755,755,755,0,0,0
3580145,157,1,3576571,3576571,3580145,3574,3574,3574,0,0,0
3581475,165,1,3578780,3578780,3581475,2695,2695,2695,0,0,0
3584239,160,1,3577412,3577412,3584239,6827,6827,6827,0,0,0
3584602,162,1,3578012,3578012,3584602,6590,6590,6590,0,0,0
3607978,177,1,3607156,3607156,3607978,822,822,822,0,0,0
3617096,18,1,2025050,2025050,3617096,1592046,1592046,1592046,0,0,0
3641211,195,1,3640288,3640288,3641211,923,923,923,0,0,0
3647604,212,1,3647110,3647110,3647604,494,494,494,0,0,0
3647733,202,1,3647004,3647004,3647733,729,729,729,0,0,0
3647877,233,1,3647290,3647290,3647877,587,587,587,0,0,0
3647919,238,1,3647307,3647307,3647919,612,612,612,0,0,0
3647919,247,1,3647341,3647341,3647919,578,578,578,0,0,0
3647979,223,1,3647208,3647208,3647979,771,771,771,0,0,0
3648001,232,1,3647282,3647282,3648001,719,719,719,0,0,0
3648008,256,1,3647605,3647605,3648008,403,403,403,0,0,0
3648098,228,1,3647261,3647261,3648098,837,837,837,0,0,0
3648212,235,1,3647299,3647299,3648212,913,913,913,0,0,0
3648369,259,1,3647663,3647663,3648369,706,706,706,0,0,0
3649361,205,1,3647031,3647031,3649361,2330,2330,2330,0,0,0
3649704,215,1,3647178,3647178,3649704,2526,2526,2526,0,0,0
3649792,252,1,3647457,3647457,3649792,2335,2335,2335,0,0,0
3650363,251,1,3647436,3647436,3650363,2927,2927,2927,0,0,0
3650783,226,1,3647254,3647254,3650783,3529,3529,3529,0,0,0
3650925,208,1,3647078,3647078,3650925,3847,3847,3847,0,0,0
3650965,243,1,3647320,3647320,3650965,3645,3645,3645,0,0,0
3652586,260,1,3647728,3647728,3652586,4858,4858,4858,0,0,0
3653226,237,1,3647300,3647300,3653226,5926,5926,5926,0,0,0
3656601,269,1,3654136,3654136,3656601,2465,2465,2465,0,0,0
3656965,266,1,3653392,3653392,3656965,3573,3573,3573,0,0,0
3659289,275,1,3658350,3658350,3659289,939,939,939,0,0,0
3671208,280,1,3670578,3670578,3671208,630,630,630,0,0,0
3671398,283,1,3670980,3670980,3671398,418,418,418,0,0,0
