time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2603599,1,1,266564,266564,2603599,2337035,2337035,2337035,0,0,0
3473655,57,1,2717244,2717244,3473655,756411,756411,756411,0,0,0
3617096,18,1,2025050,2025050,3617096,1592046,1592046,1592046,0,0,0
3617693,133,1,3567044,3617096,3617693,597,50649,597,50052,0,0
3618301,124,1,3564757,3617693,3618301,608,53544,608,52936,0,0
3618997,126,1,3564927,3618301,3618997,696,54070,696,53374,0,0
3619747,151,1,3574908,3618997,3619747,750,44839,750,44089,0,0
3620502,159,1,3577410,3619747,3620502,755,43092,755,42337,0,0
3621306,117,1,3551397,3620502,3621306,804,69909,804,69105,0,0
3622128,177,1,3607156,3621306,3622128,822,14972,822,14150,0,0
3624040,142,1,3571105,3622128,3624040,1912,52935,1912,51023,0,0
3626735,165,1,3578780,3624040,3626735,2695,47955,2695,45260,0,0
3630309,157,1,3576571,3626735,3630309,3574,53738,3574,50164,0,0
3635535,141,1,3570115,3630309,3635535,5226,65420,5226,60194,0,0
3642125,162,1,3578012,3635535,3642125,6590,64113,6590,57523,0,0
3643048,195,1,3640288,3642125,3643048,923,2760,923,1837,0,0
3649875,160,1,3577412,3643048,3649875,6827,72463,6827,65636,0,0
3650278,256,1,3647605,3649875,3650278,403,2673,403,2270,0,0
3650772,212,1,3647110,3650278,3650772,494,3662,494,3168,0,0
3651350,247,1,3647341,3650772,3651350,578,4009,578,3431,0,0
3651937,233,1,3647290,3651350,3651937,587,4647,587,4060,0,0
3652549,238,1,3647307,3651937,3652549,612,5242,612,4630,0,0
3653255,259,1,3647663,3652549,3653255,706,5592,706,4886,0,0
3653974,232,1,3647282,3653255,3653974,719,6692,719,5973,0,0
3654703,202,1,3647004,3653974,3654703,729,7699,729,6970,0,0
3655474,223,1,3647208,3654703,3655474,771,8266,771,7495,0,0
3656311,228,1,3647261,3655474,3656311,837,9050,837,8213,0,0
3657224,235,1,3647299,3656311,3657224,913,9925,913,9012,0,0
3659554,205,1,3647031,3657224,3659554,2330,12523,2330,10193,0,0
3660493,275,1,3658350,3659554,3660493,939,2143,939,1204,0,0
3662828,252,1,3647457,3660493,3662828,2335,15371,2335,13036,0,0
3665293,269,1,3654136,3662828,3665293,2465,11157,2465,8692,0,0
3667819,215,1,3647178,3665293,3667819,2526,20641,2526,18115,0,0
3670746,251,1,3647436,3667819,3670746,2927,23310,2927,20383,0,0
3671376,280,1,3670578,3670746,3671376,630,798,630,168,0,0
3671794,283,1,3670980,3671376,3671794,418,814,418,396,0,0
3672476,286,1,3671467,3671794,3672476,682,1009,682,327,0,0
3673124,291,1,3672180,3672476,3673124,648,944,648,296,0,0
3673909,289,1,3671964,3673124,3673909,785,1945,785,1160,0,0
3674717,296,1,3672410,3673909,3674717,808,2307,808,1499,0,0
3675115,301,1,3674271,3674717,3675115,398,844,398,446,0,0
