time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
618920,1,1,303,303,618920,618617,618617,618617,0,0,0
678979,24,4,677527,677527,678979,1452,1452,1452,0,0,0
686451,30,4,685458,685458,686451,993,993,993,0,0,0
689538,25,4,677552,677552,689538,11986,11986,11986,0,0,0
703043,41,4,702387,702387,703043,656,656,656,0,0,0
706442,32,8,691530,691530,706442,14912,14912,14912,0,0,0
710902,22,1,659689,659689,710902,51213,51213,51213,0,0,0
722516,42,1,707298,707298,722516,15218,15218,15218,0,0,0
746173,21,4,659244,659244,746173,86929,86929,86929,0,0,0
764185,28,1,681960,681960,764185,82225,82225,82225,0,0,0
767080,47,4,752051,752051,767080,15029,15029,15029,0,0,0
772317,55,1,770172,770172,772317,2145,2145,2145,0,0,0
772476,53,1,770107,770107,772476,2369,2369,2369,0,0,0
785082,58,1,784631,784631,785082,451,451,451,0,0,0
789453,49,1,758467,758467,789453,30986,30986,30986,0,0,0
797570,63,1,790989,790989,797570,6581,6581,6581,0,0,0
797872,64,8,791731,791731,797872,6141,6141,6141,0,0,0
799004,54,1,770166,770166,799004,28838,28838,28838,0,0,0
799132,27,1,681903,681903,799132,117229,117229,117229,0,0,0
816350,62,1,788131,788131,816350,28219,28219,28219,0,0,0
868412,29,1,682053,682053,868412,186359,186359,186359,0,0,0
875735,76,1,859912,859912,875735,15823,15823,15823,0,0,0
881966,66,1,797852,797852,881966,84114,84114,84114,0,0,0
887837,79,1,860230,860230,887837,27607,27607,27607,0,0,0
892586,38,1,699991,699991,892586,192595,192595,192595,0,0,0
893892,68,1,828427,828427,893892,65465,65465,65465,0,0,0
915278,34,4,698186,698186,915278,217092,217092,217092,0,0,0
951484,86,1,916069,916069,951484,35415,35415,31030,4385,2,0
956029,26,1,681808,681808,956029,274221,274221,274221,0,0,0
962851,116,4,960929,960929,962851,1922,1922,1922,0,0,0
964065,77,1,859942,859942,964065,104123,104123,104123,0,0,0
965292,101,4,942406,942406,965292,22886,22886,12742,10144,4,0
971436,100,1,939909,939909,971436,31527,31527,27474,4053,2,0
974064,122,2,971624,971624,974064,2440,2440,2440,0,0,0
977420,106,1,949480,949480,977420,27940,27940,26113,1827,2,0
990991,78,1,860177,860177,990991,130814,130814,130814,0,0,0
995570,85,8,914753,914753,995570,80817,80817,78255,2562,3,0
1004724,43,1,731609,731609,1004724,273115,273115,273115,0,0,0
1014021,140,1,1009752,1009752,1014021,4269,4269,4269,0,0,0
1015358,52,1,770107,770107,1015358,245251,245251,245251,0,0,0
1015999,151,8,1015171,1015171,1015999,828,828,828,0,0,0
1055397,195,1,1051982,1051982,1055397,3415,3415,3415,0,0,0
1056648,199,2,1053097,1053097,1056648,3551,3551,3551,0,0,0
1059590,143,1,1011431,1011431,1059590,48159,48159,21670,26489,6,0
1064859,95,1,933847,933847,1064859,131012,131012,120207,10805,11,0
1069954,144,1,1011444,1011444,1069954,58510,58510,30770,27740,7,0
1070960,142,1,1009921,1009921,1070960,61039,61039,35171,25868,7,0
1088025,212,4,1086175,1086175,1088025,1850,1850,1850,0,0,0
1097215,33,8,691532,691532,1097215,405683,405683,405683,0,0,0
1106193,146,1,1011491,1011491,1106193,94702,94702,55053,39649,9,0
1113486,232,1,1112032,1112032,1113486,1454,1454,1454,0,0,0
1114008,228,1,1111939,1111939,1114008,2069,2069,2069,0,0,0
1121518,235,1,1117248,1117248,1121518,4270,4270,4270,0,0,0
1140549,45,1,737715,737715,1140549,402834,402834,402834,0,0,0
1159926,61,1,788129,788129,1159926,371797,371797,370678,1119,2,0
1165580,51,1,769898,769898,1165580,395682,395682,395323,359,1,0
1170257,90,1,925798,925798,1170257,244459,244459,239866,4593,6,0
1189909,93,1,928926,928926,1189909,260983,260983,256265,4718,6,0
1207005,111,1,953581,953581,1207005,253424,253424,246338,7086,9,0
1220092,247,1,1216816,1216816,1220092,3276,3276,3276,0,0,0
1223262,154,1,1016124,1016124,1223262,207138,207138,168803,38335,8,0
1228193,133,1,1009599,1009599,1228193,218594,218594,208834,9760,10,0
1239018,188,1,1050163,1050163,1239018,188855,188855,72334,116521,4,0
1251813,145,1,1011490,1011490,1251813,240323,240323,203162,37161,10,0
1258456,48,4,756463,756463,1258456,501993,501993,501634,359,1,0
1290182,184,1,1048001,1048001,1290182,242181,242181,152698,89483,3,0
1290535,185,1,1050065,1050065,1290535,240470,240470,130084,110386,4,0
1291675,198,1,1052260,1052260,1291675,239415,239415,43511,195904,3,0
1302543,256,1,1300464,1300464,1302543,2079,2079,2079,0,0,0
1345336,56,1,777378,777378,1345336,567958,567958,567599,359,1,0
1403925,196,1,1052041,1052041,1403925,351884,351884,170185,181699,10,0
1413705,210,1,1081548,1081548,1413705,332157,332157,78895,253262,7,0
1416679,224,1,1102280,1102280,1416679,314399,314399,10174,304225,1,0
1431376,168,1,1029984,1029984,1431376,401392,401392,360392,41000,11,0
1451235,307,1,1444474,1444474,1451235,6761,6761,6761,0,0,0
1454866,310,1,1449742,1449742,1454866,5124,5124,5124,0,0,0
1455002,314,1,1451143,1451143,1455002,3859,3859,3859,0,0,0
1462112,213,1,1086925,1086925,1462112,375187,375187,83997,291190,12,0
1477749,97,1,934234,934234,1477749,543515,543515,530865,12650,12,0
1488204,225,1,1104538,1104538,1488204,383666,383666,42975,340691,9,0
1540156,341,1,1539659,1539659,1540156,497,497,497,0,0,0
1540392,363,1,1539850,1539850,1540392,542,542,542,0,0,0
1540445,372,1,1539924,1539924,1540445,521,521,521,0,0,0
1540511,382,1,1540018,1540018,1540511,493,493,493,0,0,0
1540519,384,1,1540029,1540029,1540519,490,490,490,0,0,0
1540522,385,1,1540031,1540031,1540522,491,491,491,0,0,0
1540562,347,1,1539721,1539721,1540562,841,841,841,0,0,0
1540596,356,1,1539789,1539789,1540596,807,807,807,0,0,0
1540683,343,1,1539673,1539673,1540683,1010,1010,1010,0,0,0
1540736,353,1,1539764,1539764,1540736,972,972,972,0,0,0
1540790,367,1,1539872,1539872,1540790,918,918,918,0,0,0
1540796,354,1,1539766,1539766,1540796,1030,1030,1030,0,0,0
1542714,348,1,1539722,1539722,1542714,2992,2992,2992,0,0,0
1544010,375,1,1539958,1539958,1544010,4052,4052,4052,0,0,0
1544291,380,1,1540003,1540003,1544291,4288,4288,4288,0,0,0
1544484,366,1,1539863,1539863,1544484,4621,4621,4621,0,0,0
1560385,57,1,784329,784329,1560385,776056,776056,767770,8286,7,0
1560412,214,1,1091804,1091804,1560412,468608,468608,118710,349898,13,0
1573429,194,1,1051175,1051175,1573429,522254,522254,318159,204095,17,0
1577321,94,1,933791,933791,1577321,643530,643530,625467,18063,12,0
1585258,258,1,1300613,1300613,1585258,284645,284645,34119,250526,1,0
1594296,269,1,1352376,1352376,1594296,241920,241920,43057,198863,1,0
1595276,174,1,1030744,1030744,1595276,564532,564532,473571,90961,14,0
1610244,257,1,1300520,1300520,1610244,309724,309724,59111,250613,1,0
1615172,246,1,1216756,1216756,1615172,398416,398416,64077,334339,1,0
1615347,309,1,1448733,1448733,1615347,166614,166614,45581,121033,4,0
1627701,597,1,1621298,1621298,1627701,6403,6403,6403,0,0,0
1628135,255,1,1300421,1300421,1628135,327714,327714,77022,250692,1,0
1632384,181,1,1035351,1035351,1632384,597033,597033,472093,124940,16,0
1637547,295,1,1376148,1376148,1637547,261399,261399,67955,193444,6,0
1639985,328,1,1519074,1519074,1639985,120911,120911,8446,112465,1,0
1643060,337,1,1535369,1535369,1643060,107691,107691,10048,97643,1,0
1653738,617,1,1650356,1650356,1653738,3382,3382,3382,0,0,0
1656747,620,1,1653357,1653357,1656747,3390,3390,3390,0,0,0
1660845,323,1,1474559,1474559,1660845,186286,186286,62406,123880,9,0
1676749,339,1,1539647,1539647,1676749,137102,137102,16269,120833,3,0
1686635,18,1,497648,497648,1686635,1188987,1188987,1181634,7353,1,0
1687593,264,1,1350163,1350163,1687593,337430,337430,136387,201043,1,0
1690773,248,1,1217219,1217219,1690773,473554,473554,139672,333882,1,0
1703771,346,1,1539702,1539702,1703771,164069,164069,10238,153831,1,0
1706716,344,1,1539679,1539679,1706716,167037,167037,27281,139756,1,0
