time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
618920,1,1,303,303,618920,618617,618617,618617,0,0,0
678979,24,4,677527,677527,678979,1452,1452,1452,0,0,0
686451,30,4,685458,685458,686451,993,993,993,0,0,0
689538,25,4,677552,677552,689538,11986,11986,11986,0,0,0
703043,41,4,702387,702387,703043,656,656,656,0,0,0
706442,32,8,691530,691530,706442,14912,14912,14912,0,0,0
710902,22,1,659689,659689,710902,51213,51213,51213,0,0,0
722516,42,1,707298,707298,722516,15218,15218,15218,0,0,0
746173,21,4,659244,659244,746173,86929,86929,86929,0,0,0
764185,28,1,681960,681960,764185,82225,82225,82225,0,0,0
767080,47,4,752051,752051,767080,15029,15029,15029,0,0,0
772317,55,1,770172,770172,772317,2145,2145,2145,0,0,0
772476,53,1,770107,770107,772476,2369,2369,2369,0,0,0
785082,58,1,784631,784631,785082,451,451,451,0,0,0
789453,49,1,758467,758467,789453,30986,30986,30986,0,0,0
797570,63,1,790989,790989,797570,6581,6581,6581,0,0,0
797872,64,8,791731,791731,797872,6141,6141,6141,0,0,0
799004,54,1,770166,770166,799004,28838,28838,28838,0,0,0
799132,27,1,681903,681903,799132,117229,117229,117229,0,0,0
816350,62,1,788131,788131,816350,28219,28219,28219,0,0,0
868412,29,1,682053,682053,868412,186359,186359,186359,0,0,0
875735,76,1,859912,859912,875735,15823,15823,15823,0,0,0
881966,66,1,797852,797852,881966,84114,84114,84114,0,0,0
887837,79,1,860230,860230,887837,27607,27607,27607,0,0,0
892586,38,1,699991,699991,892586,192595,192595,192595,0,0,0
893892,68,1,828427,828427,893892,65465,65465,65465,0,0,0
915278,34,4,698186,698186,915278,217092,217092,217092,0,0,0
947099,86,1,916069,916069,947099,31030,31030,31030,0,0,0
956029,26,1,681808,681808,956029,274221,274221,274221,0,0,0
959841,101,4,942406,947099,959841,12742,17435,12742,4693,0,0
964065,77,1,859942,859942,964065,104123,104123,104123,0,0,0
965987,116,4,960929,964065,965987,1922,5058,1922,3136,0,0
974182,117,4,965967,965987,974182,8195,8215,8195,20,0,0
976622,122,2,971624,974182,976622,2440,4998,2440,2558,0,0
990991,78,1,860177,860177,990991,130814,130814,130814,0,0,0
993008,85,8,914753,914753,993008,78255,78255,78255,0,0,0
1004724,43,1,731609,731609,1004724,273115,273115,273115,0,0,0
1015358,52,1,770107,770107,1015358,245251,245251,245251,0,0,0
1016050,151,8,1015171,1015222,1016050,828,879,828,51,0,0
1097215,33,8,691532,691532,1097215,405683,405683,405683,0,0,0
1098613,126,16,975682,1097215,1098613,1398,122931,1398,121533,0,0
1099065,212,4,1086175,1097215,1099065,1850,12890,1850,11040,0,0
1100827,124,4,975284,1098613,1100827,2214,125543,2214,123329,0,0
1102028,195,1,1051982,1098613,1102028,3415,50046,3415,46631,0,0
1102164,199,2,1053097,1098613,1102164,3551,49067,3551,45516,0,0
1113515,232,1,1112032,1112061,1113515,1454,1483,1454,29,0,0
1114009,228,1,1111939,1111940,1114009,2069,2070,2069,1,0,0
1140549,45,1,737715,737715,1140549,402834,402834,402834,0,0,0
1158807,61,1,788129,788129,1158807,370678,370678,370678,0,0,0
1159385,87,8,916934,916934,1159385,242451,242451,242451,0,0,0
1165221,51,1,769898,769898,1165221,395323,395323,395323,0,0,0
1220495,247,1,1216816,1217219,1220495,3276,3679,3276,403,0,0
1258097,48,4,756463,756463,1258097,501634,501634,501634,0,0,0
1261736,205,32,1056856,1258097,1261736,3639,204880,3639,201241,0,0
1262366,140,1,1009752,1258097,1262366,4269,252614,4269,248345,0,0
1262367,235,1,1117248,1258097,1262367,4270,145119,4270,140849,0,0
1268425,223,8,1100282,1261736,1268425,6689,168143,6689,161454,0,0
1271722,157,8,1019746,1261736,1271722,9986,251976,9986,241990,0,0
1271910,224,1,1102280,1261736,1271910,10174,169630,10174,159456,0,0
1274028,125,8,975315,1261736,1274028,12292,298713,12292,286421,0,0
1274897,92,8,927085,1261736,1274897,13161,347812,13161,334651,0,0
1281844,141,8,1009753,1268425,1281844,13419,272091,13419,258672,0,0
1288105,200,4,1053805,1271722,1288105,16383,234300,16383,217917,0,0
1294305,153,8,1015607,1274028,1294305,20277,278698,20277,258421,0,0
1295698,143,1,1011431,1274028,1295698,21670,284267,21670,262597,0,0
1296678,160,8,1020728,1274897,1296678,21781,275950,21781,254169,0,0
1301010,106,1,949480,1274897,1301010,26113,351530,26113,325417,0,0
1301682,238,4,1131679,1274897,1301682,26785,170003,26785,143218,0,0
1302371,100,1,939909,1274897,1302371,27474,362462,27474,334988,0,0
1302599,256,1,1300464,1300520,1302599,2079,2135,2079,56,0,0
1311198,152,8,1015222,1281844,1311198,29354,295976,29354,266622,0,0
1312614,144,1,1011444,1281844,1312614,30770,301170,30770,270400,0,0
1327779,251,8,1254126,1294305,1327779,33474,73653,33474,40179,0,0
1329476,142,1,1009921,1294305,1329476,35171,319555,35171,284384,0,0
1332957,91,8,927061,1296678,1332957,36279,405896,36279,369617,0,0
1335129,258,1,1300613,1301010,1335129,34119,34516,34119,397,0,0
1340742,233,8,1112061,1301682,1340742,39060,228681,39060,189621,0,0
1344977,56,1,777378,777378,1344977,567599,567599,567599,0,0,0
1351593,130,8,1006812,1311198,1351593,40395,344781,40395,304386,0,0
1354173,225,1,1104538,1311198,1354173,42975,249635,42975,206660,0,0
1354709,198,1,1052260,1311198,1354709,43511,302449,43511,258938,0,0
1374574,107,4,951714,1327779,1374574,46795,422860,46795,376065,0,0
1377265,263,8,1348123,1350163,1377265,27102,29142,27102,2040,0,0
1383268,290,8,1375978,1377265,1383268,6003,7290,6003,1287,0,0
1384993,159,8,1020424,1332957,1384993,52036,364569,52036,312533,0,0
1385206,296,8,1383194,1383268,1385206,1938,2012,1938,74,0,0
1388010,146,1,1011491,1332957,1388010,55053,376519,55053,321466,0,0
1390828,266,8,1350983,1351593,1390828,39235,39845,39235,610,0,0
1391462,104,4,945005,1332957,1391462,58505,446457,58505,387952,0,0
1392068,257,1,1300520,1332957,1392068,59111,91548,59111,32437,0,0
1395608,269,1,1352376,1352551,1395608,43057,43232,43057,175,0,0
1397034,246,1,1216756,1332957,1397034,64077,180278,64077,116201,0,0
1398170,275,8,1353307,1384993,1398170,13177,44863,13177,31686,0,0
1405291,188,1,1050163,1332957,1405291,72334,355128,72334,282794,0,0
1409547,280,8,1364025,1385206,1409547,24341,45522,24341,21181,0,0
1422781,273,8,1353025,1390828,1422781,31953,69756,31953,37803,0,0
1440061,288,8,1373583,1391462,1440061,48599,66478,48599,17879,0,0
1441795,305,8,1438847,1440061,1441795,1734,2948,1734,1214,0,0
1448217,304,8,1437879,1441795,1448217,6422,10338,6422,3916,0,0
1453023,297,8,1401146,1409547,1453023,43476,51877,43476,8401,0,0
1453879,307,1,1444474,1447118,1453879,6761,9405,6761,2644,0,0
1455355,310,1,1449742,1450231,1455355,5124,5613,5124,489,0,0
1456851,314,1,1451143,1452992,1456851,3859,5708,3859,1849,0,0
1461928,272,8,1352724,1398170,1461928,63758,109204,63758,45446,0,0
1467569,299,8,1433210,1448217,1467569,19352,34359,19352,15007,0,0
1477439,301,8,1436232,1453023,1477439,24416,41207,24416,16791,0,0
1488154,289,8,1375732,1422781,1488154,65373,112422,65373,47049,0,0
1490736,295,1,1376148,1422781,1490736,67955,114588,67955,46633,0,0
1498725,315,8,1452992,1461928,1498725,36797,45733,36797,8936,0,0
1507979,313,8,1450518,1467569,1507979,40410,57461,40410,17051,0,0
1513150,309,1,1448733,1467569,1513150,45581,64417,45581,18836,0,0
1531738,328,1,1519074,1523292,1531738,8446,12664,8446,4218,0,0
1537083,323,1,1474559,1474677,1537083,62406,62524,62406,118,0,0
1540165,341,1,1539659,1539668,1540165,497,506,497,9,0,0
1540563,347,1,1539721,1539722,1540563,841,842,841,1,0,0
1540655,384,1,1540029,1540165,1540655,490,626,490,136,0,0
1540689,343,1,1539673,1539679,1540689,1010,1016,1010,6,0,0
1540738,353,1,1539764,1539766,1540738,972,974,972,2,0,0
1540798,354,1,1539766,1539768,1540798,1030,1032,1030,2,0,0
1541054,385,1,1540031,1540563,1541054,491,1023,491,532,0,0
