time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3229698,53,1,1945550,1945550,3229698,1284148,1284148,1274308,9840,1,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3284611,111,8,3236670,3236670,3284611,47941,47941,47941,0,0,0
3288611,86,1,2372731,2372731,3288611,915880,915880,915880,0,0,0
3356416,110,8,3235945,3235945,3356416,120471,120471,120471,0,0,0
3399672,122,8,3390490,3390490,3399672,9182,9182,9182,0,0,0
3415711,64,1,2341345,2341345,3415711,1074366,1074366,1027112,47254,5,0
3446640,126,8,3407887,3407887,3446640,38753,38753,38753,0,0,0
3514672,124,8,3391008,3391008,3514672,123664,123664,123664,0,0,0
3574250,133,8,3572938,3572938,3574250,1312,1312,1312,0,0,0
3593314,140,8,3586358,3586358,3593314,6956,6956,6956,0,0,0
3651547,141,8,3587038,3587038,3651547,64509,64509,64509,0,0,0
3656083,130,8,3514096,3514096,3656083,141987,141987,141987,0,0,0
3691343,144,8,3668447,3668447,3691343,22896,22896,22896,0,0,0
3735731,148,8,3672188,3672188,3735731,63543,63543,63543,0,0,0
3740640,147,8,3670526,3670526,3740640,70114,70114,70114,0,0,0
3802113,156,8,3775871,3775871,3802113,26242,26242,26242,0,0,0
3845576,151,8,3771896,3771896,3845576,73680,73680,73680,0,0,0
3856319,165,8,3852752,3852752,3856319,3567,3567,3567,0,0,0
3898490,162,8,3831486,3831486,3898490,67004,67004,67004,0,0,0
3947572,164,8,3845388,3845388,3947572,102184,102184,102184,0,0,0
3963992,174,8,3922206,3922206,3963992,41786,41786,41786,0,0,0
3972741,170,4,3887819,3887819,3972741,84922,84922,84922,0,0,0
4002006,177,4,3960923,3960923,4002006,41083,41083,41083,0,0,0
4003709,171,8,3892069,3892069,4003709,111640,111640,111640,0,0,0
4040489,199,4,4038772,4038772,4040489,1717,1717,1717,0,0,0
4041111,188,8,3996027,3996027,4041111,45084,45084,45084,0,0,0
4053690,195,4,4022105,4022105,4053690,31585,31585,31585,0,0,0
4054807,193,8,4011623,4011623,4054807,43184,43184,43184,0,0,0
4127639,202,4,4072703,4072703,4127639,54936,54936,54936,0,0,0
4230057,181,8,3993309,3993309,4230057,236748,236748,123566,113182,3,0
4232596,223,1,4225248,4225248,4232596,7348,7348,7348,0,0,0
4248009,256,4,4245994,4245994,4248009,2015,2015,2015,0,0,0
4260156,259,4,4251434,4251434,4260156,8722,8722,8722,0,0,0
4262067,226,1,4225258,4225258,4262067,36809,36809,36809,0,0,0
4262365,257,4,4246023,4246023,4262365,16342,16342,16342,0,0,0
4299989,224,1,4225252,4225252,4299989,74737,74737,74737,0,0,0
4304455,263,4,4302753,4302753,4304455,1702,1702,1702,0,0,0
4316935,212,1,4099912,4099912,4316935,217023,217023,217023,0,0,0
4317346,266,4,4305079,4305079,4317346,12267,12267,12267,0,0,0
4327923,251,1,4238583,4238583,4327923,89340,89340,89340,0,0,0
