time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2895433,1,8,201694,201694,2895433,2693739,2693739,2693739,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3105119,55,8,2094682,2094682,3105119,1010437,1010437,1010437,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3219858,53,1,1945550,1945550,3219858,1274308,1274308,1274308,0,0,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3288611,86,1,2372731,2372731,3288611,915880,915880,915880,0,0,0
3368457,64,1,2341345,2341345,3368457,1027112,1027112,1027112,0,0,0
5429226,38,1,1945158,1945158,5429226,3484068,3484068,3484068,0,0,0
7753173,47,1,1945499,1945499,7753173,5807674,5807674,5807674,0,0,0
7798666,22,1,1943851,1943851,7798666,5854815,5854815,5854815,0,0,0
8360100,2,8,724670,724670,8360100,7635430,7635430,7635430,0,0,0
8801693,4,1,966542,966542,8801693,7835151,7835151,7835151,0,0,0
10310463,92,1,2372766,2372766,10310463,7937697,7937697,7937697,0,0,0
10468480,74,1,2353471,2353471,10468480,8115009,8115009,8115009,0,0,0
10469084,72,1,2353435,2353435,10469084,8115649,8115649,8115649,0,0,0
10587285,56,1,2323019,2323019,10587285,8264266,8264266,8264266,0,0,0
11264494,70,1,2353402,2353402,11264494,8911092,8911092,8911092,0,0,0
11318478,63,1,2341283,2341283,11318478,8977195,8977195,8977195,0,0,0
11360173,71,1,2353425,2353425,11360173,9006748,9006748,9006748,0,0,0
11967296,49,1,1945509,1945509,11967296,10021787,10021787,10021787,0,0,0
12036611,21,1,1943846,1943846,12036611,10092765,10092765,10092765,0,0,0
12063805,25,1,1943885,1943885,12063805,10119920,10119920,10119920,0,0,0
13722547,54,1,1945555,1945555,13722547,11776992,11776992,11776992,0,0,0
14726198,8,1,1245386,1245386,14726198,13480812,13480812,13480812,0,0,0
15089879,97,1,2530524,3105119,15089879,11984760,12559355,11984760,574595,0,0
15938764,76,1,2353494,2353494,15938764,13585270,13585270,13585270,0,0,0
16553419,0,1,0,0,16553419,16553419,16553419,16553419,0,0,0
17064854,7,1,1245348,1245348,17064854,15819506,15819506,15819506,0,0,0
18508378,65,1,2345983,2345983,18508378,16162395,16162395,16162395,0,0,0
18553173,68,1,2353317,2353317,18553173,16199856,16199856,16199856,0,0,0
18746847,45,1,1945474,1945474,18746847,16801373,16801373,16801373,0,0,0
21627816,37,1,1943971,1943971,21627816,19683845,19683845,19683845,0,0,0
22102654,42,1,1945418,1945418,22102654,20157236,20157236,20157236,0,0,0
22362722,13,1,1943781,1943781,22362722,20418941,20418941,20418941,0,0,0
22506113,89,1,2372749,2372749,22506113,20133364,20133364,20133364,0,0,0
22939552,79,1,2353535,2353535,22939552,20586017,20586017,20586017,0,0,0
23082030,62,1,2341233,2341233,23082030,20740797,20740797,20740797,0,0,0
23276600,85,1,2357366,2357366,23276600,20919234,20919234,20919234,0,0,0
23451867,11,1,1714609,1714609,23451867,21737258,21737258,21737258,0,0,0
23549519,83,1,2353718,2353718,23549519,21195801,21195801,21195801,0,0,0
