time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
70024,0,0,0,0,0,0,2,0
135296,0,0,0,0,0,0,3,0
178298,0,0,0,0,0,0,4,0
265278,0,0,0,0,0,0,5,0
313422,0,0,0,0,0,0,6,0
318554,0,0,0,0,0,0,7,0
318802,0,0,0,0,0,0,8,0
319542,0,0,0,0,0,0,9,0
319849,0,0,0,0,0,0,10,0
320203,0,0,0,0,0,0,11,0
323049,0,0,0,0,0,0,12,0
324143,0,0,0,0,0,0,13,0
324387,0,0,0,0,0,0,14,0
330439,0,0,0,0,0,0,15,0
394438,0,0,0,0,0,1,15,0
394610,0,0,0,0,0,2,15,0
394774,0,0,0,0,0,3,15,0
394933,0,0,0,0,0,4,15,0
395522,0,0,0,0,0,5,15,0
395836,0,0,0,0,0,6,15,0
400593,0,0,0,0,0,7,15,0
400756,0,0,0,0,0,8,15,0
400914,0,0,0,0,0,9,15,0
401067,0,0,0,0,0,10,15,0
401222,0,0,0,0,0,11,15,0
401376,0,0,0,0,0,12,15,0
401530,0,0,0,0,0,13,15,0
401681,0,0,0,0,0,14,15,0
504171,0,0,0,0,0,15,15,0
530126,0,0,0,0,0,15,14,1
573378,0,0,0,0,0,16,14,1
664358,0,0,0,0,0,17,14,1
664372,0,0,0,0,0,17,15,1
664544,0,0,0,0,0,17,16,1
664555,0,0,0,0,0,17,17,1
665806,0,0,0,0,0,17,16,2
674938,0,0,0,0,0,18,16,2
686170,0,0,0,0,0,19,16,2
686742,0,0,0,0,0,20,16,2
690054,0,0,0,0,0,20,15,3
737775,0,0,0,0,0,21,15,3
737781,0,0,0,0,0,21,16,3
737788,0,0,0,0,0,21,17,3
737793,0,0,0,0,0,21,18,3
737803,0,0,0,0,0,21,19,3
737808,0,0,0,0,0,21,20,3
737814,0,0,0,0,0,21,21,3
737821,0,0,0,0,0,22,21,3
737830,0,0,0,0,0,22,22,3
737837,0,0,0,0,0,23,22,3
737844,0,0,0,0,0,23,23,3
737849,0,0,0,0,0,23,24,3
737855,0,0,0,0,0,23,25,3
737861,0,0,0,0,0,24,25,3
737868,0,0,0,0,0,24,26,3
737875,0,0,0,0,0,25,26,3
737884,0,0,0,0,0,26,26,3
737891,0,0,0,0,0,27,26,3
737896,0,0,0,0,0,28,26,3
737902,0,0,0,0,0,29,26,3
737907,0,0,0,0,0,30,26,3
737912,0,0,0,0,0,31,26,3
737918,0,0,0,0,0,32,26,3
737924,0,0,0,0,0,33,26,3
737934,0,0,0,0,0,34,26,3
737941,0,0,0,0,0,35,26,3
737946,0,0,0,0,0,36,26,3
737952,0,0,0,0,0,37,26,3
737957,0,0,0,0,0,38,26,3
737962,0,0,0,0,0,39,26,3
737967,0,0,0,0,0,40,26,3
737973,0,0,0,0,0,41,26,3
737984,0,0,0,0,0,42,26,3
737989,0,0,0,0,0,43,26,3
737996,0,0,0,0,0,44,26,3
738002,0,0,0,0,0,45,26,3
738019,0,0,0,0,0,46,26,3
738025,0,0,0,0,0,47,26,3
738038,0,0,0,0,0,48,26,3
738049,0,0,0,0,0,49,26,3
738069,0,0,0,0,0,50,26,3
738082,0,0,0,0,0,51,26,3
738097,0,0,0,0,0,52,26,3
738103,0,0,0,0,0,53,26,3
738116,0,0,0,0,0,54,26,3
738129,0,0,0,0,0,55,26,3
738137,0,0,0,0,0,56,26,3
738153,0,0,0,0,0,57,26,3
738163,0,0,0,0,0,58,26,3
738170,0,0,0,0,0,59,26,3
738194,0,0,0,0,0,60,26,3
738201,0,0,0,0,0,61,26,3
738211,0,0,0,0,0,62,26,3
738566,0,0,0,0,0,61,26,4
739500,0,0,0,0,0,60,26,5
740530,0,0,0,0,0,59,26,6
741568,0,0,0,0,0,58,26,7
742065,0,0,0,0,0,57,26,8
742903,0,0,0,0,0,56,26,9
743689,0,0,0,0,0,55,26,10
743705,0,0,0,0,0,54,26,11
744622,0,0,0,0,0,53,26,12
745561,0,0,0,0,0,52,26,13
749624,0,0,0,0,0,51,26,14
749892,0,0,0,0,0,50,26,15
752164,0,0,0,0,0,49,26,16
753583,0,0,0,0,0,48,26,17
759185,0,0,0,0,0,47,26,18
760693,0,0,0,0,0,46,26,19
763611,0,0,0,0,0,45,26,20
764636,0,0,0,0,0,44,26,21
766066,0,0,0,0,0,47,26,21
766068,0,0,0,0,0,48,26,21
766070,0,0,0,0,0,49,26,21
766078,0,0,0,0,0,50,26,21
766093,0,0,0,0,0,51,26,21
766112,0,0,0,0,0,52,26,21
766117,0,0,0,0,0,53,26,21
767057,0,0,0,0,0,52,26,22
768601,0,0,0,0,0,51,26,23
769113,0,0,0,0,0,50,26,24
775000,0,0,0,0,0,49,26,25
779177,0,0,0,0,0,48,26,26
780879,0,0,0,0,0,49,26,26
781010,0,0,0,0,0,50,26,26
782240,0,0,0,0,0,49,26,27
782660,0,0,0,0,0,50,26,27
783187,0,0,0,0,0,51,26,27
783935,0,0,0,0,0,50,26,28
784410,0,0,0,0,0,51,26,28
790955,0,0,0,0,0,50,26,29
795497,0,0,0,0,0,49,26,30
800522,0,0,0,0,0,48,26,31
813860,0,0,0,0,0,47,26,32
815228,0,0,0,0,0,46,26,33
817779,0,0,0,0,0,47,26,33
817942,0,0,0,0,0,48,26,33
820095,0,0,0,0,0,49,26,33
820394,0,0,0,0,0,50,26,33
820530,0,0,0,0,0,51,26,33
820685,0,0,0,0,0,52,26,33
820970,0,0,0,0,0,53,26,33
821081,0,0,0,0,0,54,26,33
821854,0,0,0,0,0,53,26,34
831305,0,0,0,0,0,52,26,35
837937,0,0,0,0,0,51,26,36
838149,0,0,0,0,0,50,26,37
842377,0,0,0,0,0,51,26,37
854174,0,0,0,0,0,53,26,37
854211,0,0,0,0,0,54,26,37
854694,0,0,0,0,0,55,26,37
854728,0,0,0,0,0,56,26,37
855109,0,0,0,0,0,57,26,37
