time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
530126,1,8,70024,70024,530126,460102,460102,460102,0,0,0
665806,32,1,664372,664544,665806,1262,1434,1262,172,0,0
690054,33,1,664544,664555,690054,25499,25510,25499,11,0,0
738566,41,1,737793,737803,738566,763,773,763,10,0,0
739500,86,1,738163,738566,739500,934,1337,934,403,0,0
740530,58,1,737907,739500,740530,1030,2623,1030,1593,0,0
741568,57,1,737902,740530,741568,1038,3666,1038,2628,0,0
742065,38,1,737775,737781,742065,4284,4290,4284,6,0,0
742903,66,1,737957,741568,742903,1335,4946,1335,3611,0,0
743689,47,1,737837,737844,743689,5845,5852,5845,7,0,0
743705,55,1,737891,742065,743705,1640,5814,1640,4174,0,0
744622,53,1,737875,742903,744622,1719,6747,1719,5028,0,0
745561,64,1,737946,743689,745561,1872,7615,1872,5743,0,0
749624,49,1,737849,737855,749624,11769,11775,11769,6,0,0
749892,72,1,737996,743705,749892,6187,11896,6187,5709,0,0
752164,71,1,737989,744622,752164,7542,14175,7542,6633,0,0
753583,74,1,738019,745561,753583,8022,15564,8022,7542,0,0
759185,70,1,737984,749624,759185,9561,21201,9561,11640,0,0
760693,56,1,737896,749892,760693,10801,22797,10801,11996,0,0
763611,42,1,737803,737808,763611,25803,25808,25803,5,0,0
764636,45,1,737821,737830,764636,26806,26815,26806,9,0,0
767057,63,1,737941,752164,767057,14893,29116,14893,14223,0,0
768601,39,1,737781,737788,768601,30813,30820,30813,7,0,0
769113,85,1,738153,753583,769113,15530,30960,15530,15430,0,0
775000,76,1,738038,759185,775000,15815,36962,15815,21147,0,0
779177,83,1,738129,760693,779177,18484,41048,18484,22564,0,0
782240,54,1,737884,763611,782240,18629,44356,18629,25727,0,0
783935,79,1,738082,764636,783935,19299,45853,19299,26554,0,0
790955,68,1,737967,767057,790955,23898,52988,23898,29090,0,0
795497,89,1,738201,768601,795497,26896,57296,26896,30400,0,0
800522,73,1,738002,769113,800522,31409,62520,31409,31111,0,0
813860,65,1,737952,775000,813860,38860,75908,38860,37048,0,0
815228,31,1,664358,664372,815228,150856,150870,150856,14,0,0
821854,62,1,737934,779177,821854,42677,83920,42677,41243,0,0
831305,87,1,738170,782240,831305,49065,93135,49065,44070,0,0
837937,40,1,737788,737793,837937,100144,100149,100144,5,0,0
838149,82,1,738116,783935,838149,54214,100033,54214,45819,0,0
866089,78,1,738069,790955,866089,75134,128020,75134,52886,0,0
885052,77,1,738049,795497,885052,89555,147003,89555,57448,0,0
899335,48,1,737844,737849,899335,161486,161491,161486,5,0,0
934122,52,1,737868,800522,934122,133600,196254,133600,62654,0,0
947502,60,1,737918,813860,947502,133642,209584,133642,75942,0,0
951031,51,1,737861,737868,951031,213163,213170,213163,7,0,0
965546,67,1,737962,815228,965546,150318,227584,150318,77266,0,0
966561,43,1,737808,737814,966561,228747,228753,228747,6,0,0
980109,90,1,738211,821854,980109,158255,241898,158255,83643,0,0
1008560,88,1,738194,831305,1008560,177255,270366,177255,93111,0,0
1028369,59,1,737912,837937,1028369,190432,290457,190432,100025,0,0
1029929,116,8,854211,1028369,1029929,1560,175718,1560,174158,0,0
1029977,84,1,738137,838149,1029977,191828,291840,191828,100012,0,0
1031572,124,8,857638,1029929,1031572,1643,173934,1643,172291,0,0
1033262,117,8,854694,1031572,1033262,1690,178568,1690,176878,0,0
1035205,122,8,857621,1033262,1035205,1943,177584,1943,175641,0,0
1035499,140,4,962109,1033262,1035499,2237,73390,2237,71153,0,0
1045114,128,8,857760,1035205,1045114,9909,187354,9909,177445,0,0
1061827,151,8,995735,1045114,1061827,16713,66092,16713,49379,0,0
1063286,177,8,1047409,1061827,1063286,1459,15877,1459,14418,0,0
1091889,174,8,1047391,1063286,1091889,28603,44498,28603,15895,0,0
1122398,119,8,855109,1091889,1122398,30509,267289,30509,236780,0,0
1153545,156,8,996355,1122398,1153545,31147,157190,31147,126043,0,0
1200294,118,8,854728,1153545,1200294,46749,345566,46749,298817,0,0
1256888,133,8,869026,1200294,1256888,56594,387862,56594,331268,0,0
1314978,170,8,1047356,1256888,1314978,58090,267622,58090,209532,0,0
