time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
407,0,0,0,0,0,0,1,0
1257,0,0,0,0,0,0,1,0
529666,0,0,0,0,0,0,2,0
532916,0,0,0,0,0,0,2,0
536866,0,0,0,0,0,0,2,0
544653,0,0,0,0,0,0,3,0
547903,0,0,0,0,0,0,3,0
551853,0,0,0,0,0,0,3,0
863276,0,0,0,0,0,0,4,0
866526,0,0,0,0,0,0,4,0
867308,0,0,0,0,0,0,5,0
870476,0,0,0,0,0,0,5,0
870558,0,0,0,0,0,0,5,0
874508,0,0,0,0,0,0,5,0
941115,0,0,0,0,0,0,6,0
944365,0,0,0,0,0,0,6,0
948315,0,0,0,0,0,0,6,0
951825,0,0,0,0,0,0,5,1
952842,0,0,0,0,0,0,6,1
953249,0,0,0,0,0,0,6,1
954099,0,0,0,0,0,0,6,1
958154,0,0,0,0,0,0,7,1
958289,0,0,0,0,0,0,8,1
958679,0,0,0,0,0,0,8,1
959514,0,0,0,0,0,0,8,1
961539,0,0,0,0,0,0,8,1
965489,0,0,0,0,0,0,8,1
979018,0,0,0,0,0,0,9,1
982268,0,0,0,0,0,0,9,1
984210,0,0,0,0,0,0,10,1
984617,0,0,0,0,0,0,10,1
985467,0,0,0,0,0,0,10,1
986218,0,0,0,0,0,0,10,1
986834,0,0,0,0,0,0,11,1
987241,0,0,0,0,0,0,11,1
988091,0,0,0,0,0,0,11,1
989042,0,0,0,0,0,0,12,1
992292,0,0,0,0,0,0,12,1
996242,0,0,0,0,0,0,12,1
1012459,0,0,0,0,0,0,11,2
1031456,0,0,0,0,0,0,12,2
1032269,0,0,0,0,0,0,12,2
1033866,0,0,0,0,0,0,12,2
1043900,0,0,0,0,0,0,13,2
1047150,0,0,0,0,0,0,13,2
1050596,0,0,0,0,0,0,14,2
1051100,0,0,0,0,0,0,14,2
1053846,0,0,0,0,0,0,14,2
1057796,0,0,0,0,0,0,14,2
1058360,0,0,0,0,0,0,15,2
1059173,0,0,0,0,0,0,15,2
1060770,0,0,0,0,0,0,15,2
1072689,0,0,0,0,0,0,16,2
1073402,0,0,0,0,0,0,17,2
1073545,0,0,0,0,0,0,18,2
1075378,0,0,0,0,0,0,19,2
1075939,0,0,0,0,0,0,19,2
1076612,0,0,0,0,0,0,19,2
1076652,0,0,0,0,0,0,19,2
1076795,0,0,0,0,0,0,19,2
1077213,0,0,0,0,0,0,20,2
1078026,0,0,0,0,0,0,20,2
1079623,0,0,0,0,0,0,20,2
1079889,0,0,0,0,0,0,20,2
1080602,0,0,0,0,0,0,20,2
1080745,0,0,0,0,0,0,20,2
1084436,0,0,0,0,0,0,21,2
1085480,0,0,0,0,0,0,22,2
1087686,0,0,0,0,0,0,22,2
1088730,0,0,0,0,0,0,22,2
1089783,0,0,0,0,0,0,23,2
1089969,0,0,0,0,0,0,24,2
1090042,0,0,0,0,0,0,23,3
1091636,0,0,0,0,0,0,23,3
1092680,0,0,0,0,0,0,23,3
1093033,0,0,0,0,0,0,23,3
1093219,0,0,0,0,0,0,23,3
1093417,0,0,0,0,0,0,22,4
1094073,0,0,0,0,0,0,23,4
1095773,0,0,0,0,0,0,24,4
1096370,0,0,0,0,0,0,25,4
1097169,0,0,0,0,0,0,25,4
1097323,0,0,0,0,0,0,25,4
1098885,0,0,0,0,0,0,25,4
1099023,0,0,0,0,0,0,25,4
1100086,0,0,0,0,0,0,26,4
1101273,0,0,0,0,0,0,26,4
1101566,0,0,0,0,0,0,27,4
1102503,0,0,0,0,0,0,26,5
1102973,0,0,0,0,0,0,26,5
1103252,0,0,0,0,0,0,27,5
1103336,0,0,0,0,0,0,27,5
1104128,0,0,0,0,0,0,27,5
1105709,0,0,0,0,0,0,27,5
1106380,0,0,0,0,0,0,26,6
1106397,0,0,0,0,0,0,27,6
1107097,0,0,0,0,0,0,28,6
1107278,0,0,0,0,0,0,29,6
1107286,0,0,0,0,0,0,29,6
1109647,0,0,0,0,0,0,29,6
1110347,0,0,0,0,0,0,29,6
1110528,0,0,0,0,0,0,29,6
1112151,0,0,0,0,0,0,30,6
1112964,0,0,0,0,0,0,30,6
1113597,0,0,0,0,0,0,30,6
1113881,0,0,0,0,0,0,31,6
1114297,0,0,0,0,0,0,31,6
1114478,0,0,0,0,0,0,31,6
1114931,0,0,0,0,0,0,32,6
1117131,0,0,0,0,0,0,32,6
1118181,0,0,0,0,0,0,32,6
1119434,0,0,0,0,0,0,33,6
1119841,0,0,0,0,0,0,33,6
1120691,0,0,0,0,0,0,33,6
1120762,0,0,0,0,0,0,34,6
1121081,0,0,0,0,0,0,34,6
1121814,0,0,0,0,0,0,34,6
1122131,0,0,0,0,0,0,34,6
1122247,0,0,0,0,0,0,33,7
1123676,0,0,0,0,0,0,33,7
1136572,0,0,0,0,0,0,34,7
1139822,0,0,0,0,0,0,34,7
1142769,0,0,0,0,0,0,35,7
1143713,0,0,0,0,0,0,34,8
1143772,0,0,0,0,0,0,34,8
1144498,0,0,0,0,0,0,35,8
1144978,0,0,0,0,0,0,36,8
1145961,0,0,0,0,0,0,37,8
1146019,0,0,0,0,0,0,37,8
1147748,0,0,0,0,0,0,37,8
1148228,0,0,0,0,0,0,37,8
1149211,0,0,0,0,0,0,37,8
1149969,0,0,0,0,0,0,37,8
1151698,0,0,0,0,0,0,37,8
1152178,0,0,0,0,0,0,37,8
1152314,0,0,0,0,0,0,38,8
1152599,0,0,0,0,0,0,39,8
1153161,0,0,0,0,0,0,39,8
1153440,0,0,0,0,0,0,40,8
1154253,0,0,0,0,0,0,40,8
1155168,0,0,0,0,0,0,39,9
1156536,0,0,0,0,0,0,39,9
1167564,0,0,0,0,0,0,38,10
1169200,0,0,0,0,0,0,37,11
1176523,0,0,0,0,0,0,36,12
1180064,0,0,0,0,0,0,37,12
1180328,0,0,0,0,0,0,38,12
1180378,0,0,0,0,0,0,39,12
1183314,0,0,0,0,0,0,39,12
1183578,0,0,0,0,0,0,39,12
1183628,0,0,0,0,0,0,39,12
1186735,0,0,0,0,0,0,40,12
1187264,0,0,0,0,0,0,40,12
1187489,0,0,0,0,0,0,41,12
1187528,0,0,0,0,0,0,41,12
1187568,0,0,0,0,0,0,42,12
1187578,0,0,0,0,0,0,42,12
1188369,0,0,0,0,0,0,42,12
1188982,0,0,0,0,0,0,42,12
1190409,0,0,0,0,0,0,42,12
1195879,0,0,0,0,0,0,43,12
1197382,0,0,0,0,0,0,42,13
1199129,0,0,0,0,0,0,42,13
1199703,0,0,0,0,0,0,43,13
1202953,0,0,0,0,0,0,43,13
1203079,0,0,0,0,0,0,43,13
1204081,0,0,0,0,0,1,43,13
1204488,0,0,0,0,0,1,43,13
1205338,0,0,0,0,0,1,43,13
1206903,0,0,0,0,0,1,43,13
1210124,0,0,0,0,0,1,42,14
1210607,0,0,0,0,0,0,42,15
1219322,0,0,0,0,0,0,41,16
1220162,0,0,0,0,0,0,40,17
1220533,0,0,0,0,0,0,39,18
1222928,0,0,0,0,0,0,38,19
1248834,0,0,0,0,0,0,39,19
1249748,0,0,0,0,0,0,40,19
1252084,0,0,0,0,0,0,40,19
1252998,0,0,0,0,0,0,40,19
1256034,0,0,0,0,0,0,40,19
1256948,0,0,0,0,0,0,40,19
1269632,0,0,0,0,0,0,39,20
1293633,0,0,0,0,0,0,38,21
1299228,0,0,0,0,0,0,39,21
1300285,0,0,0,0,0,0,40,21
1300692,0,0,0,0,0,0,40,21
1301542,0,0,0,0,0,0,40,21
1302478,0,0,0,0,0,0,40,21
1306428,0,0,0,0,0,0,40,21
1307069,0,0,0,0,0,1,40,21
1307476,0,0,0,0,0,1,40,21
1308326,0,0,0,0,0,1,40,21
1310461,0,0,0,0,0,2,40,21
1310868,0,0,0,0,0,2,40,21
1311718,0,0,0,0,0,2,40,21
1313632,0,0,0,0,0,1,40,22
1318317,0,0,0,0,0,2,40,22
1318724,0,0,0,0,0,2,40,22
1319574,0,0,0,0,0,2,40,22
1320398,0,0,0,0,0,2,39,23
1327382,0,0,0,0,0,3,39,23
1327789,0,0,0,0,0,3,39,23
1328639,0,0,0,0,0,3,39,23
1330539,0,0,0,0,0,2,39,24
1332717,0,0,0,0,0,2,38,25
1340977,0,0,0,0,0,2,39,25
1344227,0,0,0,0,0,2,39,25
1348177,0,0,0,0,0,2,39,25
1361760,0,0,0,0,0,2,40,25
1363579,0,0,0,0,0,2,39,26
1365241,0,0,0,0,0,2,40,26
1366054,0,0,0,0,0,2,40,26
1367651,0,0,0,0,0,2,40,26
1373935,0,0,0,0,0,2,39,27
1379884,0,0,0,0,0,2,40,27
1383134,0,0,0,0,0,2,40,27
1384583,0,0,0,0,0,2,39,28
1387084,0,0,0,0,0,2,39,28
1390061,0,0,0,0,0,2,40,28
1391508,0,0,0,0,0,1,40,29
1393054,0,0,0,0,0,1,41,29
1393311,0,0,0,0,0,1,41,29
1394060,0,0,0,0,0,1,41,29
1394538,0,0,0,0,0,1,40,30
1395967,0,0,0,0,0,1,40,30
1397261,0,0,0,0,0,1,40,30
1405309,0,0,0,0,0,1,41,30
1408559,0,0,0,0,0,1,41,30
1412509,0,0,0,0,0,1,41,30
1432330,0,0,0,0,0,1,40,31
1435450,0,0,0,0,0,1,41,31
1438597,0,0,0,0,0,1,40,32
1438700,0,0,0,0,0,1,40,32
1442650,0,0,0,0,0,1,40,32
1443247,0,0,0,0,0,1,41,32
1444060,0,0,0,0,0,1,41,32
1445657,0,0,0,0,0,1,41,32
1472845,0,0,0,0,0,1,40,33
1478556,0,0,0,0,0,1,41,33
1481806,0,0,0,0,0,1,41,33
1484152,0,0,0,0,0,2,41,33
1484965,0,0,0,0,0,2,41,33
1485756,0,0,0,0,0,2,41,33
1487155,0,0,0,0,0,2,41,33
1505214,0,0,0,0,0,2,40,34
1523659,0,0,0,0,0,1,40,35
1541506,0,0,0,0,0,1,39,36
1547764,0,0,0,0,0,1,38,37
1595045,0,0,0,0,0,1,37,38
1634450,0,0,0,0,0,1,36,39
1711508,0,0,0,0,0,0,36,40
1933011,0,0,0,0,0,0,35,41
1935090,0,0,0,0,0,0,34,42
1940791,0,0,0,0,0,0,33,43
