time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
529666,0,0,0,0,0,0,2,0
544653,0,0,0,0,0,0,3,0
863276,0,0,0,0,0,0,4,0
867308,0,0,0,0,0,0,5,0
941115,0,0,0,0,0,0,6,0
951825,0,0,0,0,0,0,5,1
952842,0,0,0,0,0,0,6,1
958154,0,0,0,0,0,0,7,1
958289,0,0,0,0,0,0,8,1
979018,0,0,0,0,0,0,9,1
984210,0,0,0,0,0,0,10,1
986834,0,0,0,0,0,0,11,1
989042,0,0,0,0,0,0,12,1
1012459,0,0,0,0,0,0,11,2
1031456,0,0,0,0,0,0,12,2
1043900,0,0,0,0,0,0,13,2
1050596,0,0,0,0,0,0,14,2
1058360,0,0,0,0,0,0,15,2
1072689,0,0,0,0,0,0,16,2
1073402,0,0,0,0,0,0,17,2
1073545,0,0,0,0,0,0,18,2
1075378,0,0,0,0,0,0,19,2
1077213,0,0,0,0,0,0,20,2
1084436,0,0,0,0,0,0,21,2
1085480,0,0,0,0,0,0,22,2
1089783,0,0,0,0,0,0,23,2
1089969,0,0,0,0,0,0,24,2
1090042,0,0,0,0,0,0,23,3
1093417,0,0,0,0,0,0,22,4
1094073,0,0,0,0,0,0,23,4
1095773,0,0,0,0,0,0,24,4
1096370,0,0,0,0,0,0,25,4
1100086,0,0,0,0,0,0,26,4
1101566,0,0,0,0,0,0,27,4
1102503,0,0,0,0,0,0,26,5
1103252,0,0,0,0,0,0,27,5
1106380,0,0,0,0,0,0,26,6
1106397,0,0,0,0,0,0,27,6
1107097,0,0,0,0,0,0,28,6
1107278,0,0,0,0,0,0,29,6
1112151,0,0,0,0,0,0,30,6
1113881,0,0,0,0,0,0,31,6
1114931,0,0,0,0,0,0,32,6
1119434,0,0,0,0,0,0,33,6
1120762,0,0,0,0,0,0,34,6
1122247,0,0,0,0,0,0,33,7
1136572,0,0,0,0,0,0,34,7
1142769,0,0,0,0,0,0,35,7
1143713,0,0,0,0,0,0,34,8
1144498,0,0,0,0,0,0,35,8
1144978,0,0,0,0,0,0,36,8
1145961,0,0,0,0,0,0,37,8
1152314,0,0,0,0,0,0,38,8
1152599,0,0,0,0,0,0,39,8
1153440,0,0,0,0,0,0,40,8
1155168,0,0,0,0,0,0,39,9
1167564,0,0,0,0,0,0,38,10
1169200,0,0,0,0,0,0,37,11
1176523,0,0,0,0,0,0,36,12
1180064,0,0,0,0,0,0,37,12
1180328,0,0,0,0,0,0,38,12
1180378,0,0,0,0,0,0,39,12
1186735,0,0,0,0,0,0,40,12
1187489,0,0,0,0,0,0,41,12
1187568,0,0,0,0,0,0,42,12
1195879,0,0,0,0,0,0,43,12
1197382,0,0,0,0,0,0,42,13
1199703,0,0,0,0,0,0,43,13
1204081,0,0,0,0,0,0,43,13
1210124,0,0,0,0,0,0,42,14
1210607,0,0,0,0,0,0,42,15
1219322,0,0,0,0,0,0,41,16
1220162,0,0,0,0,0,0,40,17
1220533,0,0,0,0,0,0,39,18
1222928,0,0,0,0,0,0,38,19
1248834,0,0,0,0,0,0,39,19
1249748,0,0,0,0,0,0,40,19
1269632,0,0,0,0,0,0,39,20
1293633,0,0,0,0,0,0,38,21
1299228,0,0,0,0,0,0,39,21
1300285,0,0,0,0,0,0,40,21
1307069,0,0,0,0,0,0,40,21
1310461,0,0,0,0,0,0,40,21
1313632,0,0,0,0,0,0,39,22
1318317,0,0,0,0,0,0,39,22
1320398,0,0,0,0,0,0,38,23
1327382,0,0,0,0,0,0,38,23
1330539,0,0,0,0,0,0,38,24
1332717,0,0,0,0,0,0,38,25
1340977,0,0,0,0,0,0,39,25
1361760,0,0,0,0,0,0,40,25
1363579,0,0,0,0,0,0,39,26
1365241,0,0,0,0,0,0,39,26
1372687,0,0,0,0,0,0,39,27
1373935,0,0,0,0,0,0,39,28
1379884,0,0,0,0,0,0,40,28
1384583,0,0,0,0,0,0,39,29
1390061,0,0,0,0,0,0,40,29
