time,max,99th,95th,med
0,49.2,49.2,49.2,49.2
529666,49.2,49.2,49.2,49.2
544653,49.2,49.2,49.2,49.2
863276,49.2,49.2,49.2,49.2
867308,49.2,49.2,49.2,49.2
941115,49.2,49.2,49.2,49.2
951825,49.2,49.2,49.2,49.2
952842,49.2,49.2,49.2,49.2
958154,49.2,49.2,49.2,49.2
958289,49.2,49.2,49.2,49.2
979018,49.2,49.2,49.2,49.2
984210,49.2,49.2,49.2,49.2
986834,49.2,49.2,49.2,49.2
989042,49.2,49.2,49.2,49.2
1012459,49.2,49.2,49.2,49.2
1031456,49.2,49.2,49.2,49.2
1043900,49.2,49.2,49.2,49.2
1050596,49.2,49.2,49.2,49.2
1058360,49.2,49.2,49.2,49.2
1072689,49.2,49.2,49.2,49.2
1073402,49.2,49.2,49.2,49.2
1073545,49.2,49.2,49.2,49.2
1075378,49.2,49.2,49.2,49.2
1077213,49.2,49.2,49.2,49.2
1084436,49.2,49.2,49.2,49.2
1085480,49.2,49.2,49.2,49.2
1089783,49.2,49.2,49.2,49.2
1089969,49.2,49.2,49.2,49.2
1090042,49.2,49.2,49.2,49.2
1093417,49.2,49.2,49.2,49.2
1094073,49.2,49.2,49.2,49.2
1095773,49.2,49.2,49.2,49.2
1096370,49.2,49.2,49.2,49.2
1100086,49.2,49.2,49.2,49.2
1101566,49.2,49.2,49.2,49.2
1102503,49.2,49.2,49.2,49.2
1103252,49.2,49.2,49.2,49.2
1106380,49.2,49.2,49.2,49.2
1106397,49.2,49.2,49.2,49.2
1107097,49.2,49.2,49.2,22.0
1107278,49.2,49.2,49.2,22.0
1112151,49.2,49.2,49.2,22.0
1113881,49.2,49.2,49.2,22.0
1114931,49.2,49.2,49.2,22.0
1119434,49.2,49.2,49.2,49.2
1120762,49.2,49.2,49.2,22.0
1122247,49.2,49.2,49.2,22.0
1136572,49.2,49.2,49.2,22.0
1142769,49.2,49.2,49.2,22.0
1143713,49.2,49.2,49.2,22.0
1144498,49.2,49.2,49.2,22.0
1144978,49.2,49.2,49.2,22.0
1145961,49.2,49.2,49.2,22.0
1152314,49.2,49.2,49.2,22.0
1152599,49.2,49.2,49.2,22.0
1153440,49.2,49.2,49.2,22.0
1155168,49.2,49.2,49.2,22.0
1167564,49.2,49.2,49.2,22.0
1169200,49.2,49.2,49.2,22.0
1176523,49.2,49.2,49.2,17.0
1180064,49.2,49.2,49.2,22.0
1180328,49.2,49.2,49.2,22.0
1180378,49.2,49.2,49.2,22.0
1186735,49.2,49.2,49.2,22.0
1187489,49.2,49.2,49.2,22.0
1187568,49.2,49.2,49.2,22.0
1195879,49.2,49.2,49.2,22.0
1197382,49.2,49.2,49.2,22.0
1199703,49.2,49.2,49.2,22.0
1204081,49.2,49.2,49.2,22.0
1210124,49.2,49.2,49.2,22.0
1210607,49.2,49.2,49.2,22.0
1219322,49.2,49.2,49.2,22.0
1220162,49.2,49.2,49.2,22.0
1220533,49.2,49.2,49.2,22.0
1222928,49.2,49.2,49.2,22.0
1248834,49.2,49.2,49.2,22.0
1249748,49.2,49.2,49.2,22.0
1269632,49.2,49.2,49.2,22.0
1293633,49.2,49.2,49.2,22.0
1299228,49.2,49.2,49.2,22.0
1300285,49.2,49.2,49.2,49.2
1307069,49.2,49.2,49.2,49.2
1310461,49.2,49.2,49.2,49.2
1313632,49.2,49.2,49.2,49.2
1318317,49.2,49.2,49.2,49.2
1320398,49.2,49.2,49.2,49.2
1327382,49.2,49.2,49.2,49.2
1330539,49.2,49.2,49.2,49.2
1332717,49.2,49.2,49.2,49.2
1340977,49.2,49.2,49.2,49.2
1361760,49.2,49.2,49.2,49.2
1363579,49.2,49.2,49.2,49.2
1365241,49.2,49.2,49.2,49.2
1372687,49.2,49.2,49.2,49.2
1373935,49.2,49.2,49.2,49.2
1379884,49.2,49.2,49.2,49.2
1384583,49.2,49.2,49.2,49.2
1390061,49.2,49.2,49.2,49.2
1393054,49.2,49.2,49.2,49.2
1394538,49.2,49.2,49.2,49.2
1405309,49.2,49.2,49.2,49.2
1432330,49.2,49.2,49.2,49.2
1435450,49.2,49.2,49.2,49.2
1438597,49.2,49.2,49.2,49.2
1443247,49.2,49.2,49.2,49.2
1472845,49.2,49.2,49.2,49.2
1478556,49.2,49.2,49.2,49.2
1484152,49.2,49.2,49.2,49.2
1505214,49.2,49.2,49.2,49.2
1523659,49.2,49.2,49.2,49.2
1541506,49.2,49.2,49.2,49.2
1547764,49.2,49.2,49.2,49.2
1595045,49.2,49.2,49.2,49.2
1634450,49.2,49.2,49.2,49.2
1706239,49.2,49.2,49.2,49.2
1868887,49.2,49.2,49.2,49.2
1933011,49.2,49.2,49.2,49.2
1935090,49.2,49.2,49.2,49.2
1940791,49.2,49.2,49.2,49.2
1975599,49.2,49.2,49.2,49.2
2040234,49.2,49.2,49.2,49.2
2070363,49.2,49.2,49.2,49.2
2071562,49.2,49.2,49.2,49.2
2090721,49.2,49.2,49.2,49.2
2179629,49.2,49.2,49.2,49.2
2185747,49.2,49.2,49.2,49.2
2186525,49.2,49.2,49.2,49.2
2188384,49.2,49.2,49.2,49.2
2189933,49.2,49.2,49.2,49.2
2200700,49.2,49.2,49.2,49.2
2213842,49.2,49.2,49.2,49.2
2234906,49.2,49.2,49.2,49.2
2261332,49.2,49.2,49.2,49.2
2263787,49.2,49.2,49.2,49.2
2276724,49.2,49.2,49.2,49.2
2295786,49.2,49.2,49.2,49.2
2306427,49.2,49.2,49.2,49.2
2325554,49.2,49.2,49.2,49.2
2345868,49.2,49.2,49.2,49.2
2349195,49.2,49.2,49.2,49.2
2352778,49.2,49.2,49.2,49.2
2356419,49.2,49.2,49.2,49.2
2364788,49.2,49.2,49.2,49.2
2372380,49.2,49.2,49.2,49.2
2372471,49.2,49.2,49.2,49.2
2384044,49.2,49.2,49.2,49.2
2386254,49.2,49.2,49.2,49.2
2400683,49.2,49.2,49.2,49.2
2400817,49.2,49.2,49.2,49.2
2401669,49.2,49.2,49.2,49.2
2404019,49.2,49.2,49.2,49.2
2408636,49.2,49.2,49.2,49.2
2413831,49.2,49.2,49.2,49.2
2418633,49.2,49.2,49.2,49.2
2419308,49.2,49.2,49.2,49.2
2420412,49.2,49.2,49.2,49.2
2420436,49.2,49.2,49.2,49.2
2421752,49.2,49.2,49.2,22.0
2424054,49.2,49.2,49.2,22.0
2429268,49.2,49.2,49.2,22.0
2431841,49.2,49.2,49.2,22.0
2433983,49.2,49.2,49.2,22.0
2443299,49.2,49.2,49.2,22.0
2448390,49.2,49.2,49.2,22.0
2454375,49.2,49.2,49.2,22.0
2455391,49.2,49.2,49.2,22.0
2457849,49.2,49.2,49.2,22.0
2458013,49.2,49.2,49.2,22.0
2460171,49.2,49.2,49.2,22.0
2461677,49.2,49.2,49.2,22.0
2483096,49.2,49.2,49.2,22.0
2505773,49.2,49.2,49.2,22.0
2506690,49.2,49.2,49.2,22.0
2518484,49.2,49.2,49.2,22.0
2521203,49.2,49.2,49.2,22.0
2524337,49.2,49.2,49.2,22.0
2525150,49.2,49.2,49.2,22.0
2525825,49.2,49.2,49.2,22.0
2526918,49.2,49.2,49.2,22.0
2527787,49.2,49.2,49.2,22.0
2528603,49.2,49.2,49.2,22.0
2530186,49.2,49.2,49.2,22.0
2530215,49.2,49.2,49.2,22.0
2534591,49.2,49.2,49.2,22.0
2535412,49.2,49.2,49.2,22.0
2540332,49.2,49.2,49.2,22.0
2540506,49.2,49.2,49.2,22.0
2542692,49.2,49.2,49.2,22.0
2545394,49.2,49.2,49.2,22.0
2547588,49.2,49.2,49.2,22.0
2549665,49.2,49.2,49.2,22.0
2564879,49.2,49.2,49.2,17.0
2570987,49.2,49.2,49.2,22.0
2571702,49.2,49.2,49.2,22.0
2617889,49.2,49.2,49.2,22.0
2622472,49.2,49.2,49.2,22.0
2636166,49.2,49.2,49.2,22.0
2644741,49.2,49.2,49.2,22.0
2649460,49.2,49.2,49.2,22.0
2653275,49.2,49.2,49.2,22.0
2673547,49.2,49.2,49.2,22.0
2673762,49.2,49.2,49.2,22.0
2676098,49.2,49.2,49.2,22.0
2678504,49.2,49.2,49.2,22.0
2686129,49.2,49.2,49.2,22.0
2686574,49.2,49.2,49.2,22.0
2688754,49.2,49.2,49.2,22.0
2688934,49.2,49.2,49.2,22.0
