time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
931258,21,4,912416,912416,931258,18842,18842,18842,0,0,0
931389,24,16,926450,926450,931389,4939,4939,4939,0,0,0
985990,41,1,982125,982125,985990,3865,3865,3865,0,0,0
1000104,39,4,963028,963028,1000104,37076,37076,37076,0,0,0
1002141,47,1,993353,993353,1002141,8788,8788,8788,0,0,0
1005484,53,1,1003841,1003841,1005484,1643,1643,1643,0,0,0
1007779,42,4,989813,989813,1007779,17966,17966,17966,0,0,0
1009393,58,1,1007947,1007947,1009393,1446,1446,1446,0,0,0
1010364,55,8,1004200,1004200,1010364,6164,6164,6164,0,0,0
1012535,57,1,1006297,1006297,1012535,6238,6238,6238,0,0,0
1022558,49,4,999486,999486,1022558,23072,23072,23072,0,0,0
1025289,64,4,1023510,1023510,1025289,1779,1779,1779,0,0,0
1039575,18,1,906242,906242,1039575,133333,133333,133333,0,0,0
1044629,63,1,1022908,1022908,1044629,21721,21721,21721,0,0,0
1057446,73,8,1033426,1033426,1057446,24020,24020,24020,0,0,0
1086977,86,1,1078349,1078349,1086977,8628,8628,8628,0,0,0
1114631,91,1,1083560,1083560,1114631,31071,31071,31071,0,0,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1138678,122,8,1115754,1115754,1138678,22924,22924,22924,0,0,0
1150477,54,1,1004148,1004148,1150477,146329,146329,146329,0,0,0
1154811,83,4,1068634,1068634,1154811,86177,86177,64510,21667,1,0
1156171,126,4,1149652,1149652,1156171,6519,6519,6519,0,0,0
1174016,130,1,1158164,1158164,1174016,15852,15852,15852,0,0,0
1174693,131,1,1158343,1158343,1174693,16350,16350,16350,0,0,0
1175823,124,4,1119028,1119028,1175823,56795,56795,53957,2838,1,0
1181992,141,4,1163262,1163262,1181992,18730,18730,18730,0,0,0
1182048,116,8,1105595,1105595,1182048,76453,76453,59061,17392,2,0
1183985,95,1,1093901,1093901,1183985,90084,90084,90084,0,0,0
1185991,111,1,1099017,1099017,1185991,86974,86974,86974,0,0,0
1203924,76,1,1058834,1058834,1203924,145090,145090,145090,0,0,0
1225185,170,4,1194187,1194187,1225185,30998,30998,30998,0,0,0
1226214,151,1,1165398,1165398,1226214,60816,60816,60816,0,0,0
1226629,174,16,1223535,1223535,1226629,3094,3094,3094,0,0,0
1235463,171,4,1194668,1194668,1235463,40795,40795,40795,0,0,0
1237035,177,1,1234963,1234963,1237035,2072,2072,2072,0,0,0
1250682,140,1,1161628,1161628,1250682,89054,89054,89054,0,0,0
1256230,181,4,1241695,1241695,1256230,14535,14535,14535,0,0,0
1268265,195,4,1251897,1251897,1268265,16368,16368,16368,0,0,0
1269291,202,4,1255332,1255332,1269291,13959,13959,13959,0,0,0
1270720,159,1,1165542,1165542,1270720,105178,105178,105178,0,0,0
1273437,199,4,1255259,1255259,1273437,18178,18178,18178,0,0,0
1274247,142,1,1165251,1165251,1274247,108996,108996,108996,0,0,0
1282302,156,1,1165490,1165490,1282302,116812,116812,116812,0,0,0
1294887,196,1,1252909,1252909,1294887,41978,41978,41978,0,0,0
1327421,228,8,1326576,1326576,1327421,845,845,845,0,0,0
1334342,89,1,1078558,1078558,1334342,255784,255784,188501,67283,5,0
1343547,133,1,1161506,1161506,1343547,182041,182041,149480,32561,3,0
1351301,182,1,1244100,1244100,1351301,107201,107201,107201,0,0,0
1359350,233,16,1357023,1357023,1359350,2327,2327,2327,0,0,0
1360275,232,16,1355804,1355804,1360275,4471,4471,4471,0,0,0
