time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
931258,21,4,912416,912416,931258,18842,18842,18842,0,0,0
993678,41,1,982125,989813,993678,3865,11553,3865,7688,0,0
1005791,53,1,1003841,1004148,1005791,1643,1950,1643,307,0,0
1014538,58,1,1007947,1013092,1014538,1446,6591,1446,5145,0,0
1025734,64,4,1023510,1023955,1025734,1779,2224,1779,445,0,0
1039575,18,1,906242,906242,1039575,133333,133333,133333,0,0,0
1044514,24,16,926450,1039575,1044514,4939,118064,4939,113125,0,0
1050678,55,8,1004200,1044514,1050678,6164,46478,6164,40314,0,0
1050752,57,1,1006297,1044514,1050752,6238,44455,6238,38217,0,0
1053302,47,1,993353,1044514,1053302,8788,59949,8788,51161,0,0
1057540,22,4,912464,912464,1057540,145076,145076,145076,0,0,0
1062480,42,4,989813,1044514,1062480,17966,72667,17966,54701,0,0
1066235,63,1,1022908,1044514,1066235,21721,43327,21721,21606,0,0
1073750,49,4,999486,1050678,1073750,23072,74264,23072,51192,0,0
1081560,73,8,1033426,1057540,1081560,24020,48134,24020,24114,0,0
1087127,86,1,1078349,1078499,1087127,8628,8778,8628,150,0,0
1099556,39,4,963028,1062480,1099556,37076,136528,37076,99452,0,0
1116292,1,8,336541,336541,1116292,779751,779751,779751,0,0,0
1118098,91,1,1083560,1087027,1118098,31071,34538,31071,3467,0,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1139216,122,8,1115754,1116292,1139216,22924,23462,22924,538,0,0
1144756,25,16,926459,1099556,1144756,45200,218297,45200,173097,0,0
1159335,126,4,1149652,1152816,1159335,6519,9683,6519,3164,0,0
1174195,130,1,1158164,1158343,1174195,15852,16031,15852,179,0,0
1175685,131,1,1158343,1159335,1175685,16350,17342,16350,992,0,0
1183407,124,4,1119028,1129450,1183407,53957,64379,53957,10422,0,0
1194415,141,4,1163262,1175685,1194415,18730,31153,18730,12423,0,0
1198277,116,8,1105595,1139216,1198277,59061,92682,59061,33621,0,0
1209266,83,4,1068634,1144756,1209266,64510,140632,64510,76122,0,0
1215686,114,8,1099265,1144756,1215686,70930,116421,70930,45491,0,0
1225413,170,4,1194187,1194415,1225413,30998,31226,30998,228,0,0
1236501,151,1,1165398,1175685,1236501,60816,71103,60816,10287,0,0
1236612,171,4,1194668,1195817,1236612,40795,41944,40795,1149,0,0
1238573,177,1,1234963,1236501,1238573,2072,3610,2072,1538,0,0
1239706,174,16,1223535,1236612,1239706,3094,16171,3094,13077,0,0
1252001,20,4,912363,912363,1252001,339638,339638,339638,0,0,0
1266536,181,4,1241695,1252001,1266536,14535,24841,14535,10306,0,0
1275853,117,8,1105635,1198277,1275853,77576,170218,77576,92642,0,0
1280495,202,4,1255332,1266536,1280495,13959,25163,13959,11204,0,0
1292221,195,4,1251897,1275853,1292221,16368,40324,16368,23956,0,0
1294031,199,4,1255259,1275853,1294031,18178,38772,18178,20594,0,0
1296240,111,1,1099017,1209266,1296240,86974,197223,86974,110249,0,0
1298320,140,1,1161628,1209266,1298320,89054,136692,89054,47638,0,0
1299350,95,1,1093901,1209266,1299350,90084,205449,90084,115365,0,0
1317831,196,1,1252909,1275853,1317831,41978,64922,41978,22944,0,0
1331473,214,4,1279070,1280495,1331473,50978,52403,50978,1425,0,0
1332318,228,8,1326576,1331473,1332318,845,5742,845,4897,0,0
1333787,85,16,1078287,1239706,1333787,94081,255500,94081,161419,0,0
1352214,226,16,1312082,1332318,1352214,19896,40132,19896,20236,0,0
1390046,188,16,1245523,1333787,1390046,56259,144523,56259,88264,0,0
1392373,233,16,1357023,1390046,1392373,2327,35350,2327,33023,0,0
1393675,238,4,1369754,1390046,1393675,3629,23921,3629,20292,0,0
1396844,232,16,1355804,1392373,1396844,4471,41040,4471,36569,0,0
1403705,235,1,1365390,1392373,1403705,11332,38315,11332,26983,0,0
1411403,212,8,1277547,1352214,1411403,59189,133856,59189,74667,0,0
