time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
10006,1,1,6,6,10006,10000,10000,10000,0,0,0
27794,2,1,6,6,27794,27788,27788,27788,0,0,0
47452,4,1,10,10,47452,47442,47442,47442,0,0,0
50932,24,1,44506,44506,50932,6426,6426,6426,0,0,0
71728,8,1,17,17,71728,71711,71711,71711,0,0,0
88003,18,1,44488,44488,88003,43515,43515,43515,0,0,0
95121,0,1,0,0,95121,95121,95121,95121,0,0,0
96445,7,1,14,14,96445,96431,96431,96431,0,0,0
138519,11,1,22,22,138519,138497,138497,138497,0,0,0
164380,13,1,26,26,164380,164354,164354,164354,0,0,0
205786,27,1,44508,44508,205786,161278,161278,161278,0,0,0
214591,9,1,18,18,214591,214573,214573,214573,0,0,0
227498,32,1,225010,225010,227498,2488,2488,2488,0,0,0
233159,30,1,224999,224999,233159,8160,8160,8160,0,0,0
249917,22,1,44500,44500,249917,205417,205417,205417,0,0,0
283022,15,1,30,30,283022,282992,282992,282992,0,0,0
329579,33,1,225012,225012,329579,104567,104567,104567,0,0,0
365796,41,4,291313,291313,365796,74483,74483,74483,0,0,0
398384,28,1,224994,224994,398384,173390,173390,173390,0,0,0
399086,25,1,44507,44507,399086,354579,354579,354579,0,0,0
399377,21,1,44498,44498,399377,354879,354879,354879,0,0,0
603106,53,4,510191,510191,603106,92915,92915,92915,0,0,0
621381,38,4,291295,291295,621381,330086,330086,330086,0,0,0
687598,58,4,632338,632338,687598,55260,55260,55260,0,0,0
696856,57,4,632336,632336,696856,64520,64520,64520,0,0,0
712420,55,4,632320,632320,712420,80100,80100,80100,0,0,0
864042,63,2,719754,719754,864042,144288,144288,144288,0,0,0
867065,86,4,810604,810604,867065,56461,56461,56461,0,0,0
995702,174,2,961222,961222,995702,34480,34480,30389,4091,2,0
1014409,117,2,961023,961023,1014409,53386,53386,23673,29713,3,0
1022720,124,2,961048,961048,1022720,61672,61672,38311,23361,5,0
1038801,151,2,961143,961143,1038801,77658,77658,41336,36322,4,0
1051974,195,2,961295,961295,1051974,90679,90679,44984,45695,3,0
1056548,181,2,961246,961246,1056548,95302,95302,51020,44282,4,0
1059593,177,2,961233,961233,1059593,98360,98360,54078,44282,4,0
1060891,126,2,961055,961055,1060891,99836,99836,55829,44007,7,0
1063328,170,2,961208,961208,1063328,102120,102120,57838,44282,4,0
1074776,122,2,961041,961041,1074776,113735,113735,69713,44022,7,0
1086529,212,2,961361,961361,1086529,125168,125168,71896,53272,4,0
1091203,202,2,961318,961318,1091203,129885,129885,57433,72452,5,0
1094566,199,2,961308,961308,1094566,133258,133258,60778,72480,4,0
1116887,141,2,961106,961106,1116887,155781,155781,83048,72733,6,0
1139125,133,2,961078,961078,1139125,178047,178047,105235,72812,5,0
1182341,111,2,961001,961001,1182341,221340,221340,129898,91442,7,0
1188831,156,2,961160,961160,1188831,227671,227671,111787,115884,6,0
1200392,159,2,961171,961171,1200392,239221,239221,123337,115884,6,0
1303798,168,2,961201,961201,1303798,342597,342597,232861,109736,5,0
1369744,64,2,719767,719767,1369744,649977,649977,307293,342684,1,0
1381604,142,2,961109,961109,1381604,420495,420495,160362,260133,7,0
1403298,62,2,719748,719748,1403298,683550,683550,329010,354540,2,0
1509754,135,2,961086,961086,1509754,548668,548668,288511,260157,7,0
1510866,65,2,719816,719816,1510866,791050,791050,330045,461005,3,0
1520375,16,1,44477,44477,1520375,1475898,1475898,926043,549855,1,0
1525992,66,2,719849,719849,1525992,806143,806143,345135,461008,3,0
1601941,116,2,961019,961019,1601941,640922,640922,409436,231486,7,0
1689587,34,1,225015,225015,1689587,1464572,1464572,915833,548739,1,0
1786147,247,2,1743130,1743130,1786147,43017,43017,43017,0,0,0
1807822,140,2,961102,961102,1807822,846720,846720,452474,394246,8,0
1809282,233,2,1743072,1743072,1809282,66210,66210,66210,0,0,0
1816253,251,2,1743145,1743145,1816253,73108,73108,73108,0,0,0
1820420,238,2,1743092,1743092,1820420,77328,77328,77328,0,0,0
1820651,259,2,1743194,1743194,1820651,77457,77457,77457,0,0,0
1820655,232,2,1743067,1743067,1820655,77588,77588,77588,0,0,0
