time,max,99th,95th,med
0,7,7,7,7
219316,7,7,7,7
251674,12,7,7,12
251699,17,7,7,17
256418,22,7,7,22
256458,22,7,7,7
256459,22,12,12,12
258863,22,17,17,17
258886,22,22,22,22
258888,22,22,22,22
259585,22,22,22,22
259600,22,22,22,22
259609,22,22,22,22
262503,22,22,22,22
262517,22,22,22,22
262523,22,22,22,22
268877,22,22,22,22
273432,22,22,22,17
274530,22,22,22,17
276110,22,22,22,7
287957,22,22,22,7
291767,22,22,22,7
308826,22,22,22,7
309095,22,22,22,7
310067,22,22,22,7
310087,22,22,22,7
314735,22,22,22,7
322266,22,22,22,7
323621,22,22,22,7
328412,22,22,22,7
328414,22,22,22,7
340950,22,22,22,7
365624,22,22,22,7
368092,22,22,22,7
370895,22,22,22,7
378921,22,22,22,7
381592,22,17,17,7
396126,22,22,22,7
409806,22,22,22,7
409827,22,22,22,7
420889,22,22,22,7
423645,22,22,22,7
427463,22,17,17,7
434937,17,17,17,7
435612,17,17,17,7
438136,17,17,17,7
445554,17,17,17,7
461937,17,17,17,7
499454,22,17,17,7
507107,22,17,17,7
519236,22,17,17,7
526225,22,17,17,7
552756,22,17,17,7
559930,22,22,22,7
571052,22,22,22,7
580807,22,22,22,7
587485,22,22,22,7
595709,22,22,22,7
611761,22,22,22,7
667980,22,22,22,7
667990,22,22,22,7
681498,22,22,22,7
693194,22,22,22,7
693196,22,22,22,7
714019,22,22,22,7
768308,22,22,22,7
785065,22,22,22,7
898683,22,17,17,7
977077,22,22,22,7
996104,22,22,22,7
1015055,22,17,17,7
1029525,22,17,17,7
1057527,22,17,17,7
1070705,22,22,22,7
1070742,22,22,22,7
1070743,22,22,22,7
1078190,22,22,22,7
1085610,22,22,22,7
1088036,22,22,22,7
1088037,22,22,22,7
1089801,22,22,22,7
1090064,22,22,22,7
1090067,22,22,22,7
1090799,22,22,22,7
1091516,22,22,22,7
1094822,22,22,22,7
1099193,22,22,22,7
1099261,22,22,22,7
1108307,22,22,22,7
1122029,22,22,22,7
1122645,22,22,17,7
1125316,22,22,17,7
1146205,22,22,22,7
1148546,22,22,22,7
1148547,22,22,22,7
1151950,22,22,22,7
1163074,22,22,22,7
1173713,22,22,22,7
1176018,22,22,17,7
1179128,22,22,17,7
1181518,22,17,17,7
1184080,22,17,17,7
1184261,22,22,17,7
1184265,22,22,22,7
1186580,22,22,22,7
1196785,22,22,22,7
1196788,22,22,22,7
1214088,22,22,17,7
1221987,22,22,17,7
1222004,22,22,17,7
1274174,22,17,17,7
1281443,22,22,17,7
1281444,22,22,22,7
1282384,22,22,22,7
1282399,22,22,22,7
1298973,22,22,22,7
1304507,22,22,17,7
1305672,22,22,17,7
1307066,22,22,17,7
1307455,22,22,22,7
1308950,22,22,22,7
1314625,22,22,22,7
1319234,22,22,22,7
1320324,22,22,17,7
1322235,22,22,17,7
1322761,22,22,22,7
1330834,22,22,22,7
1330843,22,22,22,7
1362294,22,22,22,7
1362333,22,22,22,7
1388103,22,22,22,7
1388150,22,22,22,7
1398513,22,22,22,7
1422424,22,22,22,7
1422899,22,22,22,7
1433897,22,22,22,7
1469048,22,22,17,7
1485472,22,22,17,7
1565365,22,22,17,7
1566328,22,22,17,7
1571362,22,22,22,7
1571375,22,22,22,7
1571742,22,22,22,7
1581042,22,22,22,7
1589969,22,22,17,7
1600196,22,22,17,7
1601152,22,22,17,7
1609683,22,22,17,7
1610864,22,22,22,7
1610875,22,22,22,7
1630983,22,22,22,7
1630997,22,22,22,7
1631317,22,22,22,7
1631322,22,22,22,7
1647890,22,22,22,7
1651211,22,22,22,7
1664217,22,22,22,7
1664218,22,22,22,7
1667778,22,22,22,7
1667783,22,22,22,7
1668108,22,22,22,7
1679609,22,22,22,7
1687101,22,22,22,7
1687106,22,22,22,7
1687141,22,22,22,7
1687683,22,22,22,7
1695296,22,22,22,7
1696457,22,22,22,7
1711408,22,22,22,7
1711991,22,22,22,7
1716607,22,22,22,7
1716609,22,22,22,7
1721528,22,22,22,7
1722100,22,22,22,7
1723795,22,22,22,7
1737714,22,22,22,7
1738084,22,22,22,7
1755031,22,22,22,7
1777206,22,22,22,7
1778300,22,22,22,7
1784253,22,22,22,7
1789373,22,22,22,7
