time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
524706,4,8,512614,512614,524706,12092,12092,12092,0,0,0
559303,1,4,1456,1456,559303,557847,557847,557847,0,0,0
566163,7,8,542432,542432,566163,23731,23731,23731,0,0,0
597706,8,8,589714,589714,597706,7992,7992,7992,0,0,0
700895,16,8,680163,680163,700895,20732,20732,20732,0,0,0
710452,9,8,665621,665621,710452,44831,44831,44831,0,0,0
711640,15,8,680146,680146,711640,31494,31494,31494,0,0,0
872119,17,1,773814,773814,872119,98305,98305,98305,0,0,0
1017657,18,8,895207,895207,1017657,122450,122450,122450,0,0,0
1088393,24,8,972336,972336,1088393,116057,116057,116057,0,0,0
1122388,23,1,943298,943298,1122388,179090,179090,179090,0,0,0
1172065,19,8,929584,929584,1172065,242481,242481,242481,0,0,0
1209494,38,8,1207098,1207098,1209494,2396,2396,2396,0,0,0
1217530,37,8,1205035,1205035,1217530,12495,12495,12495,0,0,0
1224367,39,8,1209098,1209098,1224367,15269,15269,15269,0,0,0
1233895,41,4,1222021,1222021,1233895,11874,11874,11874,0,0,0
1293989,32,8,1198208,1198208,1293989,95781,95781,79321,16460,2,0
1294832,47,8,1288816,1288816,1294832,6016,6016,6016,0,0,0
1319802,30,8,1198165,1198165,1319802,121637,121637,102959,18678,2,0
1334289,40,8,1212768,1212768,1334289,121521,121521,96192,25329,3,0
1362931,53,8,1362087,1362087,1362931,844,844,844,0,0,0
1367580,55,8,1366817,1366817,1367580,763,763,763,0,0,0
1371382,54,8,1363741,1363741,1371382,7641,7641,7641,0,0,0
1379426,48,8,1300065,1300065,1379426,79361,79361,79361,0,0,0
1382774,58,8,1379974,1379974,1382774,2800,2800,2800,0,0,0
1404657,57,32,1379074,1379074,1404657,25583,25583,25583,0,0,0
1414222,49,8,1300853,1300853,1414222,113369,113369,95969,17400,1,0
1437296,64,8,1408253,1408253,1437296,29043,29043,29043,0,0,0
1450124,52,8,1361647,1361647,1450124,88477,88477,71077,17400,1,0
1455344,65,8,1435521,1435521,1455344,19823,19823,19823,0,0,0
1468415,72,8,1461874,1461874,1468415,6541,6541,6541,0,0,0
1470164,70,8,1453262,1453262,1470164,16902,16902,16902,0,0,0
1479908,71,8,1457822,1457822,1479908,22086,22086,22086,0,0,0
1546669,83,8,1529623,1529623,1546669,17046,17046,17046,0,0,0
1553082,85,8,1536518,1536518,1553082,16564,16564,15967,597,1,0
1566092,82,8,1499394,1499394,1566092,66698,66698,62725,3973,2,0
1660828,86,8,1545400,1545400,1660828,115428,115428,114851,577,1,0
1666589,66,8,1441858,1441858,1666589,224731,224731,98920,125811,2,0
1890377,62,8,1385826,1385826,1890377,504551,504551,231329,273222,2,0
1976114,111,8,1971303,1971303,1976114,4811,4811,4811,0,0,0
1981249,2,4,352430,352430,1981249,1628819,1628819,981830,646989,9,0
1989501,116,8,1987448,1987448,1989501,2053,2053,2053,0,0,0
1990266,108,8,1968479,1968479,1990266,21787,21787,21787,0,0,0
