time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
524706,4,8,512614,512614,524706,12092,12092,12092,0,0,0
559303,1,4,1456,1456,559303,557847,557847,557847,0,0,0
566163,7,8,542432,542432,566163,23731,23731,23731,0,0,0
597706,8,8,589714,589714,597706,7992,7992,7992,0,0,0
700895,16,8,680163,680163,700895,20732,20732,20732,0,0,0
710452,9,8,665621,665621,710452,44831,44831,44831,0,0,0
711640,15,8,680146,680146,711640,31494,31494,31494,0,0,0
872119,17,1,773814,773814,872119,98305,98305,98305,0,0,0
1018098,18,8,895207,895207,1018098,122891,122891,122450,441,1,0
1088393,24,8,972336,972336,1088393,116057,116057,116057,0,0,0
1121086,5,8,517969,517969,1121086,603117,603117,603117,0,0,0
1122388,23,1,943298,943298,1122388,179090,179090,179090,0,0,0
1172506,19,8,929584,929584,1172506,242922,242922,242481,441,1,0
1211878,6,8,533527,533527,1211878,678351,678351,678351,0,0,0
1233895,41,4,1222021,1222021,1233895,11874,11874,11874,0,0,0
1287055,32,8,1198208,1198208,1287055,88847,88847,79321,9526,4,0
1299550,37,8,1205035,1205035,1299550,94515,94515,12495,82020,2,0
1302734,38,8,1207098,1207098,1302734,95636,95636,2396,93240,2,0
1306879,30,8,1198165,1198165,1306879,108714,108714,102959,5755,2,0
1317952,39,8,1209098,1209098,1317952,108854,108854,15269,93585,2,0
1322711,47,8,1288816,1288816,1322711,33895,33895,6016,27879,1,0
1334483,2,4,352430,352430,1334483,982053,982053,981830,223,1,0
1362931,53,8,1362087,1362087,1362931,844,844,844,0,0,0
1367580,55,8,1366817,1366817,1367580,763,763,763,0,0,0
1404054,48,8,1300065,1300065,1404054,103989,103989,79361,24628,5,0
1404193,40,8,1212768,1212768,1404193,191425,191425,96192,95233,4,0
1438607,49,8,1300853,1300853,1438607,137754,137754,95969,41785,10,0
1517882,10,8,665969,665969,1517882,851913,851913,851490,423,2,0
1521748,52,8,1361647,1361647,1521748,160101,160101,71077,89024,10,0
1523291,58,8,1379974,1379974,1523291,143317,143317,2800,140517,1,0
1524266,54,8,1363741,1363741,1524266,160525,160525,7641,152884,1,0
1880918,59,8,1382142,1382142,1880918,498776,498776,357515,141261,2,0
2013480,25,8,972341,972341,2013480,1041139,1041139,995921,45218,5,0
2085800,124,1,2080187,2080187,2085800,5613,5613,5613,0,0,0
2260360,11,8,672805,672805,2260360,1587555,1587555,1586713,842,4,0
2351264,141,1,2347736,2347736,2351264,3528,3528,3528,0,0,0
2366821,128,1,2159458,2159458,2366821,207363,207363,205027,2336,2,0
2398631,131,1,2168059,2168059,2398631,230572,230572,228236,2336,2,0
2496595,62,8,1385826,1385826,2496595,1110769,1110769,231329,879440,5,0
2524381,64,8,1408253,1408253,2524381,1116128,1116128,29043,1087085,1,0
2533728,151,8,2533111,2533111,2533728,617,617,617,0,0,0
2544821,65,8,1435521,1435521,2544821,1109300,1109300,19823,1089477,3,0
2576786,156,1,2569772,2569772,2576786,7014,7014,7014,0,0,0
