time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
1456,0,0,0,0,0,0,2,0
352430,0,0,0,0,0,0,3,0
352712,0,0,0,0,0,0,4,0
512614,0,0,0,0,0,0,5,0
517969,0,0,0,0,0,0,6,0
524706,0,0,0,0,0,0,5,1
533527,0,0,0,0,0,0,6,1
542432,0,0,0,0,0,0,7,1
559303,0,0,0,0,0,0,6,2
566163,0,0,0,0,0,0,5,3
589714,0,0,0,0,0,0,6,3
597706,0,0,0,0,0,0,5,4
665621,0,0,0,0,0,0,6,4
665969,0,0,0,0,0,0,7,4
672805,0,0,0,0,0,0,8,4
672911,0,0,0,0,0,0,9,4
672933,0,0,0,0,0,0,10,4
672959,0,0,0,0,0,0,11,4
680146,0,0,0,0,0,0,12,4
680163,0,0,0,0,0,0,13,4
700895,0,0,0,0,0,0,12,5
710452,0,0,0,0,0,0,11,6
711640,0,0,0,0,0,0,10,7
773814,0,0,0,0,0,0,11,7
872119,0,0,0,0,0,0,10,8
895207,0,0,0,0,0,0,11,8
929584,0,0,0,0,0,0,12,8
937052,0,0,0,0,0,0,13,8
937075,0,0,0,0,0,1,13,8
937097,0,0,0,0,0,2,13,8
943298,0,0,0,0,0,3,13,8
972336,0,0,0,0,0,4,13,8
972341,0,0,0,0,0,5,13,8
972381,0,0,0,0,0,6,13,8
972384,0,0,0,0,0,7,13,8
972388,0,0,0,0,0,8,13,8
1017657,0,0,0,0,0,8,12,9
1121086,0,0,0,0,0,8,11,10
1172065,0,0,0,0,0,7,11,11
1198143,0,0,0,0,0,8,11,11
1198165,0,0,0,0,0,9,11,11
1198187,0,0,0,0,0,10,11,11
1198208,0,0,0,0,0,11,11,11
1198246,0,0,0,0,0,12,11,11
1202315,0,0,0,0,0,13,11,11
1202338,0,0,0,0,0,14,11,11
1202360,0,0,0,0,0,15,11,11
1205035,0,0,0,0,0,16,11,11
1207098,0,0,0,0,0,17,11,11
1209098,0,0,0,0,0,18,11,11
1211878,0,0,0,0,0,18,10,12
1212768,0,0,0,0,0,19,10,12
1222021,0,0,0,0,0,20,10,12
1273988,0,0,0,0,0,21,10,12
1274009,0,0,0,0,0,22,10,12
1274032,0,0,0,0,0,23,10,12
1274054,0,0,0,0,0,24,10,12
1274076,0,0,0,0,0,25,10,12
1288816,0,0,0,0,0,26,10,12
1300065,0,0,0,0,0,27,10,12
1300853,0,0,0,0,0,28,10,12
1315692,0,0,0,0,0,29,10,12
1316099,0,0,0,0,0,30,10,12
1334260,0,0,0,0,0,30,9,13
1361647,0,0,0,0,0,31,9,13
1362087,0,0,0,0,0,32,9,13
1363741,0,0,0,0,0,33,9,13
1366817,0,0,0,0,0,34,9,13
1379050,0,0,0,0,0,35,9,13
1379074,0,0,0,0,0,36,9,13
1379974,0,0,0,0,0,37,9,13
1382142,0,0,0,0,0,38,9,13
1383820,0,0,0,0,0,39,9,13
1383824,0,0,0,0,0,40,9,13
1385826,0,0,0,0,0,41,9,13
1387257,0,0,0,0,0,42,9,13
1408253,0,0,0,0,0,43,9,13
1431633,0,0,0,0,0,40,11,14
1435521,0,0,0,0,0,41,11,14
1441858,0,0,0,0,0,42,11,14
1441922,0,0,0,0,0,43,11,14
1447269,0,0,0,0,0,44,11,14
1448138,0,0,0,0,0,45,11,14
1453262,0,0,0,0,0,46,11,14
1457822,0,0,0,0,0,47,11,14
1461874,0,0,0,0,0,48,11,14
1463016,0,0,0,0,0,49,11,14
1463038,0,0,0,0,0,50,11,14
1463152,0,0,0,0,0,51,11,14
1463193,0,0,0,0,0,52,11,14
1463214,0,0,0,0,0,53,11,14
1466073,0,0,0,0,0,54,11,14
1466095,0,0,0,0,0,55,11,14
1488829,0,0,0,0,0,56,11,14
1491324,0,0,0,0,0,57,11,14
1499394,0,0,0,0,0,58,11,14
1517459,0,0,0,0,0,57,11,15
1529623,0,0,0,0,0,58,11,15
1533742,0,0,0,0,0,59,11,15
1536518,0,0,0,0,0,60,11,15
1545400,0,0,0,0,0,61,11,15
1546505,0,0,0,0,0,62,11,15
1547690,0,0,0,0,0,61,11,16
1548807,0,0,0,0,0,62,11,16
1548830,0,0,0,0,0,63,11,16
1548833,0,0,0,0,0,64,11,16
1548860,0,0,0,0,0,65,11,16
1548882,0,0,0,0,0,66,11,16
1548919,0,0,0,0,0,67,11,16
1548940,0,0,0,0,0,68,11,16
1548982,0,0,0,0,0,69,11,16
1549002,0,0,0,0,0,70,11,16
1549769,0,0,0,0,0,71,11,16
1572361,0,0,0,0,0,72,11,16
1574758,0,0,0,0,0,73,11,16
1597311,0,0,0,0,0,69,14,17
1610723,0,0,0,0,0,68,14,18
1700270,0,0,0,0,0,67,14,19
1741404,0,0,0,0,0,68,14,19
1779591,0,0,0,0,0,67,14,20
1784044,0,0,0,0,0,68,14,20
1789807,0,0,0,0,0,69,14,20
1794916,0,0,0,0,0,70,14,20
1811028,0,0,0,0,0,71,14,20
1818396,0,0,0,0,0,72,14,20
1933693,0,0,0,0,0,73,14,20
1963257,0,0,0,0,0,74,14,20
1968479,0,0,0,0,0,75,14,20
1971294,0,0,0,0,0,76,14,20
1971299,0,0,0,0,0,77,14,20
1971303,0,0,0,0,0,78,14,20
1976623,0,0,0,0,0,79,14,20
1978758,0,0,0,0,0,80,14,20
1984102,0,0,0,0,0,81,14,20
1986862,0,0,0,0,0,82,14,20
1987448,0,0,0,0,0,83,14,20
1991832,0,0,0,0,0,84,14,20
2035614,0,0,0,0,0,85,14,20
2045080,0,0,0,0,0,86,14,20
2045101,0,0,0,0,0,87,14,20
