time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
1456,0,0,0,0,0,0,2,0
352430,0,0,0,0,0,0,3,0
352712,0,0,0,0,0,0,4,0
512614,0,0,0,0,0,0,5,0
517969,0,0,0,0,0,0,6,0
524706,0,0,0,0,0,0,5,1
533527,0,0,0,0,0,0,6,1
542432,0,0,0,0,0,0,7,1
559303,0,0,0,0,0,0,6,2
566163,0,0,0,0,0,0,5,3
589714,0,0,0,0,0,0,6,3
597706,0,0,0,0,0,0,5,4
665621,0,0,0,0,0,0,6,4
665969,0,0,0,0,0,0,7,4
672805,0,0,0,0,0,0,8,4
672911,0,0,0,0,0,0,9,4
672933,0,0,0,0,0,0,10,4
672959,0,0,0,0,0,0,11,4
680146,0,0,0,0,0,0,12,4
680163,0,0,0,0,0,0,13,4
700895,0,0,0,0,0,0,12,5
710452,0,0,0,0,0,0,11,6
711640,0,0,0,0,0,0,10,7
773814,0,0,0,0,0,0,11,7
872119,0,0,0,0,0,0,10,8
895207,0,0,0,0,0,0,11,8
929584,0,0,0,0,0,0,12,8
937052,0,0,0,0,0,0,13,8
937075,0,0,0,0,0,1,13,8
937097,0,0,0,0,0,2,13,8
943298,0,0,0,0,0,2,11,8
972336,0,0,0,0,0,0,11,8
972341,0,0,0,0,0,0,11,8
972381,0,0,0,0,0,1,11,8
972384,0,0,0,0,0,2,11,8
972388,0,0,0,0,0,3,11,8
1017657,0,0,0,0,0,3,11,9
1088393,0,0,0,0,0,3,11,10
1108976,0,0,0,0,0,0,15,11
1121086,0,0,0,0,0,0,15,12
1151426,0,0,0,0,0,0,14,13
1172065,0,0,0,0,0,0,14,14
1198143,0,0,0,0,0,0,14,14
1198165,0,0,0,0,0,0,14,14
1198187,0,0,0,0,0,0,14,14
1198208,0,0,0,0,0,0,14,14
1198246,0,0,0,0,0,0,14,14
1202315,0,0,0,0,0,1,14,14
1202338,0,0,0,0,0,2,14,14
1202360,0,0,0,0,0,3,14,14
1205035,0,0,0,0,0,3,14,14
1207098,0,0,0,0,0,3,14,14
1209098,0,0,0,0,0,3,14,14
1209494,0,0,0,0,0,3,14,15
1211878,0,0,0,0,0,3,14,16
1212768,0,0,0,0,0,3,14,16
1217530,0,0,0,0,0,3,14,17
1222021,0,0,0,0,0,3,14,17
1224367,0,0,0,0,0,3,15,18
1231904,0,0,0,0,0,2,15,19
1233895,0,0,0,0,0,2,14,20
1273988,0,0,0,0,0,3,14,20
1274009,0,0,0,0,0,4,14,20
1274032,0,0,0,0,0,5,14,20
1274054,0,0,0,0,0,6,14,20
1274076,0,0,0,0,0,7,14,20
1277529,0,0,0,0,0,7,14,21
1288816,0,0,0,0,0,7,14,21
1294832,0,0,0,0,0,7,14,22
1300065,0,0,0,0,0,7,14,22
1300853,0,0,0,0,0,7,14,22
1301124,0,0,0,0,0,7,14,23
1308960,0,0,0,0,0,7,14,24
1315692,0,0,0,0,0,7,14,24
1316099,0,0,0,0,0,7,14,24
1334260,0,0,0,0,0,7,14,25
1361647,0,0,0,0,0,7,14,25
1362087,0,0,0,0,0,7,14,25
1362931,0,0,0,0,0,7,14,26
1363741,0,0,0,0,0,7,14,26
1366817,0,0,0,0,0,7,13,26
1367580,0,0,0,0,0,7,14,27
1371382,0,0,0,0,0,7,14,28
1379050,0,0,0,0,0,8,14,28
1379074,0,0,0,0,0,9,14,28
1379426,0,0,0,0,0,8,10,29
1379974,0,0,0,0,0,7,10,29
1382142,0,0,0,0,0,7,10,29
1382774,0,0,0,0,0,7,10,30
1383820,0,0,0,0,0,8,10,30
1383824,0,0,0,0,0,9,10,30
1385826,0,0,0,0,0,9,10,30
1387257,0,0,0,0,0,10,10,30
1396822,0,0,0,0,0,9,7,31
1405009,0,0,0,0,0,8,7,32
1408253,0,0,0,0,0,8,10,32
1432724,0,0,0,0,0,8,10,33
1435521,0,0,0,0,0,8,10,33
1437296,0,0,0,0,0,8,10,34
1441858,0,0,0,0,0,8,10,34
1441922,0,0,0,0,0,8,10,34
1447269,0,0,0,0,0,9,10,34
1448138,0,0,0,0,0,10,10,34
1453262,0,0,0,0,0,10,10,34
1455344,0,0,0,0,0,10,10,35
1457822,0,0,0,0,0,10,10,35
1461874,0,0,0,0,0,10,10,35
1463016,0,0,0,0,0,11,10,35
1463038,0,0,0,0,0,12,10,35
1463152,0,0,0,0,0,13,10,35
1463193,0,0,0,0,0,14,10,35
1463214,0,0,0,0,0,15,10,35
1466073,0,0,0,0,0,16,10,35
1466095,0,0,0,0,0,17,10,35
1468415,0,0,0,0,0,17,10,36
1470164,0,0,0,0,0,16,10,37
1479908,0,0,0,0,0,16,10,38
1488829,0,0,0,0,0,17,10,38
1491324,0,0,0,0,0,18,10,38
1499394,0,0,0,0,0,18,10,38
1517459,0,0,0,0,0,18,10,39
1529623,0,0,0,0,0,18,10,39
1533742,0,0,0,0,0,19,10,39
1536518,0,0,0,0,0,19,10,39
1540778,0,0,0,0,0,19,10,40
1545400,0,0,0,0,0,19,10,40
1546505,0,0,0,0,0,20,10,40
1546669,0,0,0,0,0,20,10,41
1548807,0,0,0,0,0,21,10,41
1548830,0,0,0,0,0,22,10,41
1548833,0,0,0,0,0,23,10,41
1548860,0,0,0,0,0,24,10,41
1548882,0,0,0,0,0,25,10,41
1548919,0,0,0,0,0,26,10,41
1548940,0,0,0,0,0,27,10,41
1548982,0,0,0,0,0,28,10,41
1549002,0,0,0,0,0,29,10,41
1549769,0,0,0,0,0,30,10,41
1552485,0,0,0,0,0,29,10,42
1562119,0,0,0,0,0,29,10,43
