time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
1456,0,0,0,0,0,0,2,0
352430,0,0,0,0,0,0,3,0
352712,0,0,0,0,0,0,4,0
512614,0,0,0,0,0,0,5,0
517969,0,0,0,0,0,0,6,0
524706,0,0,0,0,0,0,5,1
533527,0,0,0,0,0,0,6,1
542432,0,0,0,0,0,0,7,1
559303,0,0,0,0,0,0,6,2
566163,0,0,0,0,0,0,5,3
589714,0,0,0,0,0,0,6,3
597706,0,0,0,0,0,0,5,4
665621,0,0,0,0,0,0,6,4
665969,0,0,0,0,0,0,7,4
672805,0,0,0,0,0,0,8,4
672911,0,0,0,0,0,0,9,4
672933,0,0,0,0,0,0,10,4
672959,0,0,0,0,0,0,11,4
680146,0,0,0,0,0,0,12,4
680163,0,0,0,0,0,0,13,4
700895,0,0,0,0,0,0,12,5
710452,0,0,0,0,0,0,11,6
711640,0,0,0,0,0,0,10,7
773814,0,0,0,0,0,0,11,7
872119,0,0,0,0,0,0,10,8
895207,0,0,0,0,0,0,11,8
929584,0,0,0,0,0,0,12,8
937052,0,0,0,0,0,0,13,8
937075,0,0,0,0,0,1,13,8
937097,0,0,0,0,0,2,13,8
943298,0,0,0,0,0,3,13,8
972336,0,0,0,0,0,4,13,8
972341,0,0,0,0,0,4,14,8
972381,0,0,0,0,0,5,14,8
972384,0,0,0,0,0,6,14,8
972388,0,0,0,0,0,7,14,8
1017657,0,0,0,0,0,7,13,9
1088398,0,0,0,0,0,7,12,10
1121086,0,0,0,0,0,7,11,11
1172065,0,0,0,0,0,5,12,12
1198143,0,0,0,0,0,6,12,12
1198165,0,0,0,0,0,7,12,12
1198187,0,0,0,0,0,8,12,12
1198208,0,0,0,0,0,9,12,12
1198246,0,0,0,0,0,10,12,12
1202315,0,0,0,0,0,11,12,12
1202338,0,0,0,0,0,12,12,12
1202360,0,0,0,0,0,13,12,12
1205035,0,0,0,0,0,14,12,12
1207098,0,0,0,0,0,15,12,12
1209098,0,0,0,0,0,16,12,12
1211878,0,0,0,0,0,15,12,13
1212768,0,0,0,0,0,16,12,13
1214274,0,0,0,0,0,15,12,14
1222021,0,0,0,0,0,16,12,14
1226769,0,0,0,0,0,15,12,15
1238643,0,0,0,0,0,14,12,16
1253912,0,0,0,0,0,13,12,17
1273988,0,0,0,0,0,14,12,17
1274009,0,0,0,0,0,15,12,17
1274032,0,0,0,0,0,16,12,17
1274054,0,0,0,0,0,17,12,17
1274076,0,0,0,0,0,18,12,17
1288816,0,0,0,0,0,19,12,17
1300065,0,0,0,0,0,20,12,17
1300853,0,0,0,0,0,21,12,17
1315692,0,0,0,0,0,22,12,17
1316099,0,0,0,0,0,23,12,17
1333233,0,0,0,0,0,22,12,18
1334260,0,0,0,0,0,22,11,19
1337743,0,0,0,0,0,18,14,20
1339249,0,0,0,0,0,18,13,21
1351155,0,0,0,0,0,18,12,22
1361647,0,0,0,0,0,19,12,22
1362087,0,0,0,0,0,19,13,22
1363741,0,0,0,0,0,19,14,22
1364585,0,0,0,0,0,18,14,23
1366817,0,0,0,0,0,19,14,23
1372226,0,0,0,0,0,18,14,24
1372989,0,0,0,0,0,18,13,25
1379050,0,0,0,0,0,19,13,25
1379074,0,0,0,0,0,20,13,25
1379974,0,0,0,0,0,21,13,25
1382142,0,0,0,0,0,21,14,25
1383820,0,0,0,0,0,22,14,25
1383824,0,0,0,0,0,23,14,25
1384942,0,0,0,0,0,23,13,26
1385826,0,0,0,0,0,24,13,26
1387257,0,0,0,0,0,25,13,26
1408253,0,0,0,0,0,26,13,26
1417104,0,0,0,0,0,26,12,27
1433164,0,0,0,0,0,26,11,28
1433712,0,0,0,0,0,25,11,29
1433935,0,0,0,0,0,24,11,30
1435521,0,0,0,0,0,25,11,30
1440702,0,0,0,0,0,24,11,31
1441858,0,0,0,0,0,25,11,31
1441922,0,0,0,0,0,26,11,31
1447269,0,0,0,0,0,27,11,31
1448138,0,0,0,0,0,28,11,31
1453262,0,0,0,0,0,29,11,31
1457822,0,0,0,0,0,30,11,31
1459295,0,0,0,0,0,26,14,32
1460525,0,0,0,0,0,26,13,33
1461874,0,0,0,0,0,27,13,33
1462978,0,0,0,0,0,26,13,34
1463016,0,0,0,0,0,27,13,34
1463038,0,0,0,0,0,28,13,34
1463152,0,0,0,0,0,29,13,34
1463193,0,0,0,0,0,30,13,34
1463214,0,0,0,0,0,31,13,34
1466073,0,0,0,0,0,32,13,34
1466095,0,0,0,0,0,33,13,34
1469519,0,0,0,0,0,33,12,35
1476197,0,0,0,0,0,33,11,36
1481381,0,0,0,0,0,32,11,37
1488829,0,0,0,0,0,33,11,37
1491324,0,0,0,0,0,34,11,37
1499394,0,0,0,0,0,35,11,37
1517459,0,0,0,0,0,34,11,38
1529623,0,0,0,0,0,35,11,38
1533742,0,0,0,0,0,36,11,38
1536518,0,0,0,0,0,37,11,38
1545400,0,0,0,0,0,38,11,38
1546505,0,0,0,0,0,39,11,38
1548807,0,0,0,0,0,40,11,38
1548830,0,0,0,0,0,41,11,38
1548833,0,0,0,0,0,42,11,38
1548860,0,0,0,0,0,43,11,38
1548882,0,0,0,0,0,44,11,38
1548919,0,0,0,0,0,45,11,38
1548940,0,0,0,0,0,46,11,38
1548982,0,0,0,0,0,47,11,38
1549002,0,0,0,0,0,48,11,38
1549769,0,0,0,0,0,49,11,38
1558215,0,0,0,0,0,48,11,39
1572361,0,0,0,0,0,49,11,39
1574182,0,0,0,0,0,48,11,40
1574758,0,0,0,0,0,49,11,40
1580184,0,0,0,0,0,48,11,41
