time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2603599,1,1,266564,266564,2603599,2337035,2337035,2337035,0,0,0
3473655,57,1,2717244,2717244,3473655,756411,756411,756411,0,0,0
3617096,18,1,2025050,2025050,3617096,1592046,1592046,1592046,0,0,0
3891366,55,2,2678400,2678400,3891366,1212966,1212966,1212966,0,0,0
4112965,86,1,3175183,3175183,4112965,937782,937782,937782,0,0,0
4190937,41,1,2595254,2595254,4190937,1595683,1595683,1595683,0,0,0
4368055,108,1,3510315,4112965,4368055,255090,857740,255090,602650,0,0
4453052,110,1,3525795,4368055,4453052,84997,927257,84997,842260,0,0
4462942,58,1,2740512,2740512,4462942,1722430,1722430,1722430,0,0,0
4473682,64,1,2949862,2949862,4473682,1523820,1523820,1523820,0,0,0
4749823,66,1,2950505,2950505,4749823,1799318,1799318,1799318,0,0,0
4990646,107,1,3509664,3891366,4990646,1099280,1480982,1099280,381702,0,0
5021958,32,4,2532635,2532635,5021958,2489323,2489323,2489323,0,0,0
5035903,24,1,2100304,2100304,5035903,2935599,2935599,2935599,0,0,0
5108774,111,4,3538206,5021958,5108774,86816,1570568,86816,1483752,0,0
5624181,112,4,3538257,5108774,5624181,515407,2085924,515407,1570517,0,0
5629609,53,1,2669418,2669418,5629609,2960191,2960191,2960191,0,0,0
5693379,30,1,2454620,2454620,5693379,3238759,3238759,3238759,0,0,0
6885721,2,1,266566,266566,6885721,6619155,6619155,6619155,0,0,0
7994357,109,1,3510998,4190937,7994357,3803420,4483359,3803420,679939,0,0
8339478,92,1,3284451,3284451,8339478,5055027,5055027,5055027,0,0,0
8772233,72,1,3031681,3031681,8772233,5740552,5740552,5740552,0,0,0
9189508,74,1,3046805,3046805,9189508,6142703,6142703,6142703,0,0,0
10087759,96,1,3366387,3366387,10087759,6721372,6721372,6721372,0,0,0
11243386,22,1,2084777,2084777,11243386,9158609,9158609,9158609,0,0,0
11438107,38,1,2592367,2592367,11438107,8845740,8845740,8845740,0,0,0
11939311,63,1,2948117,2948117,11939311,8991194,8991194,8991194,0,0,0
12336900,49,1,2635460,2635460,12336900,9701440,9701440,9701440,0,0,0
12542665,100,1,3383194,3383194,12542665,9159471,9159471,9159471,0,0,0
12557085,4,1,290070,290070,12557085,12267015,12267015,12267015,0,0,0
13117590,68,1,2987445,2987445,13117590,10130145,10130145,10130145,0,0,0
13327153,106,1,3509374,3891366,13327153,9435787,9817779,9435787,381992,0,0
14098570,101,1,3389517,3389517,14098570,10709053,10709053,10709053,0,0,0
14159236,104,1,3502061,3502061,14159236,10657175,10657175,10657175,0,0,0
14267143,105,1,3509351,3617096,14267143,10650047,10757792,10650047,107745,0,0
16408739,21,1,2083781,2083781,16408739,14324958,14324958,14324958,0,0,0
16521478,85,1,3148396,3148396,16521478,13373082,13373082,13373082,0,0,0
