time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
266564,0,0,0,0,0,0,2,0
266566,0,0,0,0,0,0,3,0
289185,0,0,0,0,0,0,4,0
290070,0,0,0,0,0,0,5,0
291876,0,0,0,0,0,0,6,0
786808,0,0,0,0,0,0,7,0
1243820,0,0,0,0,0,0,8,0
1279491,0,0,0,0,0,0,9,0
1362192,0,0,0,0,0,0,10,0
1452854,0,0,0,0,0,0,11,0
1487280,0,0,0,0,0,0,12,0
1494845,0,0,0,0,0,0,13,0
1537172,0,0,0,0,0,0,14,0
1537243,0,0,0,0,0,0,15,0
1559948,0,0,0,0,0,0,16,0
1896806,0,0,0,0,0,0,17,0
2003517,0,0,0,0,0,0,18,0
2025050,0,0,0,0,0,0,19,0
2026073,0,0,0,0,0,0,20,0
2026383,0,0,0,0,0,0,21,0
2083781,0,0,0,0,0,0,22,0
2084777,0,0,0,0,0,0,23,0
2097261,0,0,0,0,0,0,24,0
2100304,0,0,0,0,0,0,25,0
2100307,0,0,0,0,0,0,26,0
2113144,0,0,0,0,0,0,27,0
2274866,0,0,0,0,0,0,28,0
2449488,0,0,0,0,0,0,29,0
2449642,0,0,0,0,0,0,30,0
2454620,0,0,0,0,0,0,31,0
2486553,0,0,0,0,0,0,32,0
2532635,0,0,0,0,0,0,33,0
2532663,0,0,0,0,0,0,34,0
2532908,0,0,0,0,0,0,35,0
2580746,0,0,0,0,0,0,36,0
2592271,0,0,0,0,0,0,37,0
2592337,0,0,0,0,0,0,38,0
2592367,0,0,0,0,0,0,39,0
2593223,0,0,0,0,0,0,40,0
2593602,0,0,0,0,0,0,41,0
2595254,0,0,0,0,0,0,42,0
2595255,0,0,0,0,0,0,43,0
2595591,0,0,0,0,0,0,44,0
2597361,0,0,0,0,0,0,45,0
2597371,0,0,0,0,0,0,46,0
2603599,0,0,0,0,0,0,45,1
2614324,0,0,0,0,0,0,46,1
2631213,0,0,0,0,0,0,47,1
2635455,0,0,0,0,0,0,48,1
2635460,0,0,0,0,0,0,49,1
2663373,0,0,0,0,0,0,50,1
2663374,0,0,0,0,0,0,51,1
2669417,0,0,0,0,0,0,52,1
2669418,0,0,0,0,0,0,53,1
2675408,0,0,0,0,0,0,54,1
2678400,0,0,0,0,0,0,55,1
2680341,0,0,0,0,0,0,56,1
2717244,0,0,0,0,0,0,57,1
2740512,0,0,0,0,0,0,58,1
2770101,0,0,0,0,0,0,59,1
2777576,0,0,0,0,0,0,60,1
2877615,0,0,0,0,0,0,61,1
2890966,0,0,0,0,0,0,62,1
2948117,0,0,0,0,0,0,63,1
2949862,0,0,0,0,0,0,64,1
2950237,0,0,0,0,0,0,65,1
2950505,0,0,0,0,0,0,66,1
2964979,0,0,0,0,0,0,67,1
2987445,0,0,0,0,0,0,68,1
3000159,0,0,0,0,0,0,69,1
3000822,0,0,0,0,0,0,70,1
3009876,0,0,0,0,0,0,71,1
3031681,0,0,0,0,0,0,72,1
3033601,0,0,0,0,0,0,73,1
3046805,0,0,0,0,0,0,74,1
3046811,0,0,0,0,0,0,75,1
3086290,0,0,0,0,0,0,76,1
3086292,0,0,0,0,0,0,77,1
3106680,0,0,0,0,0,0,78,1
3110214,0,0,0,0,0,0,79,1
3129585,0,0,0,0,0,0,80,1
3129645,0,0,0,0,0,0,81,1
3129852,0,0,0,0,0,0,82,1
3147031,0,0,0,0,0,0,83,1
3148287,0,0,0,0,0,0,84,1
3148396,0,0,0,0,0,0,85,1
3175183,0,0,0,0,0,0,86,1
3197839,0,0,0,0,0,0,87,1
3210601,0,0,0,0,0,0,88,1
3210667,0,0,0,0,0,0,89,1
3257189,0,0,0,0,0,0,90,1
3267762,0,0,0,0,0,0,91,1
3284451,0,0,0,0,0,0,92,1
3348382,0,0,0,0,0,0,93,1
3360689,0,0,0,0,0,0,94,1
3360721,0,0,0,0,0,0,95,1
3366387,0,0,0,0,0,0,96,1
3367379,0,0,0,0,0,0,97,1
3367585,0,0,0,0,0,0,98,1
3376792,0,0,0,0,0,0,99,1
3383194,0,0,0,0,0,0,100,1
3389517,0,0,0,0,0,0,101,1
3416286,0,0,0,0,0,0,102,1
3473655,0,0,0,0,0,0,101,2
3473876,0,0,0,0,0,0,102,2
3502061,0,0,0,0,0,0,103,2
3509351,0,0,0,0,0,0,103,2
3509374,0,0,0,0,0,0,104,2
3509664,0,0,0,0,0,0,104,2
3510315,0,0,0,0,0,0,104,2
3510998,0,0,0,0,0,0,106,2
3525795,0,0,0,0,0,0,107,2
3538206,0,0,0,0,0,1,107,2
3538257,0,0,0,0,0,2,107,2
3539024,0,0,0,0,0,2,107,2
3539025,0,0,0,0,0,3,107,2
3551250,0,0,0,0,0,3,107,2
3551333,0,0,0,0,0,3,107,2
3551397,0,0,0,0,0,3,107,2
3552201,0,0,0,0,0,3,107,3
3552772,0,0,0,0,0,3,107,3
3554308,0,0,0,0,0,3,107,3
3555137,0,0,0,0,0,3,107,3
3556468,0,0,0,0,0,3,107,3
3561873,0,0,0,0,0,3,110,3
3564060,0,0,0,0,0,3,110,3
3564757,0,0,0,0,0,3,110,3
3564766,0,0,0,0,0,3,110,3
3564927,0,0,0,0,0,3,110,3
3565275,0,0,0,0,0,3,110,3
3565365,0,0,0,0,0,3,110,4
3565623,0,0,0,0,0,3,110,5
3565644,0,0,0,0,0,3,110,5
3566016,0,0,0,0,0,3,110,5
3566453,0,0,0,0,0,3,110,5
3566765,0,0,0,0,0,3,110,5
3567039,0,0,0,0,0,3,110,5
3567044,0,0,0,0,0,3,110,5
3567641,0,0,0,0,0,3,110,6
3567705,0,0,0,0,0,4,110,6
3568044,0,0,0,0,0,4,110,6
3568314,0,0,0,0,0,5,110,6
3568406,0,0,0,0,0,5,110,6
3568584,0,0,0,0,0,5,110,6
3569055,0,0,0,0,0,5,110,6
3569099,0,0,0,0,0,5,110,6
3570115,0,0,0,0,0,5,110,6
3571105,0,0,0,0,0,5,110,6
3571167,0,0,0,0,0,5,110,6
3572822,0,0,0,0,0,5,110,7
3572850,0,0,0,0,0,5,110,7
3572960,0,0,0,0,0,5,110,7
3573017,0,0,0,0,0,5,110,8
3573828,0,0,0,0,0,5,110,8
3574004,0,0,0,0,0,5,110,8
3574099,0,0,0,0,0,5,110,8
3574639,0,0,0,0,0,5,111,8
3574847,0,0,0,0,0,5,111,8
3574908,0,0,0,0,0,5,111,8
3575019,0,0,0,0,0,5,111,8
3575206,0,0,0,0,0,5,111,8
3575265,0,0,0,0,0,5,111,8
3575294,0,0,0,0,0,5,111,8
3575341,0,0,0,0,0,5,111,9
3575453,0,0,0,0,0,5,111,9
3575658,0,0,0,0,0,5,111,10
3576531,0,0,0,0,0,5,111,11
3576571,0,0,0,0,0,5,111,11
3577076,0,0,0,0,0,5,111,11
3577410,0,0,0,0,0,5,111,11
3577412,0,0,0,0,0,5,111,11
3577496,0,0,0,0,0,5,111,11
3578012,0,0,0,0,0,5,111,11
3578165,0,0,0,0,0,5,111,12
3578169,0,0,0,0,0,5,111,12
3578752,0,0,0,0,0,5,111,12
3578780,0,0,0,0,0,5,111,12
3578792,0,0,0,0,0,5,111,12
3579062,0,0,0,0,0,6,111,12
3579142,0,0,0,0,0,6,111,13
3580145,0,0,0,0,0,6,111,14
3581475,0,0,0,0,0,6,111,15
3583573,0,0,0,0,0,6,111,15
3584166,0,0,0,0,0,6,111,15
3584239,0,0,0,0,0,6,111,16
3584508,0,0,0,0,0,6,111,17
3584602,0,0,0,0,0,6,111,18
3586063,0,0,0,0,0,6,111,18
3587686,0,0,0,0,0,6,111,19
3587805,0,0,0,0,0,6,111,19
3589456,0,0,0,0,0,6,111,20
3591558,0,0,0,0,0,6,111,20
3593759,0,0,0,0,0,6,111,21
3595245,0,0,0,0,0,6,111,22
3598054,0,0,0,0,0,6,111,22
3599192,0,0,0,0,0,6,111,23
3602446,0,0,0,0,0,6,111,24
3604281,0,0,0,0,0,6,111,25
3605302,0,0,0,0,0,6,111,25
3607083,0,0,0,0,0,6,111,25
3607097,0,0,0,0,0,6,111,25
3607156,0,0,0,0,0,6,111,25
3607159,0,0,0,0,0,6,111,25
3607978,0,0,0,0,0,6,111,26
3608384,0,0,0,0,0,6,111,27
3610792,0,0,0,0,0,6,111,28
3612318,0,0,0,0,0,6,111,28
3612767,0,0,0,0,0,6,110,28
3614844,0,0,0,0,0,6,110,29
3615055,0,0,0,0,0,6,110,29
3617096,0,0,0,0,0,6,110,30
3617598,0,0,0,0,0,6,110,31
3621198,0,0,0,0,0,7,110,31
3622101,0,0,0,0,0,8,110,31
3623909,0,0,0,0,0,9,110,31
3623941,0,0,0,0,0,10,110,31
3625840,0,0,0,0,0,8,111,32
3626966,0,0,0,0,0,9,111,32
3629169,0,0,0,0,0,10,111,32
3630214,0,0,0,0,0,11,111,32
3630251,0,0,0,0,0,12,111,32
3630424,0,0,0,0,0,12,110,32
3633062,0,0,0,0,0,12,110,32
3636707,0,0,0,0,0,12,110,33
3637262,0,0,0,0,0,13,110,33
3637273,0,0,0,0,0,13,109,33
3637534,0,0,0,0,0,13,109,33
3640288,0,0,0,0,0,13,110,33
3640478,0,0,0,0,0,13,110,33
3640564,0,0,0,0,0,13,110,33
3641211,0,0,0,0,0,13,110,34
3641775,0,0,0,0,0,13,110,35
3642439,0,0,0,0,0,13,110,35
3642563,0,0,0,0,0,13,110,36
3643016,0,0,0,0,0,13,110,36
3643855,0,0,0,0,0,13,110,36
3645816,0,0,0,0,0,13,110,37
3646276,0,0,0,0,0,13,110,37
3647004,0,0,0,0,0,13,113,37
3647016,0,0,0,0,0,13,113,37
3647020,0,0,0,0,0,13,113,37
