time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
618920,1,1,303,303,618920,618617,618617,618617,0,0,0
678979,24,4,677527,677527,678979,1452,1452,1452,0,0,0
686451,30,4,685458,685458,686451,993,993,993,0,0,0
689538,25,4,677552,677552,689538,11986,11986,11986,0,0,0
703043,41,4,702387,702387,703043,656,656,656,0,0,0
706442,32,8,691530,691530,706442,14912,14912,14912,0,0,0
710902,22,1,659689,659689,710902,51213,51213,51213,0,0,0
722516,42,1,707298,707298,722516,15218,15218,15218,0,0,0
746173,21,4,659244,659244,746173,86929,86929,86929,0,0,0
764185,28,1,681960,681960,764185,82225,82225,82225,0,0,0
767080,47,4,752051,752051,767080,15029,15029,15029,0,0,0
772317,55,1,770172,770172,772317,2145,2145,2145,0,0,0
772476,53,1,770107,770107,772476,2369,2369,2369,0,0,0
785082,58,1,784631,784631,785082,451,451,451,0,0,0
789453,49,1,758467,758467,789453,30986,30986,30986,0,0,0
797570,63,1,790989,790989,797570,6581,6581,6581,0,0,0
797872,64,8,791731,791731,797872,6141,6141,6141,0,0,0
799004,54,1,770166,770166,799004,28838,28838,28838,0,0,0
799132,27,1,681903,681903,799132,117229,117229,117229,0,0,0
816350,62,1,788131,788131,816350,28219,28219,28219,0,0,0
868412,29,1,682053,682053,868412,186359,186359,186359,0,0,0
875735,76,1,859912,859912,875735,15823,15823,15823,0,0,0
881966,66,1,797852,797852,881966,84114,84114,84114,0,0,0
887837,79,1,860230,860230,887837,27607,27607,27607,0,0,0
892586,38,1,699991,699991,892586,192595,192595,192595,0,0,0
893892,68,1,828427,828427,893892,65465,65465,65465,0,0,0
915278,34,4,698186,698186,915278,217092,217092,217092,0,0,0
940246,92,8,927085,927085,940246,13161,13161,13161,0,0,0
947099,86,1,916069,916069,947099,31030,31030,31030,0,0,0
955148,101,4,942406,942406,955148,12742,12742,12742,0,0,0
956029,26,1,681808,681808,956029,274221,274221,274221,0,0,0
962851,116,4,960929,960929,962851,1922,1922,1922,0,0,0
964065,77,1,859942,859942,964065,104123,104123,104123,0,0,0
967383,100,1,939909,939909,967383,27474,27474,27474,0,0,0
974064,122,2,971624,971624,974064,2440,2440,2440,0,0,0
974162,117,4,965967,965967,974162,8195,8195,8195,0,0,0
975593,106,1,949480,949480,975593,26113,26113,26113,0,0,0
977080,126,16,975682,975682,977080,1398,1398,1398,0,0,0
977498,124,4,975284,975284,977498,2214,2214,2214,0,0,0
987607,125,8,975315,975315,987607,12292,12292,12292,0,0,0
990991,78,1,860177,860177,990991,130814,130814,130814,0,0,0
998509,107,4,951714,951714,998509,46795,46795,46795,0,0,0
1001953,91,8,927061,927061,1001953,74892,74892,36279,38613,1,0
1003510,104,4,945005,945005,1003510,58505,58505,58505,0,0,0
1004724,43,1,731609,731609,1004724,273115,273115,273115,0,0,0
1014021,140,1,1009752,1009752,1014021,4269,4269,4269,0,0,0
1015999,151,8,1015171,1015171,1015999,828,828,828,0,0,0
1029732,157,8,1019746,1019746,1029732,9986,9986,9986,0,0,0
1033101,143,1,1011431,1011431,1033101,21670,21670,21670,0,0,0
1034190,141,8,1009753,1009753,1034190,24437,24437,13419,11018,2,0
1041340,153,8,1015607,1015607,1041340,25733,25733,20277,5456,3,0
1042214,144,1,1011444,1011444,1042214,30770,30770,30770,0,0,0
1045092,142,1,1009921,1009921,1045092,35171,35171,35171,0,0,0
1053326,160,8,1020728,1020728,1053326,32598,32598,21781,10817,1,0
1055397,195,1,1051982,1051982,1055397,3415,3415,3415,0,0,0
1055433,95,1,933847,933847,1055433,121586,121586,120207,1379,2,0
1056648,199,2,1053097,1053097,1056648,3551,3551,3551,0,0,0
1060495,205,32,1056856,1056856,1060495,3639,3639,3639,0,0,0
1066544,146,1,1011491,1011491,1066544,55053,55053,55053,0,0,0
1070188,200,4,1053805,1053805,1070188,16383,16383,16383,0,0,0
1088025,212,4,1086175,1086175,1088025,1850,1850,1850,0,0,0
1092654,52,1,770107,770107,1092654,322547,322547,245251,77296,6,0
1095771,198,1,1052260,1052260,1095771,43511,43511,43511,0,0,0
1106971,223,8,1100282,1100282,1106971,6689,6689,6689,0,0,0
1112454,224,1,1102280,1102280,1112454,10174,10174,10174,0,0,0
1113486,232,1,1112032,1112032,1113486,1454,1454,1454,0,0,0
1114008,228,1,1111939,1111939,1114008,2069,2069,2069,0,0,0
1121518,235,1,1117248,1117248,1121518,4270,4270,4270,0,0,0
1122497,188,1,1050163,1050163,1122497,72334,72334,72334,0,0,0
1146361,159,8,1020424,1020424,1146361,125937,125937,52036,73901,8,0
1147513,225,1,1104538,1104538,1147513,42975,42975,42975,0,0,0
1158464,238,4,1131679,1131679,1158464,26785,26785,26785,0,0,0
1160443,210,1,1081548,1081548,1160443,78895,78895,78895,0,0,0
1170922,213,1,1086925,1086925,1170922,83997,83997,83997,0,0,0
1172770,118,4,966307,966307,1172770,206463,206463,74336,132127,2,0
1180149,185,1,1050065,1050065,1180149,130084,130084,130084,0,0,0
1184927,154,1,1016124,1016124,1184927,168803,168803,168803,0,0,0
1195153,233,8,1112061,1112061,1195153,83092,83092,39060,44032,1,0
1200699,184,1,1048001,1048001,1200699,152698,152698,152698,0,0,0
1210514,214,1,1091804,1091804,1210514,118710,118710,118710,0,0,0
1214652,145,1,1011490,1011490,1214652,203162,203162,203162,0,0,0
1218433,133,1,1009599,1009599,1218433,208834,208834,208834,0,0,0
1220092,247,1,1216816,1216816,1220092,3276,3276,3276,0,0,0
1222226,196,1,1052041,1052041,1222226,170185,170185,170185,0,0,0
1231235,90,1,925798,925798,1231235,305437,305437,239866,65571,4,0
1246278,186,4,1050107,1050107,1246278,196171,196171,76035,120136,2,0
1250433,111,1,953581,953581,1250433,296852,296852,246338,50514,1,0
1251449,152,8,1015222,1015222,1251449,236227,236227,29354,206873,4,0
1272140,171,4,1030361,1030361,1272140,241779,241779,103934,137845,2,0
1275024,93,1,928926,928926,1275024,346098,346098,256265,89833,6,0
1280833,246,1,1216756,1216756,1280833,64077,64077,64077,0,0,0
1287600,251,8,1254126,1254126,1287600,33474,33474,33474,0,0,0
1302543,256,1,1300464,1300464,1302543,2079,2079,2079,0,0,0
1309829,230,1,1111946,1111946,1309829,197883,197883,197883,0,0,0
1334732,258,1,1300613,1300613,1334732,34119,34119,34119,0,0,0
1356891,248,1,1217219,1217219,1356891,139672,139672,139672,0,0,0
1359631,257,1,1300520,1300520,1359631,59111,59111,59111,0,0,0
1366484,275,8,1353307,1353307,1366484,13177,13177,13177,0,0,0
1377443,255,1,1300421,1300421,1377443,77022,77022,77022,0,0,0
1381981,290,8,1375978,1375978,1381981,6003,6003,6003,0,0,0
1382920,182,4,1038148,1038148,1382920,344772,344772,118193,226579,8,0
1385132,296,8,1383194,1383194,1385132,1938,1938,1938,0,0,0
1388366,280,8,1364025,1364025,1388366,24341,24341,24341,0,0,0
1395433,269,1,1352376,1352376,1395433,43057,43057,43057,0,0,0
1396295,194,1,1051175,1051175,1396295,345120,345120,318159,26961,4,0
1404303,263,8,1348123,1348123,1404303,56180,56180,27102,29078,1,0
1410180,273,8,1353025,1353025,1410180,57155,57155,31953,25202,1,0
1416401,266,8,1350983,1350983,1416401,65418,65418,39235,26183,2,0
1422182,288,8,1373583,1373583,1422182,48599,48599,48599,0,0,0
1440581,305,8,1438847,1438847,1440581,1734,1734,1734,0,0,0
1444103,295,1,1376148,1376148,1444103,67955,67955,67955,0,0,0
1444301,304,8,1437879,1437879,1444301,6422,6422,6422,0,0,0
1447823,51,1,769898,769898,1447823,677925,677925,395323,282602,13,0
1451235,307,1,1444474,1444474,1451235,6761,6761,6761,0,0,0
1452562,299,8,1433210,1433210,1452562,19352,19352,19352,0,0,0
1454866,310,1,1449742,1449742,1454866,5124,5124,5124,0,0,0
1455002,314,1,1451143,1451143,1455002,3859,3859,3859,0,0,0
1461016,301,8,1436232,1436232,1461016,24784,24784,24416,368,1,0
1486550,264,1,1350163,1350163,1486550,136387,136387,136387,0,0,0
1489789,315,8,1452992,1452992,1489789,36797,36797,36797,0,0,0
1494314,309,1,1448733,1448733,1494314,45581,45581,45581,0,0,0
