time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
618920,1,1,303,303,618920,618617,618617,618617,0,0,0
678979,24,4,677527,677527,678979,1452,1452,1452,0,0,0
686451,30,4,685458,685458,686451,993,993,993,0,0,0
689538,25,4,677552,677552,689538,11986,11986,11986,0,0,0
703043,41,4,702387,702387,703043,656,656,656,0,0,0
706442,32,8,691530,691530,706442,14912,14912,14912,0,0,0
710902,22,1,659689,659689,710902,51213,51213,51213,0,0,0
722516,42,1,707298,707298,722516,15218,15218,15218,0,0,0
746173,21,4,659244,659244,746173,86929,86929,86929,0,0,0
764185,28,1,681960,681960,764185,82225,82225,82225,0,0,0
767080,47,4,752051,752051,767080,15029,15029,15029,0,0,0
772317,55,1,770172,770172,772317,2145,2145,2145,0,0,0
772476,53,1,770107,770107,772476,2369,2369,2369,0,0,0
785082,58,1,784631,784631,785082,451,451,451,0,0,0
789453,49,1,758467,758467,789453,30986,30986,30986,0,0,0
797570,63,1,790989,790989,797570,6581,6581,6581,0,0,0
797872,64,8,791731,791731,797872,6141,6141,6141,0,0,0
799004,54,1,770166,770166,799004,28838,28838,28838,0,0,0
799132,27,1,681903,681903,799132,117229,117229,117229,0,0,0
816350,62,1,788131,788131,816350,28219,28219,28219,0,0,0
868412,29,1,682053,682053,868412,186359,186359,186359,0,0,0
875735,76,1,859912,859912,875735,15823,15823,15823,0,0,0
881966,66,1,797852,797852,881966,84114,84114,84114,0,0,0
887837,79,1,860230,860230,887837,27607,27607,27607,0,0,0
892586,38,1,699991,699991,892586,192595,192595,192595,0,0,0
893892,68,1,828427,828427,893892,65465,65465,65465,0,0,0
915278,34,4,698186,698186,915278,217092,217092,217092,0,0,0
947099,86,1,916069,916069,947099,31030,31030,31030,0,0,0
956029,26,1,681808,681808,956029,274221,274221,274221,0,0,0
964065,77,1,859942,859942,964065,104123,104123,104123,0,0,0
990991,78,1,860177,860177,990991,130814,130814,130814,0,0,0
993008,85,8,914753,914753,993008,78255,78255,78255,0,0,0
1004724,43,1,731609,731609,1004724,273115,273115,273115,0,0,0
1015358,52,1,770107,770107,1015358,245251,245251,245251,0,0,0
1097215,33,8,691532,691532,1097215,405683,405683,405683,0,0,0
1138849,88,8,919520,993008,1138849,145841,219329,145841,73488,0,0
1140549,45,1,737715,737715,1140549,402834,402834,402834,0,0,0
1158807,61,1,788129,788129,1158807,370678,370678,370678,0,0,0
1159385,87,8,916934,916934,1159385,242451,242451,242451,0,0,0
1165221,51,1,769898,769898,1165221,395323,395323,395323,0,0,0
1172546,92,8,927085,1159385,1172546,13161,245461,13161,232300,0,0
1175128,91,8,927061,1138849,1175128,36279,248067,36279,211788,0,0
1187870,101,4,942406,1175128,1187870,12742,245464,12742,232722,0,0
1200020,100,1,939909,1172546,1200020,27474,260111,27474,232637,0,0
1210690,89,8,920721,1097215,1210690,113475,289969,113475,176494,0,0
1258097,48,4,756463,756463,1258097,501634,501634,501634,0,0,0
1269195,104,4,945005,1210690,1269195,58505,324190,58505,265685,0,0
1274161,102,8,943745,1187870,1274161,86291,330416,86291,244125,0,0
1279592,95,1,933847,1159385,1279592,120207,345745,120207,225538,0,0
1295308,106,1,949480,1269195,1295308,26113,345828,26113,319715,0,0
1320956,107,4,951714,1274161,1320956,46795,369242,46795,322447,0,0
1337081,90,1,925798,1097215,1337081,239866,411283,239866,171417,0,0
1344977,56,1,777378,777378,1344977,567599,567599,567599,0,0,0
1354921,99,4,938126,1172546,1354921,182375,416795,182375,234420,0,0
1384884,96,8,934096,1172546,1384884,212338,450788,212338,238450,0,0
1415650,93,1,928926,1159385,1415650,256265,486724,256265,230459,0,0
1525047,110,4,952575,1354921,1525047,170126,572472,170126,402346,0,0
1552099,57,1,784329,784329,1552099,767770,767770,767770,0,0,0
1558915,112,8,953698,1384884,1558915,174031,605217,174031,431186,0,0
1601259,111,1,953581,1354921,1601259,246338,647678,246338,401340,0,0
1679282,18,1,497648,497648,1679282,1181634,1181634,1181634,0,0,0
1703411,97,1,934234,1172546,1703411,530865,769177,530865,238312,0,0
1753244,105,8,945497,1269195,1753244,484049,807747,484049,323698,0,0
1753498,2,1,328,328,1753498,1753170,1753170,1753170,0,0,0
1784852,94,1,933791,1159385,1784852,625467,851061,625467,225594,0,0
1906436,65,1,797846,797846,1906436,1108590,1108590,1108590,0,0,0
1963214,39,1,700542,700542,1963214,1262672,1262672,1262672,0,0,0
1971307,50,8,765496,765496,1971307,1205811,1205811,1205811,0,0,0
1973229,116,4,960929,1971307,1973229,1922,1012300,1922,1010378,0,0
1981424,117,4,965967,1973229,1981424,8195,1015457,8195,1007262,0,0
2055760,118,4,966307,1981424,2055760,74336,1089453,74336,1015117,0,0
2204998,20,1,659108,659108,2204998,1545890,1545890,1545890,0,0,0
2223039,31,8,691498,691498,2223039,1531541,1531541,1531541,0,0,0
2225253,124,4,975284,2223039,2225253,2214,1249969,2214,1247755,0,0
2225479,122,2,971624,2223039,2225479,2440,1253855,2440,1251415,0,0
2301382,103,4,944459,1210690,2301382,1090692,1356923,1090692,266231,0,0
2313674,125,8,975315,2301382,2313674,12292,1338359,12292,1326067,0,0
2410938,108,8,952378,1320956,2410938,1089982,1458560,1089982,368578,0,0
2412336,126,16,975682,2410938,2412336,1398,1436654,1398,1435256,0,0
2445950,121,4,968119,2223039,2445950,222911,1477831,222911,1254920,0,0
2555987,119,4,966743,2055760,2555987,500227,1589244,500227,1089017,0,0
2635789,115,8,957940,1971307,2635789,664482,1677849,664482,1013367,0,0
2676184,130,8,1006812,2635789,2676184,40395,1669372,40395,1628977,0,0
2680453,140,1,1009752,2676184,2680453,4269,1670701,4269,1666432,0,0
2732368,4,1,103686,103686,2732368,2628682,2628682,2628682,0,0,0
2763700,69,1,838439,838439,2763700,1925261,1925261,1925261,0,0,0
2780072,132,8,1009453,2676184,2780072,103888,1770619,103888,1666731,0,0
2793491,141,8,1009753,2780072,2793491,13419,1783738,13419,1770319,0,0
2801742,143,1,1011431,2780072,2801742,21670,1790311,21670,1768641,0,0
2804427,127,16,987167,2412336,2804427,392091,1817260,392091,1425169,0,0
2810842,144,1,1011444,2780072,2810842,30770,1799398,30770,1768628,0,0
2815243,142,1,1009921,2780072,2815243,35171,1805322,35171,1770151,0,0
2835125,146,1,1011491,2780072,2835125,55053,1823634,55053,1768581,0,0
2885018,133,1,1009599,2676184,2885018,208834,1875419,208834,1666585,0,0
2895347,147,8,1014953,2793491,2895347,101856,1880394,101856,1778538,0,0
2933712,80,8,863730,863730,2933712,2069982,2069982,2069982,0,0,0
2934540,151,8,1015171,2933712,2934540,828,1919369,828,1918541,0,0
2953199,148,8,1015021,2804427,2953199,148772,1938178,148772,1789406,0,0
2963894,152,8,1015222,2934540,2963894,29354,1948672,29354,1919318,0,0
2973476,153,8,1015607,2953199,2973476,20277,1957869,20277,1937592,0,0
2973880,157,8,1019746,2963894,2973880,9986,1954134,9986,1944148,0,0
2983234,145,1,1011490,2780072,2983234,203162,1971744,203162,1768582,0,0
3011233,109,1,952492,1320956,3011233,1690277,2058741,1690277,368464,0,0
3025916,159,8,1020424,2973880,3025916,52036,2005492,52036,1953456,0,0
3039039,123,2,975247,2223039,3039039,816000,2063792,816000,1247792,0,0
3047697,160,8,1020728,3025916,3047697,21781,2026969,21781,2005188,0,0
3122002,154,1,1016124,2953199,3122002,168803,2105878,168803,1937075,0,0
3185577,44,8,734387,734387,3185577,2451190,2451190,2451190,0,0,0
3242402,82,1,886247,886247,3242402,2356155,2356155,2356155,0,0,0
3248080,150,8,1015093,2895347,3248080,352733,2232987,352733,1880254,0,0
3401906,128,1,1005321,2412336,3401906,989570,2396585,989570,1407015,0,0
3440038,98,1,934328,1172546,3440038,2267492,2505710,2267492,238218,0,0
3654915,149,8,1015064,2804427,3654915,850488,2639851,850488,1789363,0,0
3758849,171,4,1030361,3654915,3758849,103934,2728488,103934,2624554,0,0
3774448,162,8,1023800,3047697,3774448,726751,2750648,726751,2023897,0,0
3793044,129,8,1006211,2555987,3793044,1237057,2786833,1237057,1549776,0,0
3853848,156,1,1016381,2953199,3853848,900649,2837467,900649,1936818,0,0
