time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
618920,1,1,303,303,618920,618617,618617,618617,0,0,0
678979,24,4,677527,677527,678979,1452,1452,1452,0,0,0
686451,30,4,685458,685458,686451,993,993,993,0,0,0
689538,25,4,677552,677552,689538,11986,11986,11986,0,0,0
703043,41,4,702387,702387,703043,656,656,656,0,0,0
706442,32,8,691530,691530,706442,14912,14912,14912,0,0,0
710902,22,1,659689,659689,710902,51213,51213,51213,0,0,0
722516,42,1,707298,707298,722516,15218,15218,15218,0,0,0
746173,21,4,659244,659244,746173,86929,86929,86929,0,0,0
764185,28,1,681960,681960,764185,82225,82225,82225,0,0,0
767080,47,4,752051,752051,767080,15029,15029,15029,0,0,0
772317,55,1,770172,770172,772317,2145,2145,2145,0,0,0
772476,53,1,770107,770107,772476,2369,2369,2369,0,0,0
785082,58,1,784631,784631,785082,451,451,451,0,0,0
789453,49,1,758467,758467,789453,30986,30986,30986,0,0,0
797570,63,1,790989,790989,797570,6581,6581,6581,0,0,0
797872,64,8,791731,791731,797872,6141,6141,6141,0,0,0
799004,54,1,770166,770166,799004,28838,28838,28838,0,0,0
799132,27,1,681903,681903,799132,117229,117229,117229,0,0,0
816350,62,1,788131,788131,816350,28219,28219,28219,0,0,0
868412,29,1,682053,682053,868412,186359,186359,186359,0,0,0
875735,76,1,859912,859912,875735,15823,15823,15823,0,0,0
881966,66,1,797852,797852,881966,84114,84114,84114,0,0,0
887837,79,1,860230,860230,887837,27607,27607,27607,0,0,0
892586,38,1,699991,699991,892586,192595,192595,192595,0,0,0
893892,68,1,828427,828427,893892,65465,65465,65465,0,0,0
915278,34,4,698186,698186,915278,217092,217092,217092,0,0,0
947099,86,1,916069,916069,947099,31030,31030,31030,0,0,0
956029,26,1,681808,681808,956029,274221,274221,274221,0,0,0
958239,101,4,942406,945497,958239,12742,15833,12742,3091,0,0
964065,77,1,859942,859942,964065,104123,104123,104123,0,0,0
967383,100,1,939909,939909,967383,27474,27474,27474,0,0,0
974064,122,2,971624,971624,974064,2440,2440,2440,0,0,0
975593,106,1,949480,949480,975593,26113,26113,26113,0,0,0
990991,78,1,860177,860177,990991,130814,130814,130814,0,0,0
992913,116,4,960929,990991,992913,1922,31984,1922,30062,0,0
993008,85,8,914753,914753,993008,78255,78255,78255,0,0,0
995127,124,4,975284,992913,995127,2214,19843,2214,17629,0,0
1001108,117,4,965967,992913,1001108,8195,35141,8195,26946,0,0
1004002,104,4,945005,945497,1004002,58505,58997,58505,492,0,0
1004724,43,1,731609,731609,1004724,273115,273115,273115,0,0,0
1005034,107,4,951714,958239,1005034,46795,53320,46795,6525,0,0
1005300,125,8,975315,993008,1005300,12292,29985,12292,17693,0,0
1014021,140,1,1009752,1009752,1014021,4269,4269,4269,0,0,0
1015358,52,1,770107,770107,1015358,245251,245251,245251,0,0,0
1016952,151,8,1015171,1016124,1016952,828,1781,828,953,0,0
1018461,92,8,927085,1005300,1018461,13161,91376,13161,78215,0,0
1024910,141,8,1009753,1011491,1024910,13419,15157,13419,1738,0,0
1033101,143,1,1011431,1011431,1033101,21670,21670,21670,0,0,0
1033786,157,8,1019746,1023800,1033786,9986,14040,9986,4054,0,0
1037229,153,8,1015607,1016952,1037229,20277,21622,20277,1345,0,0
1042214,144,1,1011444,1011444,1042214,30770,30770,30770,0,0,0
1045092,142,1,1009921,1009921,1045092,35171,35171,35171,0,0,0
1045619,160,8,1020728,1023838,1045619,21781,24891,21781,3110,0,0
1047815,152,8,1015222,1018461,1047815,29354,32593,29354,3239,0,0
1051300,91,8,927061,1015021,1051300,36279,124239,36279,87960,0,0
1054054,95,1,933847,933847,1054054,120207,120207,120207,0,0,0
1055397,195,1,1051982,1051982,1055397,3415,3415,3415,0,0,0
1056648,199,2,1053097,1053097,1056648,3551,3551,3551,0,0,0
1065305,130,8,1006812,1024910,1065305,40395,58493,40395,18098,0,0
1066544,146,1,1011491,1011491,1066544,55053,55053,55053,0,0,0
1067344,118,4,966307,993008,1067344,74336,101037,74336,26701,0,0
1070437,200,4,1053805,1054054,1070437,16383,16632,16383,249,0,0
1085822,159,8,1020424,1033786,1085822,52036,65398,52036,13362,0,0
1095771,198,1,1052260,1052260,1095771,43511,43511,43511,0,0,0
1097215,33,8,691532,691532,1097215,405683,405683,405683,0,0,0
1099065,212,4,1086175,1097215,1099065,1850,12890,1850,11040,0,0
1112454,224,1,1102280,1102280,1112454,10174,10174,10174,0,0,0
1113486,232,1,1112032,1112032,1113486,1454,1454,1454,0,0,0
1114008,228,1,1111939,1111939,1114008,2069,2069,2069,0,0,0
1120501,99,4,938126,938126,1120501,182375,182375,182375,0,0,0
1121518,235,1,1117248,1117248,1121518,4270,4270,4270,0,0,0
1122497,188,1,1050163,1050163,1122497,72334,72334,72334,0,0,0
1123520,102,8,943745,1037229,1123520,86291,179775,86291,93484,0,0
1127335,186,4,1050107,1051300,1127335,76035,77228,76035,1193,0,0
1130209,223,8,1100282,1123520,1130209,6689,29927,6689,23238,0,0
1140549,45,1,737715,737715,1140549,402834,402834,402834,0,0,0
1147475,147,8,1014953,1045619,1147475,101856,132522,101856,30666,0,0
1147513,225,1,1104538,1104538,1147513,42975,42975,42975,0,0,0
1151703,132,8,1009453,1047815,1151703,103888,142250,103888,38362,0,0
1155234,171,4,1030361,1051300,1155234,103934,124873,103934,20939,0,0
1158807,61,1,788129,788129,1158807,370678,370678,370678,0,0,0
1159385,87,8,916934,916934,1159385,242451,242451,242451,0,0,0
1160443,210,1,1081548,1081548,1160443,78895,78895,78895,0,0,0
1165221,51,1,769898,769898,1165221,395323,395323,395323,0,0,0
1165253,110,4,952575,995127,1165253,170126,212678,170126,42552,0,0
1165664,90,1,925798,925798,1165664,239866,239866,239866,0,0,0
1166395,233,8,1112061,1127335,1166395,39060,54334,39060,15274,0,0
1167334,238,4,1131679,1140549,1167334,26785,35655,26785,8870,0,0
1167793,126,16,975682,1166395,1167793,1398,192111,1398,190713,0,0
1170922,213,1,1086925,1086925,1170922,83997,83997,83997,0,0,0
1172836,182,4,1038148,1054643,1172836,118193,134688,118193,16495,0,0
1178780,89,8,920721,1065305,1178780,113475,258059,113475,144584,0,0
1180149,185,1,1050065,1050065,1180149,130084,130084,130084,0,0,0
1184927,154,1,1016124,1016124,1184927,168803,168803,168803,0,0,0
1185191,93,1,928926,928926,1185191,256265,256265,256265,0,0,0
1199919,111,1,953581,953581,1199919,246338,246338,246338,0,0,0
1200699,184,1,1048001,1048001,1200699,152698,152698,152698,0,0,0
1210514,214,1,1091804,1091804,1210514,118710,118710,118710,0,0,0
1214652,145,1,1011490,1011490,1214652,203162,203162,203162,0,0,0
1216278,88,8,919520,1070437,1216278,145841,296758,145841,150917,0,0
1218433,133,1,1009599,1009599,1218433,208834,208834,208834,0,0,0
1220092,247,1,1216816,1216816,1220092,3276,3276,3276,0,0,0
1222226,196,1,1052041,1052041,1222226,170185,170185,170185,0,0,0
1224019,121,4,968119,1001108,1224019,222911,255900,222911,32989,0,0
1234594,148,8,1015021,1085822,1234594,148772,219573,148772,70801,0,0
1240804,206,16,1062916,1167793,1240804,73011,177888,73011,104877,0,0
1258097,48,4,756463,756463,1258097,501634,501634,501634,0,0,0
1280833,246,1,1216756,1216756,1280833,64077,64077,64077,0,0,0
1302543,256,1,1300464,1300464,1302543,2079,2079,2079,0,0,0
1304240,112,8,953698,1130209,1304240,174031,350542,174031,176511,0,0
1309829,230,1,1111946,1111946,1309829,197883,197883,197883,0,0,0
1316264,183,2,1046652,1046652,1316264,269612,269612,269612,0,0,0
1324185,180,16,1034829,1240804,1324185,83381,289356,83381,205975,0,0
1334732,258,1,1300613,1300613,1334732,34119,34119,34119,0,0,0
1337397,244,4,1196875,1216278,1337397,121119,140522,121119,19403,0,0
1337714,251,8,1254126,1304240,1337714,33474,83588,33474,50114,0,0
1344977,56,1,777378,777378,1344977,567599,567599,567599,0,0,0
1356891,248,1,1217219,1217219,1356891,139672,139672,139672,0,0,0
1359631,257,1,1300520,1300520,1359631,59111,59111,59111,0,0,0
1359813,96,8,934096,1147475,1359813,212338,425717,212338,213379,0,0
