time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2895433,1,8,201694,201694,2895433,2693739,2693739,2693739,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3105119,55,8,2094682,2094682,3105119,1010437,1010437,1010437,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3219858,53,1,1945550,1945550,3219858,1274308,1274308,1274308,0,0,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3290175,86,1,2372731,2372731,3290175,917444,917444,915880,1564,1,0
3368457,64,1,2341345,2341345,3368457,1027112,1027112,1027112,0,0,0
3974662,170,4,3887819,3887819,3974662,86843,86843,84922,1921,2,0
4040489,199,4,4038772,4038772,4040489,1717,1717,1717,0,0,0
4045059,177,4,3960923,3960923,4045059,84136,84136,41083,43053,6,0
4232596,223,1,4225248,4225248,4232596,7348,7348,7348,0,0,0
4248009,256,4,4245994,4245994,4248009,2015,2015,2015,0,0,0
4269276,226,1,4225258,4225258,4269276,44018,44018,36809,7209,1,0
4304455,263,4,4302753,4302753,4304455,1702,1702,1702,0,0,0
4307186,224,1,4225252,4225252,4307186,81934,81934,74737,7197,1,0
4322814,212,1,4099912,4099912,4322814,222902,222902,217023,5879,4,0
4353660,214,1,4100924,4100924,4353660,252736,252736,246845,5891,4,0
4360820,225,1,4225255,4225255,4360820,135565,135565,128362,7203,1,0
4364577,269,4,4363768,4363768,4364577,809,809,809,0,0,0
4412357,251,1,4238583,4238583,4412357,173774,173774,89340,84434,5,0
4486235,233,1,4238523,4238523,4486235,247712,247712,247692,20,1,0
4486983,238,1,4238539,4238539,4486983,248444,248444,247687,757,2,0
4507012,247,1,4238569,4238569,4507012,268443,268443,247688,20755,10,0
4533234,232,1,4238519,4238519,4533234,294715,294715,292769,1946,4,0
4551648,235,1,4238529,4238529,4551648,313119,313119,310846,2273,4,0
4560757,228,1,4238506,4238506,4560757,322251,322251,322231,20,1,0
4609981,264,1,4302787,4302787,4609981,307194,307194,105228,201966,10,0
4619078,222,1,4225244,4225244,4619078,393834,393834,386650,7184,3,0
4689892,304,8,4688734,4688734,4689892,1158,1158,1158,0,0,0
4692050,252,1,4238586,4238586,4692050,453464,453464,317995,135469,14,0
4749993,315,4,4748327,4748327,4749993,1666,1666,1666,0,0,0
4802002,221,1,4225241,4225241,4802002,576761,576761,568859,7902,4,0
5080229,341,1,5078427,5078427,5080229,1802,1802,1802,0,0,0
5081034,347,1,5078631,5078631,5081034,2403,2403,2403,0,0,0
5081855,343,1,5078491,5078491,5081855,3364,3364,3364,0,0,0
5111215,346,1,5078599,5078599,5111215,32616,32616,30206,2410,1,0
5114187,332,1,5060944,5060944,5114187,53243,53243,45921,7322,2,0
5127616,339,1,5078331,5078331,5127616,49285,49285,49285,0,0,0
5151552,354,1,5147893,5147893,5151552,3659,3659,3659,0,0,0
5151610,356,1,5147961,5147961,5151610,3649,3649,3649,0,0,0
5151763,353,1,5147866,5147866,5151763,3897,3897,3897,0,0,0
5166686,344,1,5078533,5078533,5166686,88153,88153,82184,5969,2,0
