time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
201694,0,0,0,0,0,0,2,0
724670,0,0,0,0,0,0,3,0
945683,0,0,0,0,0,0,4,0
966542,0,0,0,0,0,0,5,0
1245115,0,0,0,0,0,0,6,0
1245337,0,0,0,0,0,0,7,0
1245348,0,0,0,0,0,0,8,0
1245386,0,0,0,0,0,0,9,0
1429823,0,0,0,0,0,0,10,0
1639747,0,0,0,0,0,0,11,0
1714609,0,0,0,0,0,0,12,0
1943248,0,0,0,0,0,0,13,0
1943781,0,0,0,0,0,0,14,0
1943786,0,0,0,0,0,0,15,0
1943792,0,0,0,0,0,0,16,0
1943802,0,0,0,0,0,0,17,0
1943808,0,0,0,0,0,0,18,0
1943813,0,0,0,0,0,0,19,0
1943819,0,0,0,0,0,0,20,0
1943835,0,0,0,0,0,0,21,0
1943846,0,0,0,0,0,0,22,0
1943851,0,0,0,0,0,0,23,0
1943861,0,0,0,0,0,0,24,0
1943873,0,0,0,0,0,0,25,0
1943885,0,0,0,0,0,0,26,0
1943901,0,0,0,0,0,0,27,0
1943907,0,0,0,0,0,0,28,0
1943923,0,0,0,0,0,0,29,0
1943927,0,0,0,0,0,0,30,0
1943932,0,0,0,0,0,0,31,0
1943937,0,0,0,0,0,0,32,0
1943942,0,0,0,0,0,0,33,0
1943947,0,0,0,0,0,0,34,0
1943953,0,0,0,0,0,0,35,0
1943959,0,0,0,0,0,0,36,0
1943965,0,0,0,0,0,0,37,0
1943971,0,0,0,0,0,0,38,0
1945158,0,0,0,0,0,0,39,0
1945383,0,0,0,0,0,0,40,0
1945403,0,0,0,0,0,0,41,0
1945408,0,0,0,0,0,0,42,0
1945418,0,0,0,0,0,0,43,0
1945454,0,0,0,0,0,0,44,0
1945464,0,0,0,0,0,0,45,0
1945474,0,0,0,0,0,0,46,0
1945483,0,0,0,0,0,0,47,0
1945499,0,0,0,0,0,0,48,0
1945503,0,0,0,0,0,0,49,0
1945509,0,0,0,0,0,0,50,0
1945514,0,0,0,0,0,0,51,0
1945520,0,0,0,0,0,0,52,0
1945545,0,0,0,0,0,0,53,0
1945550,0,0,0,0,0,0,54,0
1945555,0,0,0,0,0,0,55,0
2094682,0,0,0,0,0,0,56,0
2323019,0,0,0,0,0,0,57,0
2324998,0,0,0,0,0,0,58,0
2326954,0,0,0,0,0,0,59,0
2326970,0,0,0,0,0,0,60,0
2341107,0,0,0,0,0,0,61,0
2341194,0,0,0,0,0,0,62,0
2341233,0,0,0,0,0,0,63,0
2341283,0,0,0,0,0,0,64,0
2341345,0,0,0,0,0,0,65,0
2345983,0,0,0,0,0,0,66,0
2348780,0,0,0,0,0,0,67,0
2352468,0,0,0,0,0,0,68,0
2353317,0,0,0,0,0,0,69,0
2353391,0,0,0,0,0,0,70,0
2353402,0,0,0,0,0,0,71,0
2353425,0,0,0,0,0,0,72,0
2353435,0,0,0,0,0,0,73,0
2353463,0,0,0,0,0,0,74,0
2353471,0,0,0,0,0,0,75,0
2353483,0,0,0,0,0,0,76,0
2353494,0,0,0,0,0,0,77,0
2353516,0,0,0,0,0,0,78,0
2353524,0,0,0,0,0,0,79,0
2353535,0,0,0,0,0,0,80,0
2353564,0,0,0,0,0,0,81,0
2353630,0,0,0,0,0,0,82,0
2353661,0,0,0,0,0,0,83,0
2353718,0,0,0,0,0,0,84,0
2354619,0,0,0,0,0,0,85,0
2357366,0,0,0,0,0,0,86,0
2372731,0,0,0,0,0,0,87,0
2372737,0,0,0,0,0,0,88,0
2372744,0,0,0,0,0,0,89,0
2372749,0,0,0,0,0,0,90,0
2372756,0,0,0,0,0,0,91,0
2372761,0,0,0,0,0,0,92,0
2372766,0,0,0,0,0,0,93,0
2372773,0,0,0,0,0,0,94,0
2372779,0,0,0,0,0,0,95,0
2471552,0,0,0,0,0,1,95,0
2471567,0,0,0,0,0,2,95,0
2530524,0,0,0,0,0,2,96,0
2621825,0,0,0,0,0,2,95,1
2746135,0,0,0,0,0,3,95,1
2875091,0,0,0,0,0,3,94,2
2895433,0,0,0,0,0,2,94,3
2918986,0,0,0,0,0,3,94,3
2918990,0,0,0,0,0,4,94,3
2932576,0,0,0,0,0,4,93,4
3077111,0,0,0,0,0,5,93,4
3105119,0,0,0,0,0,4,93,5
3112940,0,0,0,0,0,4,92,6
3120200,0,0,0,0,0,4,91,7
3141941,0,0,0,0,0,4,90,8
3173969,0,0,0,0,0,5,90,8
3179744,0,0,0,0,0,6,90,8
3180113,0,0,0,0,0,7,90,8
3181760,0,0,0,0,0,8,90,8
3182305,0,0,0,0,0,9,90,8
3184635,0,0,0,0,0,9,89,9
3211674,0,0,0,0,0,10,89,9
3219858,0,0,0,0,0,10,88,10
3221514,0,0,0,0,0,11,88,10
3232960,0,0,0,0,0,12,88,10
3235945,0,0,0,0,0,12,88,10
3236670,0,0,0,0,0,13,88,10
3237153,0,0,0,0,0,14,88,10
3244307,0,0,0,0,0,15,88,10
3245414,0,0,0,0,0,16,88,10
3251335,0,0,0,0,0,17,88,10
3251613,0,0,0,0,0,18,88,10
3253439,0,0,0,0,0,18,88,10
3278061,0,0,0,0,0,18,87,11
3288611,0,0,0,0,0,18,86,12
3288962,0,0,0,0,0,19,86,12
3301380,0,0,0,0,0,18,86,13
3307318,0,0,0,0,0,19,86,13
3336208,0,0,0,0,0,20,86,13
3336253,0,0,0,0,0,21,86,13
3356416,0,0,0,0,0,20,86,14
3368457,0,0,0,0,0,20,85,15
3390490,0,0,0,0,0,22,85,15
3391008,0,0,0,0,0,23,85,15
3407881,0,0,0,0,0,24,85,15
3407887,0,0,0,0,0,25,85,15
3512880,0,0,0,0,0,26,85,15
3513854,0,0,0,0,0,27,85,15
3514079,0,0,0,0,0,28,85,15
3514096,0,0,0,0,0,29,85,15
3514168,0,0,0,0,0,28,85,16
3523350,0,0,0,0,0,27,85,17
3556332,0,0,0,0,0,28,85,17
3562103,0,0,0,0,0,27,85,18
3572883,0,0,0,0,0,28,85,18
3572938,0,0,0,0,0,29,85,18
3573973,0,0,0,0,0,30,85,18
3575927,0,0,0,0,0,31,85,18
3575962,0,0,0,0,0,32,85,18
3581378,0,0,0,0,0,33,85,18
3583341,0,0,0,0,0,34,85,18
3585839,0,0,0,0,0,35,85,18
3586358,0,0,0,0,0,36,85,18
3587038,0,0,0,0,0,37,85,18
3602731,0,0,0,0,0,38,85,18
3638762,0,0,0,0,0,37,85,19
3640074,0,0,0,0,0,36,85,20
3647030,0,0,0,0,0,35,85,21
3664267,0,0,0,0,0,36,85,21
3668447,0,0,0,0,0,37,85,21
3668737,0,0,0,0,0,38,85,21
3670480,0,0,0,0,0,39,85,21
3670526,0,0,0,0,0,40,85,21
3672188,0,0,0,0,0,41,85,21
3675831,0,0,0,0,0,42,85,21
3685767,0,0,0,0,0,41,85,22
3698317,0,0,0,0,0,42,85,22
