time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2895433,1,8,201694,201694,2895433,2693739,2693739,2693739,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3105119,55,8,2094682,2094682,3105119,1010437,1010437,1010437,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3219858,53,1,1945550,1945550,3219858,1274308,1274308,1274308,0,0,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3288611,86,1,2372731,2372731,3288611,915880,915880,915880,0,0,0
3301380,111,8,3236670,3253439,3301380,47941,64710,47941,16769,0,0
3356416,110,8,3235945,3235945,3356416,120471,120471,120471,0,0,0
3368457,64,1,2341345,2341345,3368457,1027112,1027112,1027112,0,0,0
3514168,116,8,3251613,3301380,3514168,212788,262555,212788,49767,0,0
3523350,122,8,3390490,3514168,3523350,9182,132860,9182,123678,0,0
3562103,126,8,3407887,3523350,3562103,38753,154216,38753,115463,0,0
3638762,112,8,3237153,3356416,3638762,282346,401609,282346,119263,0,0
3640074,133,8,3572938,3638762,3640074,1312,67136,1312,65824,0,0
3647030,140,8,3586358,3640074,3647030,6956,60672,6956,53716,0,0
3685767,124,8,3391008,3562103,3685767,123664,294759,123664,171095,0,0
3708663,144,8,3668447,3685767,3708663,22896,40216,22896,17320,0,0
3711539,141,8,3587038,3647030,3711539,64509,124501,64509,59992,0,0
3772206,148,8,3672188,3708663,3772206,63543,100018,63543,36475,0,0
3781653,147,8,3670526,3711539,3781653,70114,111127,70114,41013,0,0
3807895,156,8,3775871,3781653,3807895,26242,32024,26242,5782,0,0
3845886,151,8,3771896,3772206,3845886,73680,73990,73680,310,0,0
3912392,162,8,3831486,3845388,3912392,67004,80906,67004,13902,0,0
3915959,165,8,3852752,3912392,3915959,3567,63207,3567,59640,0,0
3948070,164,8,3845388,3845886,3948070,102184,102682,102184,498,0,0
3949882,130,8,3514096,3807895,3949882,141987,435786,141987,293799,0,0
3989856,174,8,3922206,3948070,3989856,41786,67650,41786,25864,0,0
4000881,170,4,3887819,3915959,4000881,84922,113062,84922,28140,0,0
4020260,177,4,3960923,3979177,4020260,41083,59337,41083,18254,0,0
4053823,195,4,4022105,4022238,4053823,31585,31718,31585,133,0,0
4055540,199,4,4038772,4053823,4055540,1717,16768,1717,15051,0,0
4061522,171,8,3892069,3949882,4061522,111640,169453,111640,57813,0,0
4104706,193,8,4011623,4061522,4104706,43184,93083,43184,49899,0,0
4159642,202,4,4072703,4104706,4159642,54936,86939,54936,32003,0,0
4195931,142,8,3602731,3989856,4195931,206075,593200,206075,387125,0,0
4232596,223,1,4225248,4225248,4232596,7348,7348,7348,0,0,0
4241015,188,8,3996027,4195931,4241015,45084,244988,45084,199904,0,0
4248009,256,4,4245994,4245994,4248009,2015,2015,2015,0,0,0
4262067,226,1,4225258,4225258,4262067,36809,36809,36809,0,0,0
4264351,257,4,4246023,4248009,4264351,16342,18328,16342,1986,0,0
4273073,259,4,4251434,4264351,4273073,8722,21639,8722,12917,0,0
4299989,224,1,4225252,4225252,4299989,74737,74737,74737,0,0,0
