time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2895433,1,8,201694,201694,2895433,2693739,2693739,2693739,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3105119,55,8,2094682,2094682,3105119,1010437,1010437,1010437,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3219858,53,1,1945550,1945550,3219858,1274308,1274308,1274308,0,0,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3288611,86,1,2372731,2372731,3288611,915880,915880,915880,0,0,0
3368457,64,1,2341345,2341345,3368457,1027112,1027112,1027112,0,0,0
3575285,133,8,3572938,3573973,3575285,1312,2347,1312,1035,0,0
3584467,122,8,3390490,3575285,3584467,9182,193977,9182,184795,0,0
3623220,126,8,3407887,3584467,3623220,38753,215333,38753,176580,0,0
3630176,140,8,3586358,3623220,3630176,6956,43818,6956,36862,0,0
3678117,111,8,3236670,3630176,3678117,47941,441447,47941,393506,0,0
3695084,144,8,3668447,3672188,3695084,22896,26637,22896,3741,0,0
3741660,148,8,3672188,3678117,3741660,63543,69472,63543,5929,0,0
3759593,141,8,3587038,3695084,3759593,64509,172555,64509,108046,0,0
3802113,156,8,3775871,3775871,3802113,26242,26242,26242,0,0,0
3811774,147,8,3670526,3741660,3811774,70114,141248,70114,71134,0,0
3856319,165,8,3852752,3852752,3856319,3567,3567,3567,0,0,0
3875793,151,8,3771896,3802113,3875793,73680,103897,73680,30217,0,0
3880064,110,8,3235945,3759593,3880064,120471,644119,120471,523648,0,0
3922627,162,8,3831486,3855623,3922627,67004,91141,67004,24137,0,0
3935438,124,8,3391008,3811774,3935438,123664,544430,123664,420766,0,0
3958503,164,8,3845388,3856319,3958503,102184,113115,102184,10931,0,0
3963992,174,8,3922206,3922206,3963992,41786,41786,41786,0,0,0
3972741,170,4,3887819,3887819,3972741,84922,84922,84922,0,0,0
3998306,130,8,3514096,3856319,3998306,141987,484210,141987,342223,0,0
4002006,177,4,3960923,3960923,4002006,41083,41083,41083,0,0,0
4003709,171,8,3892069,3892069,4003709,111640,111640,111640,0,0,0
4040489,199,4,4038772,4038772,4040489,1717,1717,1717,0,0,0
4041111,188,8,3996027,3996027,4041111,45084,45084,45084,0,0,0
4053690,195,4,4022105,4022105,4053690,31585,31585,31585,0,0,0
4065311,193,8,4011623,4022127,4065311,43184,53688,43184,10504,0,0
4081868,142,8,3602731,3875793,4081868,206075,479137,206075,273062,0,0
4088581,116,8,3251613,3875793,4088581,212788,836968,212788,624180,0,0
4118449,181,8,3993309,3994883,4118449,123566,125140,123566,1574,0,0
4127639,202,4,4072703,4072703,4127639,54936,54936,54936,0,0,0
4135581,194,8,4017576,4022127,4135581,113454,118005,113454,4551,0,0
4137733,189,8,3996109,3996109,4137733,141624,141624,141624,0,0,0
4162410,112,8,3237153,3880064,4162410,282346,925257,282346,642911,0,0
4175405,117,8,3253439,3880064,4175405,295341,921966,295341,626625,0,0
4222656,191,8,4002150,4003709,4222656,218947,220506,218947,1559,0,0
4232596,223,1,4225248,4225248,4232596,7348,7348,7348,0,0,0
