time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
2621825,41,1,1945408,1945408,2621825,676417,676417,676417,0,0,0
2875091,58,1,2326954,2326954,2875091,548137,548137,548137,0,0,0
2895433,1,8,201694,201694,2895433,2693739,2693739,2693739,0,0,0
2932576,32,1,1943942,1943942,2932576,988634,988634,988634,0,0,0
3105119,55,8,2094682,2094682,3105119,1010437,1010437,1010437,0,0,0
3112940,24,1,1943873,1943873,3112940,1169067,1169067,1169067,0,0,0
3120200,57,1,2324998,2324998,3120200,795202,795202,795202,0,0,0
3141941,30,1,1943932,1943932,3141941,1198009,1198009,1198009,0,0,0
3184635,18,1,1943813,1943813,3184635,1240822,1240822,1240822,0,0,0
3219858,53,1,1945550,1945550,3219858,1274308,1274308,1274308,0,0,0
3278061,66,1,2348780,2348780,3278061,929281,929281,929281,0,0,0
3288611,86,1,2372731,2372731,3288611,915880,915880,915880,0,0,0
3368457,64,1,2341345,2341345,3368457,1027112,1027112,1027112,0,0,0
4389716,269,4,4363768,4388907,4389716,809,25948,809,25139,0,0
5429226,38,1,1945158,1945158,5429226,3484068,3484068,3484068,0,0,0
5747686,484,1,5735206,5746918,5747686,768,12480,768,11712,0,0
6020538,101,8,3077111,3105119,6020538,2915419,2943427,2915419,28008,0,0
6021696,304,8,4688734,6020538,6021696,1158,1332962,1158,1331804,0,0
6023008,133,8,3572938,6021696,6023008,1312,2450070,1312,2448758,0,0
6023039,476,1,5729137,6021696,6023039,1343,293902,1343,292559,0,0
6023171,363,1,5176427,6021696,6023171,1475,846744,1475,845269,0,0
6024540,505,8,5826341,6023008,6024540,1532,198199,1532,196667,0,0
6024674,315,4,4748327,6023008,6024674,1666,1276347,1666,1274681,0,0
6026242,263,4,4302753,6024540,6026242,1702,1723489,1702,1721787,0,0
6026257,199,4,4038772,6024540,6026257,1717,1987485,1717,1985768,0,0
6026298,477,1,5729215,6024540,6026298,1758,297083,1758,295325,0,0
6026342,341,1,5078427,6024540,6026342,1802,947915,1802,946113,0,0
6026689,256,4,4245994,6024674,6026689,2015,1780695,2015,1778680,0,0
6026953,404,1,5331943,6024674,6026953,2279,695010,2279,692731,0,0
6027053,394,1,5306114,6024674,6027053,2379,720939,2379,718560,0,0
6027077,347,1,5078631,6024674,6027077,2403,948446,2403,946043,0,0
6027243,513,1,5865216,6024674,6027243,2569,162027,2569,159458,0,0
6028038,343,1,5078491,6024674,6028038,3364,949547,3364,946183,0,0
6029824,165,8,3852752,6026257,6029824,3567,2177072,3567,2173505,0,0
6029906,356,1,5147961,6026257,6029906,3649,881945,3649,878296,0,0
6029916,354,1,5147893,6026257,6029916,3659,882023,3659,878364,0,0
6030536,530,4,5904197,6026689,6030536,3847,126339,3847,122492,0,0
6030586,353,1,5147866,6026689,6030586,3897,882720,3897,878823,0,0
6034444,286,4,4522984,6029824,6034444,4620,1511460,4620,1506840,0,0
6035418,520,1,5872774,6029824,6035418,5594,162644,5594,157050,0,0
6037492,140,8,3586358,6030536,6037492,6956,2451134,6956,2444178,0,0
6037884,223,1,4225248,6030536,6037884,7348,1812636,7348,1805288,0,0
6042133,272,4,4394242,6034444,6042133,7689,1647891,7689,1640202,0,0
6046214,259,4,4251434,6037492,6046214,8722,1794780,8722,1786058,0,0
6051315,122,8,3390490,6042133,6051315,9182,2660825,9182,2651643,0,0
6057347,407,4,5365237,6046214,6057347,11133,692110,11133,680977,0,0
6063582,266,4,4305079,6051315,6063582,12267,1758503,12267,1746236,0,0
