time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
665634,32,1,664372,664372,665634,1262,1262,1262,0,0,0
690043,33,1,664544,664544,690043,25499,25499,25499,0,0,0
738556,41,1,737793,737793,738556,763,763,763,0,0,0
738937,58,1,737907,737907,738937,1030,1030,1030,0,0,0
738940,57,1,737902,737902,738940,1038,1038,1038,0,0,0
739097,86,1,738163,738163,739097,934,934,934,0,0,0
739292,66,1,737957,737957,739292,1335,1335,1335,0,0,0
739531,55,1,737891,737891,739531,1640,1640,1640,0,0,0
739594,53,1,737875,737875,739594,1719,1719,1719,0,0,0
739818,64,1,737946,737946,739818,1872,1872,1872,0,0,0
742059,38,1,737775,737775,742059,4284,4284,4284,0,0,0
743682,47,1,737837,737837,743682,5845,5845,5845,0,0,0
744183,72,1,737996,737996,744183,6187,6187,6187,0,0,0
745531,71,1,737989,737989,745531,7542,7542,7542,0,0,0
746041,74,1,738019,738019,746041,8022,8022,8022,0,0,0
747545,70,1,737984,737984,747545,9561,9561,9561,0,0,0
748697,56,1,737896,737896,748697,10801,10801,10801,0,0,0
749618,49,1,737849,737849,749618,11769,11769,11769,0,0,0
752834,63,1,737941,737941,752834,14893,14893,14893,0,0,0
753683,85,1,738153,738153,753683,15530,15530,15530,0,0,0
753853,76,1,738038,738038,753853,15815,15815,15815,0,0,0
756513,54,1,737884,737884,756513,18629,18629,18629,0,0,0
756613,83,1,738129,738129,756613,18484,18484,18484,0,0,0
757381,79,1,738082,738082,757381,19299,19299,19299,0,0,0
761865,68,1,737967,737967,761865,23898,23898,23898,0,0,0
763606,42,1,737803,737803,763606,25803,25803,25803,0,0,0
764627,45,1,737821,737821,764627,26806,26806,26806,0,0,0
765097,89,1,738201,738201,765097,26896,26896,26896,0,0,0
768594,39,1,737781,737781,768594,30813,30813,30813,0,0,0
769411,73,1,738002,738002,769411,31409,31409,31409,0,0,0
776812,65,1,737952,737952,776812,38860,38860,38860,0,0,0
780611,62,1,737934,737934,780611,42677,42677,42677,0,0,0
787235,87,1,738170,738170,787235,49065,49065,49065,0,0,0
792330,82,1,738116,738116,792330,54214,54214,54214,0,0,0
813203,78,1,738069,738069,813203,75134,75134,75134,0,0,0
815214,31,1,664358,664358,815214,150856,150856,150856,0,0,0
827604,77,1,738049,738049,827604,89555,89555,89555,0,0,0
837932,40,1,737788,737788,837932,100144,100144,100144,0,0,0
855771,116,8,854211,854211,855771,1560,1560,1560,0,0,0
856384,117,8,854694,854694,856384,1690,1690,1690,0,0,0
859281,124,8,857638,857638,859281,1643,1643,1643,0,0,0
859564,122,8,857621,857621,859564,1943,1943,1943,0,0,0
867669,128,8,857760,857760,867669,9909,9909,9909,0,0,0
879175,60,1,737918,737918,879175,141257,141257,133642,7615,2,0
883779,52,1,737868,737868,883779,145911,145911,133600,12311,2,0
895268,67,1,737962,737962,895268,157306,157306,150318,6988,3,0
903062,48,1,737844,737844,903062,165218,165218,161486,3732,2,0
908724,90,1,738211,738211,908724,170513,170513,158255,12258,3,0
922254,88,1,738194,738194,922254,184060,184060,177255,6805,3,0
925620,133,8,869026,869026,925620,56594,56594,56594,0,0,0
928697,119,8,855109,855109,928697,73588,73588,30509,43079,1,0
933080,59,1,737912,737912,933080,195168,195168,190432,4736,1,0
933872,118,8,854728,854728,933872,79144,79144,46749,32395,3,0
937236,84,1,738137,738137,937236,199099,199099,191828,7271,3,0
951523,75,1,738025,738025,951523,213498,213498,206510,6988,3,0
959839,80,1,738097,738097,959839,221742,221742,214754,6988,3,0
963335,51,1,737861,737861,963335,225474,225474,213163,12311,2,0
964346,140,4,962109,962109,964346,2237,2237,2237,0,0,0
982113,43,1,737808,737808,982113,244305,244305,228747,15558,2,0
984025,81,1,738103,738103,984025,245922,245922,238651,7271,3,0
995919,69,1,737973,737973,995919,257946,257946,250958,6988,3,0
1012448,151,8,995735,995735,1012448,16713,16713,16713,0,0,0
1022241,141,4,962888,962888,1022241,59353,59353,58454,899,1,0
1042873,50,1,737855,737855,1042873,305018,305018,292654,12364,5,0
1046781,156,8,996355,996355,1046781,50426,50426,31147,19279,1,0
1048868,177,8,1047409,1047409,1048868,1459,1459,1459,0,0,0
1075994,174,8,1047391,1047391,1075994,28603,28603,28603,0,0,0
1098167,34,1,664555,664555,1098167,433612,433612,357308,76304,9,0
1112497,159,8,996533,996533,1112497,115964,115964,60711,55253,2,0
1121886,170,8,1047356,1047356,1121886,74530,74530,58090,16440,1,0
1126571,46,1,737830,737830,1126571,388741,388741,358688,30053,3,0
1184620,142,8,963205,963205,1184620,221415,221415,64504,156911,4,0
1238687,61,1,737924,737924,1238687,500763,500763,437193,63570,4,0
1280288,155,8,995891,995891,1280288,284397,284397,134145,150252,4,0
1281987,44,1,737814,737814,1281987,544173,544173,501702,42471,4,0
1399760,114,8,854174,854174,1399760,545586,545586,160584,385002,4,0
1562228,199,4,1511967,1511967,1562228,50261,50261,50261,0,0,0
1633531,235,8,1632770,1632770,1633531,761,761,761,0,0,0
