time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
813,0,0,0,0,0,0,1,0
2410,0,0,0,0,0,0,1,0
70024,0,0,0,0,0,0,2,0
70431,0,0,0,0,0,0,2,0
71281,0,0,0,0,0,0,2,0
135296,0,0,0,0,0,0,3,0
136109,0,0,0,0,0,0,3,0
137706,0,0,0,0,0,0,3,0
178298,0,0,0,0,0,0,4,0
179111,0,0,0,0,0,0,4,0
180708,0,0,0,0,0,0,4,0
265278,0,0,0,0,0,0,5,0
266091,0,0,0,0,0,0,5,0
267688,0,0,0,0,0,0,5,0
313422,0,0,0,0,0,0,6,0
314235,0,0,0,0,0,0,6,0
315832,0,0,0,0,0,0,6,0
318554,0,0,0,0,0,0,7,0
318802,0,0,0,0,0,0,8,0
319178,0,0,0,0,0,0,8,0
319538,0,0,0,0,0,0,8,0
319542,0,0,0,0,0,0,9,0
319849,0,0,0,0,0,0,10,0
320203,0,0,0,0,0,0,11,0
320407,0,0,0,0,0,0,11,0
320845,0,0,0,0,0,0,11,0
323049,0,0,0,0,0,0,12,0
323253,0,0,0,0,0,0,12,0
323691,0,0,0,0,0,0,12,0
324143,0,0,0,0,0,0,13,0
324387,0,0,0,0,0,0,14,0
324591,0,0,0,0,0,0,14,0
325029,0,0,0,0,0,0,14,0
325819,0,0,0,0,0,0,14,0
330439,0,0,0,0,0,0,15,0
330846,0,0,0,0,0,0,15,0
331696,0,0,0,0,0,0,15,0
394438,0,0,0,0,0,2,14,0
394610,0,0,0,0,0,3,14,0
394774,0,0,0,0,0,4,14,0
394933,0,0,0,0,0,5,14,0
395127,0,0,0,0,0,5,14,0
395318,0,0,0,0,0,5,14,0
395522,0,0,0,0,0,5,15,0
395836,0,0,0,0,0,6,15,0
396203,0,0,0,0,0,6,15,0
396564,0,0,0,0,0,6,15,0
397373,0,0,0,0,0,6,15,0
400593,0,0,0,0,0,8,14,0
400756,0,0,0,0,0,9,14,0
400914,0,0,0,0,0,10,14,0
401067,0,0,0,0,0,11,14,0
401222,0,0,0,0,0,11,15,0
401376,0,0,0,0,0,11,16,0
401530,0,0,0,0,0,11,17,0
401681,0,0,0,0,0,12,17,0
402050,0,0,0,0,0,12,17,0
402411,0,0,0,0,0,12,17,0
403201,0,0,0,0,0,13,16,0
504171,0,0,0,0,0,13,17,0
504984,0,0,0,0,0,13,17,0
506581,0,0,0,0,0,13,17,0
530126,0,0,0,0,0,12,17,1
573378,0,0,0,0,0,13,17,1
574191,0,0,0,0,0,13,17,1
