time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
530126,1,8,70024,70024,530126,460102,460102,460102,0,0,0
665634,32,1,664372,664372,665634,1262,1262,1262,0,0,0
693402,33,1,664544,664544,693402,28858,28858,25499,3359,1,0
738556,41,1,737793,737793,738556,763,763,763,0,0,0
738937,58,1,737907,737907,738937,1030,1030,1030,0,0,0
738940,57,1,737902,737902,738940,1038,1038,1038,0,0,0
739097,86,1,738163,738163,739097,934,934,934,0,0,0
739292,66,1,737957,737957,739292,1335,1335,1335,0,0,0
739531,55,1,737891,737891,739531,1640,1640,1640,0,0,0
739594,53,1,737875,737875,739594,1719,1719,1719,0,0,0
739818,64,1,737946,737946,739818,1872,1872,1872,0,0,0
742059,38,1,737775,737775,742059,4284,4284,4284,0,0,0
743682,47,1,737837,737837,743682,5845,5845,5845,0,0,0
744183,72,1,737996,737996,744183,6187,6187,6187,0,0,0
745544,71,1,737989,737989,745544,7555,7555,7542,13,1,0
746047,74,1,738019,738019,746047,8028,8028,8022,6,1,0
747550,70,1,737984,737984,747550,9566,9566,9561,5,1,0
748713,56,1,737896,737896,748713,10817,10817,10801,16,1,0
749624,49,1,737849,737849,749624,11775,11775,11769,6,1,0
752845,63,1,737941,737941,752845,14904,14904,14893,11,1,0
753700,85,1,738153,738153,753700,15547,15547,15530,17,1,0
753864,76,1,738038,738038,753864,15826,15826,15815,11,1,0
756525,54,1,737884,737884,756525,18641,18641,18629,12,1,0
756621,83,1,738129,738129,756621,18492,18492,18484,8,1,0
757396,79,1,738082,738082,757396,19314,19314,19299,15,1,0
761871,68,1,737967,737967,761871,23904,23904,23898,6,1,0
763611,42,1,737803,737803,763611,25808,25808,25803,5,1,0
764636,45,1,737821,737821,764636,26815,26815,26806,9,1,0
765107,89,1,738201,738201,765107,26906,26906,26896,10,1,0
768601,39,1,737781,737781,768601,30820,30820,30813,7,1,0
771936,73,1,738002,738002,771936,33934,33934,31409,2525,2,0
779330,65,1,737952,737952,779330,41378,41378,38860,2518,2,0
783107,62,1,737934,737934,783107,45173,45173,42677,2496,2,0
789790,87,1,738170,738170,789790,51620,51620,49065,2555,2,0
794874,82,1,738116,738116,794874,56758,56758,54214,2544,2,0
815739,78,1,738069,738069,815739,77670,77670,75134,2536,2,0
818643,31,1,664358,664358,818643,154285,154285,150856,3429,8,0
830147,77,1,738049,738049,830147,92098,92098,89555,2543,2,0
837947,40,1,737788,737788,837947,100159,100159,100144,15,1,0
876385,52,1,737868,737868,876385,138517,138517,133600,4917,5,0
876472,60,1,737918,737918,876472,138554,138554,133642,4912,5,0
893291,67,1,737962,737962,893291,155329,155329,150318,5011,4,0
902896,90,1,738211,738211,902896,164685,164685,158255,6430,5,0
904236,48,1,737844,737844,904236,166392,166392,161486,4906,5,0
921753,88,1,738194,738194,921753,183559,183559,177255,6304,5,0
933256,59,1,737912,737912,933256,195344,195344,190432,4912,5,0
935010,84,1,738137,738137,935010,196873,196873,191828,5045,4,0
949569,75,1,738025,738025,949569,211544,211544,206510,5034,4,0
955932,51,1,737861,737861,955932,218071,218071,213163,4908,5,0
957878,80,1,738097,738097,957878,219781,219781,214754,5027,4,0
966561,43,1,737808,737808,966561,228753,228753,228747,6,1,0
981796,81,1,738103,738103,981796,243693,243693,238651,5042,4,0
993948,69,1,737973,737973,993948,255975,255975,250958,5017,4,0
1025334,34,1,664555,664555,1025334,360779,360779,357308,3471,8,0
1036461,50,1,737855,737855,1036461,298606,298606,292654,5952,6,0
1048868,177,8,1047409,1047409,1048868,1459,1459,1459,0,0,0
1098949,46,1,737830,737830,1098949,361119,361119,358688,2431,4,0
1181078,61,1,737924,737924,1181078,443154,443154,437193,5961,6,0
1239523,44,1,737814,737814,1239523,501709,501709,501702,7,1,0
1332334,30,4,573378,573378,1332334,758956,758956,664666,94290,8,0
1542626,35,1,674938,674938,1542626,867688,867688,864146,3542,8,0
