time,max,99th,95th,med
0,7,7,7,7
70024,49.2,49.2,49.2,49.2
135296,49.2,49.2,49.2,49.2
178298,49.2,49.2,49.2,7
265278,49.2,49.2,49.2,7
313422,49.2,49.2,49.2,7
318554,49.2,49.2,49.2,7
318802,49.2,49.2,49.2,49.2
319542,49.2,49.2,49.2,49.2
319849,49.2,49.2,49.2,49.2
320203,52.4,52.4,52.4,49.2
323049,52.4,52.4,52.4,49.2
324143,52.4,52.4,52.4,49.2
324387,52.4,52.4,52.4,49.2
330439,52.4,52.4,52.4,49.2
394438,52.4,52.4,52.4,49.2
394610,52.4,52.4,52.4,49.2
394774,52.4,52.4,52.4,49.2
394933,52.4,52.4,52.4,49.2
395522,52.4,52.4,52.4,49.2
395836,52.4,52.4,52.4,49.2
400593,52.4,52.4,52.4,49.2
400756,52.4,52.4,52.4,49.2
400914,52.4,52.4,52.4,49.2
401067,52.4,52.4,52.4,49.2
401222,52.4,52.4,52.4,49.2
401376,52.4,52.4,52.4,49.2
401530,52.4,52.4,52.4,49.2
401681,52.4,52.4,52.4,49.2
504171,52.4,52.4,52.4,49.2
530126,52.4,52.4,52.4,49.2
573378,52.4,52.4,52.4,49.2
664358,52.4,52.4,52.4,49.2
664372,52.4,52.4,52.4,49.2
664544,52.4,52.4,52.4,49.2
664555,52.4,52.4,52.4,49.2
674938,52.4,52.4,52.4,49.2
686170,52.4,52.4,52.4,49.2
686742,52.4,52.4,52.4,49.2
737775,52.4,52.4,52.4,49.2
737781,52.4,52.4,52.4,49.2
737788,52.4,52.4,52.4,49.2
737793,52.4,52.4,52.4,49.2
737803,52.4,52.4,52.4,49.2
737808,52.4,52.4,52.4,49.2
737814,52.4,52.4,52.4,49.2
737821,52.4,52.4,52.4,49.2
737830,52.4,52.4,52.4,49.2
737837,52.4,52.4,52.4,49.2
737844,52.4,52.4,52.4,49.2
737849,52.4,52.4,52.4,49.2
737855,52.4,52.4,52.4,49.2
737861,52.4,52.4,52.4,49.2
737868,52.4,52.4,52.4,49.2
737875,52.4,52.4,52.4,49.2
737884,52.4,52.4,52.4,49.2
737891,52.4,52.4,52.4,49.2
737896,52.4,52.4,52.4,49.2
737902,52.4,52.4,52.4,49.2
737907,52.4,52.4,52.4,49.2
737912,52.4,52.4,52.4,49.2
737918,52.4,52.4,52.4,49.2
737924,52.4,52.4,52.4,49.2
737934,52.4,52.4,52.4,49.2
737941,52.4,52.4,52.4,49.2
737946,52.4,52.4,52.4,49.2
737952,52.4,52.4,52.4,49.2
737957,52.4,52.4,52.4,49.2
737962,52.4,52.4,52.4,49.2
737967,52.4,52.4,52.4,49.2
737973,52.4,52.4,52.4,49.2
737984,52.4,52.4,52.4,49.2
737989,52.4,52.4,52.4,49.2
737996,52.4,52.4,52.4,49.2
738002,52.4,52.4,52.4,49.2
738019,52.4,52.4,52.4,49.2
738025,52.4,52.4,52.4,49.2
738038,52.4,52.4,52.4,49.2
738049,52.4,52.4,52.4,49.2
738069,52.4,52.4,52.4,49.2
738082,52.4,52.4,52.4,49.2
738097,52.4,52.4,52.4,49.2
738103,52.4,52.4,52.4,49.2
738116,52.4,52.4,52.4,49.2
738129,52.4,52.4,52.4,49.2
738137,52.4,52.4,52.4,49.2
738153,52.4,52.4,52.4,49.2
738163,52.4,52.4,52.4,49.2
738170,52.4,52.4,52.4,49.2
738194,52.4,52.4,52.4,49.2
738201,52.4,52.4,52.4,49.2
738211,52.4,52.4,52.4,49.2
766066,52.4,52.4,52.4,49.2
766068,52.4,52.4,52.4,49.2
766070,52.4,52.4,52.4,49.2
766078,52.4,52.4,52.4,49.2
766093,52.4,52.4,52.4,49.2
766112,52.4,52.4,52.4,49.2
766117,52.4,52.4,52.4,49.2
780879,52.4,52.4,52.4,49.2
781010,52.4,52.4,52.4,49.2
782660,52.4,52.4,52.4,49.2
783187,52.4,52.4,52.4,49.2
784410,52.4,52.4,52.4,49.2
817779,52.4,52.4,52.4,49.2
817942,52.4,52.4,52.4,49.2
820095,52.4,52.4,52.4,49.2
820394,52.4,52.4,52.4,49.2
820530,52.4,52.4,52.4,49.2
820685,52.4,52.4,52.4,49.2
820970,52.4,52.4,52.4,49.2
821081,52.4,52.4,52.4,49.2
842377,52.4,52.4,52.4,49.2
854174,52.4,52.4,52.4,49.2
854211,52.4,52.4,52.4,49.2
854694,52.4,52.4,52.4,49.2
854728,52.4,52.4,52.4,49.2
855109,52.4,52.4,52.4,49.2
855115,52.4,52.4,52.4,49.2
855118,52.4,52.4,52.4,49.2
857621,52.4,52.4,52.4,49.2
857634,52.4,52.4,52.4,49.2
857638,52.4,52.4,52.4,49.2
857704,52.4,52.4,52.4,49.2
857742,52.4,52.4,52.4,49.2
857759,52.4,52.4,52.4,49.2
857760,52.4,52.4,52.4,49.2
857791,52.4,52.4,52.4,49.2
857974,52.4,52.4,52.4,49.2
861361,52.4,52.4,52.4,49.2
861366,52.4,52.4,52.4,49.2
869026,52.4,52.4,52.4,49.2
869029,52.4,52.4,52.4,49.2
905181,52.4,52.4,52.4,49.2
948297,52.4,52.4,52.4,49.2
960177,52.4,52.4,52.4,49.2
960874,52.4,52.4,52.4,49.2
962031,52.4,52.4,52.4,49.2
