time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
70024,0,0,0,0,0,0,2,0
135296,0,0,0,0,0,0,3,0
178298,0,0,0,0,0,0,4,0
265278,0,0,0,0,0,0,5,0
313422,0,0,0,0,0,0,6,0
318554,0,0,0,0,0,0,7,0
318802,0,0,0,0,0,0,8,0
319542,0,0,0,0,0,0,9,0
319849,0,0,0,0,0,0,10,0
320203,0,0,0,0,0,0,11,0
323049,0,0,0,0,0,0,12,0
324143,0,0,0,0,0,0,13,0
324387,0,0,0,0,0,0,14,0
330439,0,0,0,0,0,0,15,0
394438,0,0,0,0,0,0,15,0
394610,0,0,0,0,0,1,15,0
394774,0,0,0,0,0,1,14,0
394933,0,0,0,0,0,1,13,0
395522,0,0,0,0,0,2,13,0
395836,0,0,0,0,0,3,13,0
400593,0,0,0,0,0,4,13,0
400756,0,0,0,0,0,4,13,0
400914,0,0,0,0,0,5,13,0
401067,0,0,0,0,0,5,13,0
401222,0,0,0,0,0,4,14,0
401376,0,0,0,0,0,5,14,0
401530,0,0,0,0,0,5,14,0
401681,0,0,0,0,0,5,14,0
504171,0,0,0,0,0,4,14,0
530126,0,0,0,0,0,4,14,1
573378,0,0,0,0,0,4,15,1
664358,0,0,0,0,0,4,15,1
664372,0,0,0,0,0,4,16,1
664544,0,0,0,0,0,4,17,1
664555,0,0,0,0,0,4,18,1
665634,0,0,0,0,0,4,17,2
674938,0,0,0,0,0,4,18,2
686170,0,0,0,0,0,4,19,2
686742,0,0,0,0,0,4,19,2
687406,0,0,0,0,0,4,20,3
690043,0,0,0,0,0,4,19,4
709760,0,0,0,0,0,4,19,5
737775,0,0,0,0,0,4,20,5
737781,0,0,0,0,0,4,21,5
737788,0,0,0,0,0,4,22,5
737793,0,0,0,0,0,4,23,5
737803,0,0,0,0,0,4,24,5
737808,0,0,0,0,0,4,24,5
737814,0,0,0,0,0,4,26,5
737821,0,0,0,0,0,4,27,5
737830,0,0,0,0,0,4,28,5
737837,0,0,0,0,0,4,29,5
737844,0,0,0,0,0,4,29,5
737849,0,0,0,0,0,4,30,5
737855,0,0,0,0,0,4,31,5
737861,0,0,0,0,0,4,32,5
737868,0,0,0,0,0,4,33,5
737875,0,0,0,0,0,4,34,5
737884,0,0,0,0,0,4,35,5
737891,0,0,0,0,0,4,36,5
737896,0,0,0,0,0,4,36,5
737902,0,0,0,0,0,4,37,5
737907,0,0,0,0,0,4,38,5
737912,0,0,0,0,0,4,39,5
737918,0,0,0,0,0,4,40,5
737924,0,0,0,0,0,4,40,5
737934,0,0,0,0,0,4,41,5
737941,0,0,0,0,0,4,42,5
737946,0,0,0,0,0,4,43,5
737952,0,0,0,0,0,4,44,5
737957,0,0,0,0,0,4,45,5
737962,0,0,0,0,0,4,46,5
737967,0,0,0,0,0,4,47,5
737973,0,0,0,0,0,4,48,5
737984,0,0,0,0,0,4,49,5
737989,0,0,0,0,0,4,50,5
737996,0,0,0,0,0,4,50,5
738002,0,0,0,0,0,4,51,5
738019,0,0,0,0,0,4,52,5
738025,0,0,0,0,0,4,53,5
738038,0,0,0,0,0,4,53,5
738049,0,0,0,0,0,4,53,5
738069,0,0,0,0,0,4,54,5
738082,0,0,0,0,0,4,55,5
738097,0,0,0,0,0,4,56,5
738103,0,0,0,0,0,4,57,5
738116,0,0,0,0,0,4,57,5
738129,0,0,0,0,0,4,58,5
738137,0,0,0,0,0,4,59,5
738153,0,0,0,0,0,4,60,5
738163,0,0,0,0,0,4,61,5
738170,0,0,0,0,0,4,62,5
738194,0,0,0,0,0,4,63,5
738201,0,0,0,0,0,4,65,5
738211,0,0,0,0,0,4,66,5
738556,0,0,0,0,0,4,65,6
738937,0,0,0,0,0,4,64,7
738940,0,0,0,0,0,4,63,8
739097,0,0,0,0,0,4,62,9
739292,0,0,0,0,0,4,61,10
739531,0,0,0,0,0,4,60,11
739594,0,0,0,0,0,4,59,12
739818,0,0,0,0,0,4,58,13
742059,0,0,0,0,0,4,57,14
743682,0,0,0,0,0,4,56,15
744183,0,0,0,0,0,4,55,16
745531,0,0,0,0,0,4,54,17
746041,0,0,0,0,0,4,53,18
747545,0,0,0,0,0,4,52,19
748697,0,0,0,0,0,4,51,20
749618,0,0,0,0,0,4,50,21
752834,0,0,0,0,0,4,49,22
753683,0,0,0,0,0,4,48,23
753853,0,0,0,0,0,4,48,24
756513,0,0,0,0,0,4,47,25
756613,0,0,0,0,0,4,46,26
757381,0,0,0,0,0,4,45,27
761865,0,0,0,0,0,4,44,28
763606,0,0,0,0,0,4,43,29
764627,0,0,0,0,0,4,42,30
765097,0,0,0,0,0,4,41,31
766066,0,0,0,0,0,5,41,31
766068,0,0,0,0,0,6,41,31
766070,0,0,0,0,0,7,41,31
766078,0,0,0,0,0,6,42,31
766093,0,0,0,0,0,6,42,31
766112,0,0,0,0,0,7,42,31
766117,0,0,0,0,0,8,42,31
768594,0,0,0,0,0,8,41,32
769411,0,0,0,0,0,8,40,33
776812,0,0,0,0,0,8,39,34
780611,0,0,0,0,0,8,38,35
780879,0,0,0,0,0,8,39,35
781010,0,0,0,0,0,8,39,35
782660,0,0,0,0,0,9,39,35
783187,0,0,0,0,0,10,39,35
784410,0,0,0,0,0,10,39,35
787235,0,0,0,0,0,10,38,36
792330,0,0,0,0,0,10,37,37
813203,0,0,0,0,0,10,36,38
815214,0,0,0,0,0,10,35,39
817779,0,0,0,0,0,11,35,39
817942,0,0,0,0,0,12,35,39
820095,0,0,0,0,0,13,35,39
820394,0,0,0,0,0,14,35,39
820530,0,0,0,0,0,15,35,39
820685,0,0,0,0,0,16,35,39
820970,0,0,0,0,0,16,35,39
821081,0,0,0,0,0,16,36,39
827604,0,0,0,0,0,16,35,40
837932,0,0,0,0,0,16,34,41
842377,0,0,0,0,0,17,34,41
854174,0,0,0,0,0,18,34,41
