time,max,99th,95th,med
0,7,7,7,7
70024,49.2,49.2,49.2,49.2
135296,49.2,49.2,49.2,49.2
178298,49.2,49.2,49.2,7
265278,49.2,49.2,49.2,7
313422,49.2,49.2,49.2,7
318554,49.2,49.2,49.2,7
318802,49.2,49.2,49.2,49.2
319542,49.2,49.2,49.2,49.2
319849,49.2,49.2,49.2,49.2
320203,52.4,52.4,52.4,49.2
323049,52.4,52.4,52.4,49.2
324143,52.4,52.4,52.4,49.2
324387,52.4,52.4,52.4,49.2
330439,52.4,52.4,52.4,49.2
394438,52.4,52.4,52.4,49.2
394610,52.4,52.4,52.4,49.2
394774,52.4,52.4,52.4,52.4
394933,52.4,52.4,52.4,52.4
395522,52.4,52.4,52.4,52.4
395836,52.4,52.4,52.4,52.4
400593,52.4,52.4,52.4,52.4
400756,52.4,52.4,52.4,52.4
400914,52.4,52.4,52.4,52.4
401067,52.4,52.4,52.4,52.4
401222,52.4,52.4,52.4,52.4
401376,52.4,52.4,52.4,52.4
401530,52.4,52.4,52.4,52.4
401681,52.4,52.4,52.4,52.4
504171,52.4,52.4,52.4,52.4
530126,52.4,52.4,52.4,52.4
573378,52.4,52.4,52.4,52.4
664358,52.4,52.4,52.4,52.4
664372,52.4,52.4,52.4,52.4
664544,52.4,52.4,52.4,52.4
664555,52.4,52.4,52.4,52.4
665634,52.4,52.4,52.4,52.4
674938,52.4,52.4,52.4,52.4
686170,52.4,52.4,52.4,52.4
686742,52.4,52.4,52.4,52.4
687406,52.4,52.4,52.4,52.4
690043,52.4,52.4,52.4,52.4
710349,52.4,52.4,52.4,52.4
737775,52.4,52.4,52.4,52.4
737781,52.4,52.4,52.4,52.4
737788,52.4,52.4,52.4,52.4
737793,52.4,52.4,52.4,52.4
737803,52.4,52.4,52.4,52.4
737808,52.4,52.4,52.4,52.4
737814,52.4,52.4,52.4,52.4
737821,52.4,52.4,52.4,52.4
737830,52.4,52.4,52.4,52.4
737837,52.4,52.4,52.4,52.4
737844,52.4,52.4,52.4,52.4
737849,52.4,52.4,52.4,52.4
737855,52.4,52.4,52.4,52.4
737861,52.4,52.4,52.4,52.4
737868,52.4,52.4,52.4,52.4
737875,52.4,52.4,52.4,52.4
737884,52.4,52.4,52.4,52.4
737891,52.4,52.4,52.4,52.4
737896,52.4,52.4,52.4,49.2
737902,52.4,52.4,52.4,49.2
737907,52.4,52.4,52.4,49.2
737912,52.4,52.4,52.4,49.2
737918,52.4,52.4,52.4,49.2
737924,52.4,52.4,52.4,49.2
737934,52.4,52.4,52.4,49.2
737941,52.4,52.4,52.4,49.2
737946,52.4,52.4,52.4,49.2
737952,52.4,52.4,52.4,49.2
737957,52.4,52.4,52.4,49.2
737962,52.4,52.4,52.4,49.2
737967,52.4,52.4,52.4,49.2
737973,52.4,52.4,52.4,49.2
737984,52.4,52.4,52.4,49.2
737989,52.4,52.4,52.4,49.2
737996,52.4,52.4,52.4,49.2
738002,52.4,52.4,52.4,49.2
738019,52.4,52.4,52.4,49.2
738025,52.4,52.4,52.4,49.2
738038,52.4,52.4,52.4,22.0
738049,52.4,52.4,52.4,22.0
738069,52.4,52.4,52.4,22.0
738082,52.4,52.4,52.4,22.0
738097,52.4,52.4,52.4,22.0
738103,52.4,52.4,52.4,22.0
738116,52.4,52.4,52.4,22.0
738129,52.4,52.4,52.4,22.0
738137,52.4,52.4,52.4,22.0
738153,52.4,52.4,52.4,22.0
738163,52.4,52.4,52.4,22.0
738170,52.4,52.4,52.4,22.0
738194,52.4,52.4,52.4,22.0
738201,52.4,52.4,52.4,22.0
738211,52.4,52.4,52.4,22.0
738556,52.4,52.4,52.4,22.0
738937,52.4,52.4,52.4,22.0
738940,52.4,52.4,52.4,22.0
739097,52.4,52.4,52.4,22.0
739292,52.4,52.4,52.4,22.0
739531,52.4,52.4,52.4,22.0
739594,52.4,52.4,52.4,22.0
739818,52.4,52.4,52.4,22.0
742059,52.4,52.4,52.4,22.0
743682,52.4,52.4,52.4,22.0
744183,52.4,52.4,52.4,22.0
745531,52.4,52.4,52.4,22.0
746041,52.4,52.4,52.4,22.0
747545,52.4,52.4,52.4,22.0
748697,52.4,52.4,52.4,22.0
749618,52.4,52.4,52.4,22.0
752834,52.4,52.4,52.4,22.0
753683,52.4,52.4,52.4,22.0
753853,52.4,52.4,52.4,22.0
756513,52.4,52.4,52.4,22.0
756613,52.4,52.4,52.4,17.0
757381,52.4,52.4,52.4,17.0
761865,52.4,52.4,52.4,17.0
763606,52.4,52.4,52.4,17.0
764627,52.4,52.4,52.4,17.0
765097,52.4,52.4,52.4,17.0
766066,52.4,52.4,52.4,17.0
766068,52.4,52.4,52.4,17.0
766070,52.4,52.4,52.4,17.0
766078,52.4,52.4,52.4,17.0
766093,52.4,52.4,52.4,17.0
766112,52.4,52.4,52.4,17.0
766117,52.4,52.4,52.4,17.0
768594,52.4,52.4,52.4,17.0
769411,52.4,52.4,52.4,17.0
776812,52.4,52.4,52.4,17.0
780611,52.4,52.4,52.4,12.0
780879,52.4,52.4,52.4,12.0
781010,52.4,52.4,52.4,12.0
782660,52.4,52.4,52.4,12.0
783187,52.4,52.4,52.4,12.0
784410,52.4,52.4,52.4,12.0
