time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
951825,4,1,867308,867308,951825,84517,84517,84517,0,0,0
1012459,1,1,529666,529666,1012459,482793,482793,482793,0,0,0
1090042,9,1,979018,979018,1090042,111024,111024,111024,0,0,0
1093417,24,1,1089783,1089783,1093417,3634,3634,3634,0,0,0
1102503,30,1,1101566,1101566,1102503,937,937,937,0,0,0
1106380,18,1,1073402,1073402,1106380,32978,32978,32978,0,0,0
1122247,19,1,1073545,1073545,1122247,48702,48702,48702,0,0,0
1143713,17,1,1072689,1072689,1143713,71024,71024,71024,0,0,0
1155168,32,1,1106397,1106397,1155168,48771,48771,48771,0,0,0
1167564,33,1,1107097,1107097,1167564,60467,60467,60467,0,0,0
1169200,37,1,1114931,1114931,1169200,54269,54269,54269,0,0,0
1176523,15,1,1050596,1050596,1176523,125927,125927,125927,0,0,0
1197382,53,4,1187568,1187568,1197382,9814,9814,9814,0,0,0
1210124,49,1,1180328,1180328,1210124,29796,29796,29796,0,0,0
1210607,47,4,1153440,1153440,1210607,57167,57167,57167,0,0,0
1219322,13,4,1031456,1031456,1219322,187866,187866,187866,0,0,0
1220162,42,1,1144498,1144498,1220162,75664,75664,75664,0,0,0
1220533,22,1,1084436,1084436,1220533,136097,136097,136097,0,0,0
1222928,21,4,1077213,1077213,1222928,145715,145715,145715,0,0,0
1269632,16,4,1058360,1058360,1269632,211272,211272,211272,0,0,0
1293633,57,1,1248834,1248834,1293633,44799,44799,44799,0,0,0
1313632,45,4,1152314,1152314,1313632,161318,161318,161318,0,0,0
1320398,55,1,1199703,1199703,1320398,120695,120695,120695,0,0,0
1330539,6,8,952842,952842,1330539,377697,377697,377697,0,0,0
1332717,28,4,1096370,1096370,1332717,236347,236347,236347,0,0,0
1373935,39,4,1120762,1120762,1373935,253173,253173,253173,0,0,0
1384583,40,1,1136572,1136572,1384583,248011,248011,248011,0,0,0
1394538,58,1,1249748,1249748,1394538,144790,144790,144790,0,0,0
1394943,62,8,1310461,1332717,1394943,62226,84482,62226,22256,0,0
1396762,66,1,1361760,1394943,1396762,1819,35002,1819,33183,0,0
1432330,41,1,1142769,1142769,1432330,289561,289561,289561,0,0,0
1438597,31,4,1103252,1103252,1438597,335345,335345,335345,0,0,0
1541506,25,1,1089969,1089969,1541506,451537,451537,451537,0,0,0
1547764,12,1,989042,989042,1547764,558722,558722,558722,0,0,0
1634450,48,1,1180064,1180064,1634450,454386,454386,454386,0,0,0
1643581,69,1,1390061,1438597,1643581,204984,253520,204984,48536,0,0
1712765,56,8,1204081,1210607,1712765,502158,508684,502158,6526,0,0
1739423,74,1,1478556,1712765,1739423,26658,260867,26658,234209,0,0
1750160,72,1,1435450,1712765,1750160,37395,314710,37395,277315,0,0
1843370,70,4,1393054,1712765,1843370,130605,450316,130605,319711,0,0
1933011,50,1,1180378,1180378,1933011,752633,752633,752633,0,0,0
1935090,54,1,1195879,1195879,1935090,739211,739211,739211,0,0,0
1936448,64,8,1327382,1394943,1936448,541505,609066,541505,67561,0,0
1940791,43,1,1144978,1144978,1940791,795813,795813,795813,0,0,0
1975599,52,4,1187489,1187489,1975599,788110,788110,788110,0,0,0
2090721,2,1,544653,544653,2090721,1546068,1546068,1546068,0,0,0
2200700,8,1,958289,958289,2200700,1242411,1242411,1242411,0,0,0
2213842,20,4,1075378,1075378,2213842,1138464,1138464,1138464,0,0,0
2309752,73,4,1443247,1712765,2309752,596987,866505,596987,269518,0,0
2352778,7,8,958154,958154,2352778,1394624,1394624,1394624,0,0,0
2364788,44,1,1145961,1145961,2364788,1218827,1218827,1218827,0,0,0
2404019,51,4,1186735,1186735,2404019,1217284,1217284,1217284,0,0,0
2462602,65,1,1340977,1394943,2462602,1067659,1121625,1067659,53966,0,0
2530806,78,4,2179629,2309752,2530806,221054,351177,221054,130123,0,0
2645058,67,4,1365241,1438597,2645058,1206461,1279817,1206461,73356,0,0
2708173,68,1,1379884,1438597,2708173,1269576,1328289,1269576,58713,0,0
2735707,38,8,1119434,1119434,2735707,1616273,1616273,1616273,0,0,0
2767706,86,8,2263787,2735707,2767706,31999,503919,31999,471920,0,0
2866978,27,1,1095773,1095773,2866978,1771205,1771205,1771205,0,0,0
2954461,79,1,2185747,2309752,2954461,644709,768714,644709,124005,0,0
3265654,83,4,2189933,2352778,3265654,912876,1075721,912876,162845,0,0
3504979,89,8,2325554,3265654,3504979,239325,1179425,239325,940100,0,0
3591859,92,1,2356419,3504979,3591859,86880,1235440,86880,1148560,0,0
3651150,95,1,2384044,3504979,3651150,146171,1267106,146171,1120935,0,0
3845240,90,8,2345868,3504979,3845240,340261,1499372,340261,1159111,0,0
3863056,97,1,2400817,3845240,3863056,17816,1462239,17816,1444423,0,0
3904527,29,1,1100086,1100086,3904527,2804441,2804441,2804441,0,0,0
3964472,46,4,1152599,1152599,3964472,2811873,2811873,2811873,0,0,0
4029973,96,4,2386254,3845240,4029973,184733,1643719,184733,1458986,0,0
4096846,98,1,2401669,3845240,4096846,251606,1695177,251606,1443571,0,0
4305395,82,1,2188384,2309752,4305395,1995643,2117011,1995643,121368,0,0
4339617,76,8,2070363,2070363,4339617,2269254,2269254,2269254,0,0,0
4348194,35,4,1112151,1112151,4348194,3236043,3236043,3236043,0,0,0
4374596,101,4,2420412,4339617,4374596,34979,1954184,34979,1919205,0,0
4425871,102,2,2420436,4339617,4425871,86254,2005435,86254,1919181,0,0
4475871,108,1,2448390,4374596,4475871,101275,2027481,101275,1926206,0,0
4558364,111,1,2458013,4475871,4558364,82493,2100351,82493,2017858,0,0
4645404,107,1,2433983,4348194,4645404,297210,2211421,297210,1914211,0,0
