time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
951825,4,1,867308,867308,951825,84517,84517,84517,0,0,0
1012459,1,1,529666,529666,1012459,482793,482793,482793,0,0,0
1090042,9,1,979018,979018,1090042,111024,111024,111024,0,0,0
1093417,24,1,1089783,1089783,1093417,3634,3634,3634,0,0,0
1102503,30,1,1101566,1101566,1102503,937,937,937,0,0,0
1106380,18,1,1073402,1073402,1106380,32978,32978,32978,0,0,0
1122247,19,1,1073545,1073545,1122247,48702,48702,48702,0,0,0
1143713,17,1,1072689,1072689,1143713,71024,71024,71024,0,0,0
1155168,32,1,1106397,1106397,1155168,48771,48771,48771,0,0,0
1167564,33,1,1107097,1107097,1167564,60467,60467,60467,0,0,0
1169200,37,1,1114931,1114931,1169200,54269,54269,54269,0,0,0
1176523,15,1,1050596,1050596,1176523,125927,125927,125927,0,0,0
1197382,53,4,1187568,1187568,1197382,9814,9814,9814,0,0,0
1210124,49,1,1180328,1180328,1210124,29796,29796,29796,0,0,0
1210607,47,4,1153440,1153440,1210607,57167,57167,57167,0,0,0
1219322,13,4,1031456,1031456,1219322,187866,187866,187866,0,0,0
1220162,42,1,1144498,1144498,1220162,75664,75664,75664,0,0,0
1220533,22,1,1084436,1084436,1220533,136097,136097,136097,0,0,0
1222928,21,4,1077213,1077213,1222928,145715,145715,145715,0,0,0
1269632,16,4,1058360,1058360,1269632,211272,211272,211272,0,0,0
1293633,57,1,1248834,1248834,1293633,44799,44799,44799,0,0,0
1313632,45,4,1152314,1152314,1313632,161318,161318,161318,0,0,0
1320398,55,1,1199703,1199703,1320398,120695,120695,120695,0,0,0
1330539,6,8,952842,952842,1330539,377697,377697,377697,0,0,0
1332717,28,4,1096370,1096370,1332717,236347,236347,236347,0,0,0
1367060,66,1,1361760,1365241,1367060,1819,5300,1819,3481,0,0
1373935,39,4,1120762,1120762,1373935,253173,253173,253173,0,0,0
1384583,40,1,1136572,1136572,1384583,248011,248011,248011,0,0,0
1392765,62,8,1310461,1330539,1392765,62226,82304,62226,20078,0,0
1394538,58,1,1249748,1249748,1394538,144790,144790,144790,0,0,0
1432330,41,1,1142769,1142769,1432330,289561,289561,289561,0,0,0
1438597,31,4,1103252,1103252,1438597,335345,335345,335345,0,0,0
1475992,72,1,1435450,1438597,1475992,37395,40542,37395,3147,0,0
1510810,74,1,1478556,1484152,1510810,26658,32254,26658,5596,0,0
1541506,25,1,1089969,1089969,1541506,451537,451537,451537,0,0,0
1547764,12,1,989042,989042,1547764,558722,558722,558722,0,0,0
1569202,70,4,1393054,1438597,1569202,130605,176148,130605,45543,0,0
1597749,69,1,1390061,1392765,1597749,204984,207688,204984,2704,0,0
1634450,48,1,1180064,1180064,1634450,454386,454386,454386,0,0,0
1712765,56,8,1204081,1210607,1712765,502158,508684,502158,6526,0,0
1874222,64,8,1327382,1332717,1874222,541505,546840,541505,5335,0,0
1933011,50,1,1180378,1180378,1933011,752633,752633,752633,0,0,0
1935090,54,1,1195879,1195879,1935090,739211,739211,739211,0,0,0
1940791,43,1,1144978,1144978,1940791,795813,795813,795813,0,0,0
1975599,52,4,1187489,1187489,1975599,788110,788110,788110,0,0,0
2090721,2,1,544653,544653,2090721,1546068,1546068,1546068,0,0,0
2166189,73,4,1443247,1569202,2166189,596987,722942,596987,125955,0,0
2200700,8,1,958289,958289,2200700,1242411,1242411,1242411,0,0,0
2213842,20,4,1075378,1075378,2213842,1138464,1138464,1138464,0,0,0
2352778,7,8,958154,958154,2352778,1394624,1394624,1394624,0,0,0
2364788,44,1,1145961,1145961,2364788,1218827,1218827,1218827,0,0,0
2384777,86,8,2263787,2352778,2384777,31999,120990,31999,88991,0,0
2404019,51,4,1186735,1186735,2404019,1217284,1217284,1217284,0,0,0
2406801,78,4,2179629,2185747,2406801,221054,227172,221054,6118,0,0
2419485,97,1,2400817,2401669,2419485,17816,18668,17816,852,0,0
2429419,65,1,1340977,1361760,2429419,1067659,1088442,1067659,20783,0,0
2451668,92,1,2356419,2364788,2451668,86880,95249,86880,8369,0,0
2527056,116,1,2518484,2524337,2527056,2719,8572,2719,5853,0,0
2530948,95,1,2384044,2384777,2530948,146171,146904,146171,733,0,0
2580396,67,4,1365241,1373935,2580396,1206461,1215155,1206461,8694,0,0
2585550,96,4,2386254,2400817,2585550,184733,199296,184733,14563,0,0
2586371,122,8,2528603,2585550,2586371,821,57768,821,56947,0,0
2587910,124,1,2540332,2585550,2587910,2360,47578,2360,45218,0,0
2595812,117,4,2524337,2586371,2595812,9441,71475,9441,62034,0,0
2621350,101,4,2420412,2586371,2621350,34979,200938,34979,165959,0,0
2624102,89,8,2325554,2384777,2624102,239325,298548,239325,59223,0,0
2654159,68,1,1379884,1384583,2654159,1269576,1274275,1269576,4699,0,0
2655625,98,1,2401669,2404019,2655625,251606,253956,251606,2350,0,0
2668252,126,8,2547588,2621350,2668252,46902,120664,46902,73762,0,0
2698526,137,1,2691652,2692445,2698526,6081,6874,6081,793,0,0
2703964,125,4,2545394,2624102,2703964,79862,158570,79862,78708,0,0
2706595,111,1,2458013,2624102,2706595,82493,248582,82493,166089,0,0
2707714,140,4,2705214,2705640,2707714,2074,2500,2074,426,0,0
2710168,141,4,2705640,2707714,2710168,2454,4528,2454,2074,0,0
2710356,102,2,2420436,2624102,2710356,86254,289920,86254,203666,0,0
2712711,142,4,2706041,2710168,2712711,2543,6670,2543,4127,0,0
2735707,38,8,1119434,1119434,2735707,1616273,1616273,1616273,0,0,0
2741540,132,8,2686574,2712711,2741540,28829,54966,28829,26137,0,0
2747062,90,8,2345868,2406801,2747062,340261,401194,340261,60933,0,0
