time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
725761,32,1,704390,704390,725761,21371,21371,21371,0,0,0
732022,30,1,704279,704279,732022,27743,27743,27743,0,0,0
753467,24,1,700252,700252,753467,53215,53215,53215,0,0,0
957788,41,1,938192,938192,957788,19596,19596,19596,0,0,0
959896,22,1,692576,692576,959896,267320,267320,267320,0,0,0
998864,58,1,973862,973862,998864,25002,25002,25002,0,0,0
1008860,57,1,973805,973805,1008860,35055,35055,35055,0,0,0
1010896,55,1,968605,968605,1010896,42291,42291,42291,0,0,0
1015008,53,1,968529,968529,1015008,46479,46479,46479,0,0,0
1039384,38,1,938113,938113,1039384,101271,101271,101271,0,0,0
1086359,52,1,961167,961167,1086359,125192,125192,125192,0,0,0
1088572,66,1,1045400,1045400,1088572,43172,43172,43172,0,0,0
1114333,25,1,702587,702587,1114333,411746,411746,411746,0,0,0
1119148,64,1,1045189,1045189,1119148,73959,73959,73959,0,0,0
1158607,51,1,961139,961139,1158607,197468,197468,197468,0,0,0
1171681,47,1,960601,960601,1171681,211080,211080,211080,0,0,0
1182269,28,1,703872,703872,1182269,478397,478397,478397,0,0,0
1223319,50,1,961107,961107,1223319,262212,262212,262212,0,0,0
1283536,18,1,120,120,1283536,1283416,1283416,1283416,0,0,0
1284095,1,1,7,7,1284095,1284088,1284088,1284088,0,0,0
1331117,56,1,968944,968944,1331117,362173,362173,362173,0,0,0
1339529,49,1,960756,960756,1339529,378773,378773,378773,0,0,0
1392290,54,1,968562,968562,1392290,423728,423728,423728,0,0,0
1422516,86,1,1378032,1378032,1422516,44484,44484,44484,0,0,0
1441065,63,1,1045144,1045144,1441065,395921,395921,395921,0,0,0
1492502,72,1,1141411,1141411,1492502,351091,351091,351091,0,0,0
1506172,37,1,938081,938081,1506172,568091,568091,568091,0,0,0
1520894,27,1,702715,702715,1520894,818179,818179,818179,0,0,0
1540562,71,1,1128497,1128497,1540562,412065,412065,412065,0,0,0
1541048,70,1,1127794,1127794,1541048,413254,413254,413254,0,0,0
1541342,42,1,950582,950582,1541342,590760,590760,590760,0,0,0
1580750,45,1,960029,960029,1580750,620721,620721,620721,0,0,0
1665851,33,1,935511,935511,1665851,730340,730340,730340,0,0,0
1670789,39,1,938166,938166,1670789,732623,732623,732623,0,0,0
1745003,111,1,1744210,1744210,1745003,793,793,793,0,0,0
1752338,102,1,1726203,1726203,1752338,26135,26135,26135,0,0,0
1759704,116,1,1759074,1759074,1759704,630,630,630,0,0,0
1763760,92,1,1380669,1380669,1763760,383091,383091,383091,0,0,0
1786153,108,1,1743378,1743378,1786153,42775,42775,42775,0,0,0
1792175,68,1,1045552,1045552,1792175,746623,746623,746623,0,0,0
1802065,122,1,1801075,1801075,1802065,990,990,990,0,0,0
1802638,126,1,1801663,1801663,1802638,975,975,975,0,0,0
1802709,124,1,1801226,1801226,1802709,1483,1483,1483,0,0,0
1803642,117,1,1759533,1759533,1803642,44109,44109,44109,0,0,0
1816433,98,1,1723994,1723994,1816433,92439,92439,92439,0,0,0
1846150,128,1,1803799,1803799,1846150,42351,42351,42351,0,0,0
1865200,141,1,1842364,1842364,1865200,22836,22836,22836,0,0,0
1865911,133,1,1812636,1812636,1865911,53275,53275,53275,0,0,0
1866446,110,1,1743955,1743955,1866446,122491,122491,122491,0,0,0
1875272,140,1,1841216,1841216,1875272,34056,34056,34056,0,0,0
1878745,151,1,1845418,1845418,1878745,33327,33327,33327,0,0,0
1886921,121,1,1801032,1801032,1886921,85889,85889,85889,0,0,0
1896034,125,1,1801646,1801646,1896034,94388,94388,94388,0,0,0
1900213,142,1,1842912,1842912,1900213,57301,57301,57301,0,0,0
1907976,109,1,1743463,1743463,1907976,164513,164513,164513,0,0,0
1918743,101,1,1725760,1725760,1918743,192983,192983,192983,0,0,0
1925210,159,1,1885939,1885939,1925210,39271,39271,39271,0,0,0
1928207,156,1,1885343,1885343,1928207,42864,42864,42864,0,0,0
1929602,62,1,1025082,1025082,1929602,904520,904520,904520,0,0,0
1938545,135,1,1813448,1813448,1938545,125097,125097,125097,0,0,0
1950521,120,1,1801012,1801012,1950521,149509,149509,149509,0,0,0
1952425,170,1,1924444,1924444,1952425,27981,27981,27981,0,0,0
1970524,174,1,1947804,1947804,1970524,22720,22720,22720,0,0,0
1971937,65,1,1045336,1045336,1971937,926601,926601,926601,0,0,0
1982600,29,1,704225,704225,1982600,1278375,1278375,1278375,0,0,0
1985941,181,1,1949149,1949149,1985941,36792,36792,36792,0,0,0
1989412,112,1,1756315,1756315,1989412,233097,233097,233097,0,0,0
1990796,177,1,1948989,1948989,1990796,41807,41807,41807,0,0,0
1997801,74,1,1364078,1364078,1997801,633723,633723,633723,0,0,0
2024744,137,1,1815141,1815141,2024744,209603,209603,209603,0,0,0
2024904,157,1,1885827,1885827,2024904,139077,139077,139077,0,0,0
2031047,123,1,1801112,1801112,2031047,229935,229935,229935,0,0,0
2032686,195,1,2007405,2007405,2032686,25281,25281,25281,0,0,0
2039089,165,1,1924148,1924148,2039089,114941,114941,114941,0,0,0
2093397,154,1,1884524,1884524,2093397,208873,208873,208873,0,0,0
2098523,202,1,2064842,2064842,2098523,33681,33681,33681,0,0,0
2108040,199,1,2064753,2064753,2108040,43287,43287,43287,0,0,0
2117658,100,1,1724302,1724302,2117658,393356,393356,393356,0,0,0
2182611,205,1,2065001,2065001,2182611,117610,117610,117610,0,0,0
2196558,212,1,2172744,2172744,2196558,23814,23814,23814,0,0,0
2203036,223,1,2173509,2173509,2203036,29527,29527,29527,0,0,0
2213330,143,1,1843553,1843553,2213330,369777,369777,369777,0,0,0
2217745,238,1,2189239,2189239,2217745,28506,28506,28506,0,0,0
2220727,247,1,2190888,2190888,2220727,29839,29839,29839,0,0,0
2228831,233,1,2188472,2188472,2228831,40359,40359,40359,0,0,0
2239038,232,1,2188436,2188436,2239038,50602,50602,50602,0,0,0
2245339,235,1,2188589,2188589,2245339,56750,56750,56750,0,0,0
2248308,228,1,2187760,2187760,2248308,60548,60548,60548,0,0,0
2263400,168,1,1924246,1924246,2263400,339154,339154,339154,0,0,0
2279637,215,1,2173040,2173040,2279637,106597,106597,106597,0,0,0
2284221,256,1,2263249,2263249,2284221,20972,20972,20972,0,0,0
2290572,251,1,2261456,2261456,2290572,29116,29116,29116,0,0,0
2298422,259,1,2263536,2263536,2298422,34886,34886,34886,0,0,0
2310472,268,1,2279858,2279858,2310472,30614,30614,30614,0,0,0
2311215,263,1,2278143,2278143,2311215,33072,33072,33072,0,0,0
2312266,269,1,2279910,2279910,2312266,32356,32356,32356,0,0,0
2314782,266,1,2279635,2279635,2314782,35147,35147,35147,0,0,0
2323053,162,1,1888077,1888077,2323053,434976,434976,434976,0,0,0
2338678,104,1,1730756,1730756,2338678,607922,607922,606459,1463,1,0
2358083,160,1,1888031,1888031,2358083,470052,470052,470052,0,0,0
2360663,283,1,2340778,2340778,2360663,19885,19885,19885,0,0,0
2365475,267,1,2279684,2279684,2365475,85791,85791,85791,0,0,0
2365642,272,1,2320312,2320312,2365642,45330,45330,45330,0,0,0
2378396,208,1,2172384,2172384,2378396,206012,206012,206012,0,0,0
2379845,130,1,1809683,1809683,2379845,570162,570162,557939,12223,1,0
2384213,280,1,2339584,2339584,2384213,44629,44629,44629,0,0,0
2386697,291,1,2365429,2365429,2386697,21268,21268,21268,0,0,0
2387925,252,1,2261522,2261522,2387925,126403,126403,126403,0,0,0
2393059,275,1,2338068,2338068,2393059,54991,54991,54991,0,0,0
2401165,286,1,2365153,2365153,2401165,36012,36012,36012,0,0,0
2404906,200,1,2064768,2064768,2404906,340138,340138,340138,0,0,0
2405998,289,1,2365284,2365284,2405998,40714,40714,40714,0,0,0
2413896,138,1,1815174,1815174,2413896,598722,598722,598269,453,1,0
2414805,243,1,2190758,2190758,2414805,224047,224047,224047,0,0,0
2434122,131,1,1810858,1810858,2434122,623264,623264,613057,10207,1,0
2437595,97,1,1723803,1723803,2437595,713792,713792,704541,9251,1,0
2439569,76,1,1364283,1364283,2439569,1075286,1075286,1057129,18157,3,0
2449226,171,1,1924474,1924474,2449226,524752,524752,433464,91288,1,0
2469275,226,1,2187649,2187649,2469275,281626,281626,281626,0,0,0
2469896,301,1,2448418,2448418,2469896,21478,21478,21478,0,0,0
2470482,260,1,2263557,2263557,2470482,206925,206925,206925,0,0,0
2472687,224,1,2173525,2173525,2472687,299162,299162,299162,0,0,0
2475734,290,1,2365351,2365351,2475734,110383,110383,110383,0,0,0
2482868,296,1,2447241,2447241,2482868,35627,35627,35627,0,0,0
2495357,305,1,2449442,2449442,2495357,45915,45915,45915,0,0,0
2503212,304,1,2449440,2449440,2503212,53772,53772,53772,0,0,0
2522266,264,1,2278253,2278253,2522266,244013,244013,244013,0,0,0
2533970,314,1,2528371,2528371,2533970,5599,5599,5599,0,0,0
2534568,310,1,2527792,2527792,2534568,6776,6776,6776,0,0,0
2535001,315,1,2528414,2528414,2535001,6587,6587,6587,0,0,0
2535354,313,1,2528118,2528118,2535354,7236,7236,7236,0,0,0
2537141,341,1,2534450,2534450,2537141,2691,2691,2691,0,0,0
2537254,321,1,2532376,2532376,2537254,4878,4878,4878,0,0,0
2537933,328,1,2532772,2532772,2537933,5161,5161,5161,0,0,0
2538879,347,1,2534632,2534632,2538879,4247,4247,4247,0,0,0
2539621,343,1,2534499,2534499,2539621,5122,5122,5122,0,0,0
2548323,338,1,2534049,2534049,2548323,14274,14274,14274,0,0,0
2548396,312,1,2528037,2528037,2548396,20359,20359,20359,0,0,0
2549094,307,1,2527371,2527371,2549094,21723,21723,21723,0,0,0
2549714,348,1,2534667,2534667,2549714,15047,15047,15047,0,0,0
2556340,320,1,2532352,2532352,2556340,23988,23988,23988,0,0,0
2563031,385,1,2542637,2542637,2563031,20394,20394,20394,0,0,0
2563524,382,1,2542444,2542444,2563524,21080,21080,21080,0,0,0
2570968,356,1,2540195,2540195,2570968,30773,30773,30773,0,0,0
2572546,144,1,1843865,1843865,2572546,728681,728681,698006,30675,4,0
2573100,363,1,2540942,2540942,2573100,32158,32158,32158,0,0,0
2573154,372,1,2541478,2541478,2573154,31676,31676,31676,0,0,0
2573532,384,1,2542554,2542554,2573532,30978,30978,30978,0,0,0
2574426,394,1,2543714,2543714,2574426,30712,30712,30712,0,0,0
2574864,337,1,2534031,2534031,2574864,40833,40833,40833,0,0,0
2575219,336,1,2533934,2533934,2575219,41285,41285,41285,0,0,0
2577054,367,1,2541022,2541022,2577054,36032,36032,36032,0,0,0
2577915,354,1,2540150,2540150,2577915,37765,37765,37765,0,0,0
2586008,346,1,2534604,2534604,2586008,51404,51404,51404,0,0,0
2594673,353,1,2540122,2540122,2594673,54551,54551,54551,0,0,0
2597674,334,1,2533852,2533852,2597674,63822,63822,63822,0,0,0
2599685,309,1,2527747,2527747,2599685,71938,71938,71938,0,0,0
2602175,323,1,2532433,2532433,2602175,69742,69742,69742,0,0,0
2602346,318,1,2532292,2532292,2602346,70054,70054,70054,0,0,0
2616700,339,1,2534072,2534072,2616700,82628,82628,82628,0,0,0
2621181,351,1,2534714,2534714,2621181,86467,86467,86467,0,0,0
2630977,332,1,2533770,2533770,2630977,97207,97207,97207,0,0,0
2631210,333,1,2533828,2533828,2631210,97382,97382,97382,0,0,0
2644250,349,1,2534680,2534680,2644250,109570,109570,109570,0,0,0
2644695,407,1,2621664,2621664,2644695,23031,23031,23031,0,0,0
2658934,402,1,2621409,2621409,2658934,37525,37525,37525,0,0,0
2660302,406,1,2621619,2621619,2660302,38683,38683,38683,0,0,0
2662226,401,1,2621292,2621292,2662226,40934,40934,40934,0,0,0
2671976,404,1,2621537,2621537,2671976,50439,50439,50439,0,0,0
2674321,344,1,2534532,2534532,2674321,139789,139789,139789,0,0,0
2678745,322,1,2532401,2532401,2678745,146344,146344,146344,0,0,0
2683439,258,1,2263503,2263503,2683439,419936,419936,419936,0,0,0
2685286,146,1,1844993,1844993,2685286,840293,840293,766618,73675,2,0
2697130,119,1,1796081,1796081,2697130,901049,901049,862465,38584,3,0
2699563,317,1,2530754,2530754,2699563,168809,168809,168809,0,0,0
2727393,395,1,2543728,2543728,2727393,183665,183665,183665,0,0,0
2731235,237,1,2188647,2188647,2731235,542588,542588,542588,0,0,0
2743813,288,1,2365234,2365234,2743813,378579,378579,378579,0,0,0
2796655,299,1,2448166,2448166,2796655,348489,348489,348489,0,0,0
2806825,389,1,2542903,2542903,2806825,263922,263922,263922,0,0,0
2807262,375,1,2541565,2541565,2807262,265697,265697,265697,0,0,0
2807354,303,1,2448581,2448581,2807354,358773,358773,358773,0,0,0
2814140,380,1,2542352,2542352,2814140,271788,271788,271788,0,0,0
2819725,366,1,2541001,2541001,2819725,278724,278724,278724,0,0,0
2841882,274,1,2337999,2337999,2841882,503883,503883,503883,0,0,0
2846969,193,1,2007012,2007012,2846969,839957,839957,629798,210159,1,0
2851198,188,1,2000491,2000491,2851198,850707,850707,656242,194465,2,0
