time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
3250,0,0,0,0,0,0,1,0
7200,0,0,0,0,0,0,1,0
336541,0,0,0,0,0,0,2,0
336948,0,0,0,0,0,0,2,0
337798,0,0,0,0,0,0,2,0
475911,0,0,0,0,0,0,3,0
476285,0,0,0,0,0,0,4,0
476692,0,0,0,0,0,0,4,0
477542,0,0,0,0,0,0,4,0
479161,0,0,0,0,0,0,4,0
483111,0,0,0,0,0,0,4,0
543390,0,0,0,0,0,0,5,0
543797,0,0,0,0,0,0,5,0
544647,0,0,0,0,0,0,5,0
600049,0,0,0,0,0,0,6,0
600456,0,0,0,0,0,0,6,0
601306,0,0,0,0,0,0,6,0
627951,0,0,0,0,0,0,7,0
628358,0,0,0,0,0,0,7,0
629208,0,0,0,0,0,0,7,0
671239,0,0,0,0,0,0,8,0
671646,0,0,0,0,0,0,8,0
672496,0,0,0,0,0,0,8,0
837589,0,0,0,0,0,0,9,0
837888,0,0,0,0,0,0,10,0
838257,0,0,0,0,0,0,10,0
838618,0,0,0,0,0,0,10,0
839427,0,0,0,0,0,0,10,0
880076,0,0,0,0,0,0,11,0
880119,0,0,0,0,0,0,12,0
880145,0,0,0,0,0,0,13,0
880165,0,0,0,0,0,0,14,0
881304,0,0,0,0,0,0,15,0
883326,0,0,0,0,0,0,15,0
883369,0,0,0,0,0,0,15,0
883395,0,0,0,0,0,0,15,0
883415,0,0,0,0,0,0,15,0
884079,0,0,0,0,0,0,16,0
884554,0,0,0,0,0,0,16,0
885248,0,0,0,0,0,0,16,0
886756,0,0,0,0,0,0,16,0
887276,0,0,0,0,0,0,16,0
887319,0,0,0,0,0,0,16,0
887345,0,0,0,0,0,0,16,0
887365,0,0,0,0,0,0,16,0
888504,0,0,0,0,0,0,16,0
896743,0,0,0,0,0,0,17,0
897150,0,0,0,0,0,0,17,0
898000,0,0,0,0,0,0,17,0
906050,0,0,0,0,0,0,18,0
906242,0,0,0,0,0,0,19,0
906308,0,0,0,0,0,0,20,0
907121,0,0,0,0,0,0,20,0
908718,0,0,0,0,0,0,20,0
909300,0,0,0,0,0,0,20,0
909492,0,0,0,0,0,0,20,0
912363,0,0,0,0,0,0,21,0
912416,0,0,0,0,0,0,22,0
912464,0,0,0,0,0,0,23,0
913250,0,0,0,0,0,0,23,0
913442,0,0,0,0,0,0,23,0
914973,0,0,0,0,0,0,23,0
926406,0,0,0,0,0,0,24,0
926450,0,0,0,0,0,1,24,0
926459,0,0,0,0,0,3,23,0
