time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
931258,21,4,912416,912416,931258,18842,18842,18842,0,0,0
1039575,18,1,906242,906242,1039575,133333,133333,133333,0,0,0
1044514,24,16,926450,1039575,1044514,4939,118064,4939,113125,0,0
1057540,22,4,912464,912464,1057540,145076,145076,145076,0,0,0
1089714,25,16,926459,1044514,1089714,45200,163255,45200,118055,0,0
1116292,1,8,336541,336541,1116292,779751,779751,779751,0,0,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1252001,20,4,912363,912363,1252001,339638,339638,339638,0,0,0
1535086,15,4,884079,884079,1535086,651007,651007,651007,0,0,0
2586169,4,8,543390,543390,2586169,2042779,2042779,2042779,0,0,0
2682247,2,1,475911,475911,2682247,2206336,2206336,2206336,0,0,0
2743247,30,8,931720,2586169,2743247,157078,1811527,157078,1654449,0,0
3683369,19,4,906308,906308,3683369,2777061,2777061,2777061,0,0,0
3787828,32,8,946857,3683369,3787828,104459,2840971,104459,2736512,0,0
5476841,8,8,837589,837589,5476841,4639252,4639252,4639252,0,0,0
5865857,33,16,952206,5476841,5865857,389016,4913651,389016,4524635,0,0
5986525,11,1,880119,880119,5986525,5106406,5106406,5106406,0,0,0
6378102,9,8,837888,837888,6378102,5540214,5540214,5540214,0,0,0
6412666,16,8,896743,896743,6412666,5515923,5515923,5515923,0,0,0
6576018,13,1,880165,880165,6576018,5695853,5695853,5695853,0,0,0
6868215,28,8,930880,1116292,6868215,5751923,5937335,5751923,185412,0,0
7056072,23,16,926406,926406,7056072,6129666,6129666,6129666,0,0,0
7762025,7,8,671239,671239,7762025,7090786,7090786,7090786,0,0,0
7763869,38,8,961993,7056072,7763869,707797,6801876,707797,6094079,0,0
7765890,41,1,982125,7762025,7765890,3865,6783765,3865,6779900,0,0
7779991,42,4,989813,7762025,7779991,17966,6790178,17966,6772212,0,0
7788779,47,1,993353,7779991,7788779,8788,6795426,8788,6786638,0,0
7799101,39,4,963028,7762025,7799101,37076,6836073,37076,6798997,0,0
7822173,49,4,999486,7799101,7822173,23072,6822687,23072,6799615,0,0
7983333,43,4,990126,7763869,7983333,219464,6993207,219464,6773743,0,0
7984976,53,1,1003841,7983333,7984976,1643,6981135,1643,6979492,0,0
8129662,54,1,1004148,7983333,8129662,146329,7125514,146329,6979185,0,0
8297155,45,4,991447,7763869,8297155,533286,7305708,533286,6772422,0,0
8338259,27,8,930730,1089714,8338259,7248545,7407529,7248545,158984,0,0
8339863,48,1,996568,7779991,8339863,559872,7343295,559872,6783423,0,0
8344423,55,8,1004200,8338259,8344423,6164,7340223,6164,7334059,0,0
8345869,58,1,1007947,8344423,8345869,1446,7337922,1446,7336476,0,0
8350661,57,1,1006297,8344423,8350661,6238,7344364,6238,7338126,0,0
8387749,51,1,999843,7822173,8387749,565576,7387906,565576,6822330,0,0
8388240,52,4,1000852,7983333,8388240,404907,7387388,404907,6982481,0,0
8541226,40,1,981636,7762025,8541226,779201,7559590,779201,6780389,0,0
8624177,56,8,1005202,8344423,8624177,279754,7618975,279754,7339221,0,0
9189304,60,4,1020508,8624177,9189304,565127,8168796,565127,7603669,0,0
9660229,59,16,1013092,8624177,9660229,1036052,8647137,1036052,7611085,0,0
10251676,61,8,1022485,9660229,10251676,591447,9229191,591447,8637744,0,0
10253455,64,4,1023510,10251676,10253455,1779,9229945,1779,9228166,0,0
10273397,63,1,1022908,10251676,10273397,21721,9250489,21721,9228768,0,0
10354210,62,16,1022622,10251676,10354210,102534,9331588,102534,9229054,0,0
10654519,37,8,961716,7056072,10654519,3598447,9692803,3598447,6094356,0,0
10691504,65,16,1023955,10354210,10691504,337294,9667549,337294,9330255,0,0
10826886,66,8,1024189,10654519,10826886,172367,9802697,172367,9630330,0,0
11004170,70,4,1028741,10826886,11004170,177284,9975429,177284,9798145,0,0
11004252,71,4,1029550,10826886,11004252,177366,9974702,177366,9797336,0,0
11028272,73,8,1033426,11004252,11028272,24020,9994846,24020,9970826,0,0
11041819,68,8,1025799,10691504,11041819,350315,10016020,350315,9665705,0,0
11071335,72,1,1030698,10826886,11071335,244449,10040637,244449,9796188,0,0
11389556,74,16,1041491,11041819,11389556,347737,10348065,347737,10000328,0,0
11534646,76,1,1058834,11389556,11534646,145090,10475812,145090,10330722,0,0
12108013,36,8,956090,6868215,12108013,5239798,11151923,5239798,5912125,0,0
12235056,77,1,1061017,11389556,12235056,845500,11174039,845500,10328539,0,0
13129045,35,16,953317,6412666,13129045,6716379,12175728,6716379,5459349,0,0
13193555,83,4,1068634,13129045,13193555,64510,12124921,64510,12060411,0,0
13656017,82,1,1064215,13129045,13656017,526972,12591802,526972,12064830,0,0
14117573,50,1,999520,7799101,14117573,6318472,13118053,6318472,6799581,0,0
14924447,29,8,931137,1252001,14924447,13672446,13993310,13672446,320864,0,0
15316704,79,8,1062109,12108013,15316704,3208691,14254595,3208691,11045904,0,0
15325332,86,1,1078349,15316704,15325332,8628,14246983,8628,14238355,0,0
15410785,85,16,1078287,15316704,15410785,94081,14332498,94081,14238417,0,0
15441856,91,1,1083560,15410785,15441856,31071,14358296,31071,14327225,0,0
15486530,0,1,0,0,15486530,15486530,15486530,15486530,0,0,0
15500869,95,1,1093901,15410785,15500869,90084,14406968,90084,14316884,0,0
15505205,89,1,1078558,15316704,15505205,188501,14426647,188501,14238146,0,0
15536168,88,2,1078520,15316704,15536168,219464,14457648,219464,14238184,0,0
15765167,92,1,1087027,15410785,15765167,354382,14678140,354382,14323758,0,0
15775499,87,1,1078499,15316704,15775499,458795,14697000,458795,14238205,0,0
15969297,81,1,1064146,13129045,15969297,2840252,14905151,2840252,12064899,0,0
16009648,104,1,1095751,15500869,16009648,508779,14913897,508779,14405118,0,0
16096622,111,1,1099017,16009648,16096622,86974,14997605,86974,14910631,0,0
16457503,101,1,1095578,15410785,16457503,1046718,15361925,1046718,14315207,0,0
16506951,69,4,1028041,10691504,16506951,5815447,15478910,5815447,9663463,0,0
16617843,112,1,1099054,16096622,16617843,521221,15518789,521221,14997568,0,0
16999935,100,1,1095546,15410785,16999935,1589150,15904389,1589150,14315239,0,0
17339739,107,1,1095914,15536168,17339739,1803571,16243825,1803571,14440254,0,0
17637656,34,16,953266,5865857,17637656,11771799,16684390,11771799,4912591,0,0
17708586,114,8,1099265,17637656,17708586,70930,16609321,70930,16538391,0,0
17715487,102,1,1095698,15441856,17715487,2273631,16619789,2273631,14346158,0,0
17767647,116,8,1105595,17708586,17767647,59061,16662052,59061,16602991,0,0
17845223,117,8,1105635,17767647,17845223,77576,16739588,77576,16662012,0,0
17863319,105,1,1095787,15505205,17863319,2358114,16767532,2358114,14409418,0,0
17969018,97,1,1095394,15410785,17969018,2558233,16873624,2558233,14315391,0,0
18417040,80,4,1062187,13129045,18417040,5287995,17354853,5287995,12066858,0,0
18654210,106,1,1095885,15536168,18654210,3118042,17558325,3118042,14440283,0,0
18873514,46,4,991717,7779991,18873514,11093523,17881797,11093523,6788274,0,0
18947651,108,1,1098912,15765167,18947651,3182484,17848739,3182484,14666255,0,0
19557772,96,1,1095354,15410785,19557772,4146987,18462418,4146987,14315431,0,0
19991513,75,8,1042649,11389556,19991513,8601957,18948864,8601957,10346907,0,0
20355073,118,8,1105822,17845223,20355073,2509850,19249251,2509850,16739401,0,0
20498205,121,8,1114608,20355073,20498205,143132,19383597,143132,19240465,0,0
20521129,122,8,1115754,20498205,20521129,22924,19405375,22924,19382451,0,0
20542776,78,8,1062049,11389556,20542776,9153220,19480727,9153220,10327507,0,0
20549295,126,4,1149652,20542776,20549295,6519,19399643,6519,19393124,0,0
20552162,124,4,1119028,20498205,20552162,53957,19433134,53957,19379177,0,0
20565147,130,1,1158164,20549295,20565147,15852,19406983,15852,19391131,0,0
20565645,131,1,1158343,20549295,20565645,16350,19407302,16350,19390952,0,0
20654201,140,1,1161628,20565147,20654201,89054,19492573,89054,19403519,0,0
20698775,133,1,1161506,20549295,20698775,149480,19537269,149480,19387789,0,0
20717394,44,1,990526,7763869,20717394,12953525,19726868,12953525,6773343,0,0
20751948,128,8,1155403,20549295,20751948,202653,19596545,202653,19393892,0,0
20770678,141,4,1163262,20751948,20770678,18730,19607416,18730,19588686,0,0
20797869,26,8,930392,1089714,20797869,19708155,19867477,19708155,159322,0,0
20831494,151,1,1165398,20770678,20831494,60816,19666096,60816,19605280,0,0
20860944,142,1,1165251,20751948,20860944,108996,19695693,108996,19586697,0,0
20903047,159,1,1165542,20797869,20903047,105178,19737505,105178,19632327,0,0
20914681,156,1,1165490,20797869,20914681,116812,19749191,116812,19632379,0,0
20975660,119,8,1111825,18417040,20975660,2558620,19863835,2558620,17305215,0,0
21065611,137,1,1161592,20552162,21065611,513449,19904019,513449,19390570,0,0
21081978,135,1,1161554,20549295,21081978,532683,19920424,532683,19387741,0,0
21158016,160,1,1167323,20797869,21158016,360147,19990693,360147,19630546,0,0
21199510,127,1,1152816,20542776,21199510,656734,20046694,656734,19389960,0,0
21202302,129,1,1157802,20549295,21202302,653007,20044500,653007,19391493,0,0
21209693,138,1,1161607,20552162,21209693,657531,20048086,657531,19390555,0,0
21228648,165,1,1167735,20914681,21228648,313967,20060913,313967,19746946,0,0
21286307,168,1,1178118,20975660,21286307,310647,20108189,310647,19797542,0,0
