time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
336541,0,0,0,0,0,0,2,0
475911,0,0,0,0,0,0,3,0
476285,0,0,0,0,0,0,4,0
543390,0,0,0,0,0,0,5,0
600049,0,0,0,0,0,0,6,0
627951,0,0,0,0,0,0,7,0
671239,0,0,0,0,0,0,8,0
837589,0,0,0,0,0,0,9,0
837888,0,0,0,0,0,0,10,0
880076,0,0,0,0,0,0,11,0
880119,0,0,0,0,0,0,12,0
880145,0,0,0,0,0,0,13,0
880165,0,0,0,0,0,0,14,0
881304,0,0,0,0,0,0,15,0
884079,0,0,0,0,0,0,16,0
896743,0,0,0,0,0,0,17,0
906050,0,0,0,0,0,0,18,0
906242,0,0,0,0,0,0,19,0
906308,0,0,0,0,0,0,20,0
912363,0,0,0,0,0,0,21,0
912416,0,0,0,0,0,0,22,0
912464,0,0,0,0,0,0,23,0
926406,0,0,0,0,0,0,24,0
926450,0,0,0,0,0,0,24,0
926459,0,0,0,0,0,1,24,0
930392,0,0,0,0,0,1,23,0
930730,0,0,0,0,0,0,24,0
930880,0,0,0,0,0,0,24,0
931137,0,0,0,0,0,1,24,0
931258,0,0,0,0,0,1,23,1
931389,0,0,0,0,0,1,23,2
931720,0,0,0,0,0,0,24,2
938339,0,0,0,0,0,1,24,2
946857,0,0,0,0,0,1,24,2
952206,0,0,0,0,0,2,24,2
953266,0,0,0,0,0,3,24,2
953317,0,0,0,0,0,4,24,2
956090,0,0,0,0,0,4,24,2
961716,0,0,0,0,0,4,24,2
961993,0,0,0,0,0,4,24,2
963028,0,0,0,0,0,4,25,2
975592,0,0,0,0,0,3,25,3
981636,0,0,0,0,0,3,26,3
982125,0,0,0,0,0,3,27,3
985990,0,0,0,0,0,3,26,4
989813,0,0,0,0,0,4,26,4
990126,0,0,0,0,0,3,27,4
990526,0,0,0,0,0,3,28,4
991447,0,0,0,0,0,4,28,4
991717,0,0,0,0,0,5,28,4
993353,0,0,0,0,0,4,29,4
996568,0,0,0,0,0,4,30,4
999486,0,0,0,0,0,5,30,4
999520,0,0,0,0,0,3,32,4
999843,0,0,0,0,0,3,33,4
1000104,0,0,0,0,0,3,32,5
1000852,0,0,0,0,0,4,32,5
1002141,0,0,0,0,0,4,31,6
1003841,0,0,0,0,0,3,33,6
1004148,0,0,0,0,0,3,34,6
1004200,0,0,0,0,0,4,34,6
1005202,0,0,0,0,0,5,34,6
1005484,0,0,0,0,0,5,33,7
1006297,0,0,0,0,0,5,34,7
1007947,0,0,0,0,0,5,34,7
1008092,0,0,0,0,0,4,33,8
1009393,0,0,0,0,0,4,33,9
1012535,0,0,0,0,0,4,32,10
1013092,0,0,0,0,0,5,32,10
1014256,0,0,0,0,0,4,32,11
1020508,0,0,0,0,0,5,32,11
1022485,0,0,0,0,0,6,32,11
1022592,0,0,0,0,0,5,32,12
1022622,0,0,0,0,0,6,32,12
1022908,0,0,0,0,0,6,33,12
1023510,0,0,0,0,0,6,33,12
1023955,0,0,0,0,0,6,33,12
1024189,0,0,0,0,0,7,33,12
1025289,0,0,0,0,0,7,33,13
1025721,0,0,0,0,0,8,33,13
1025799,0,0,0,0,0,9,33,13
1028041,0,0,0,0,0,9,33,13
1028741,0,0,0,0,0,9,33,13
1029550,0,0,0,0,0,10,33,13
1030698,0,0,0,0,0,9,34,13
1033426,0,0,0,0,0,10,34,13
1039575,0,0,0,0,0,10,33,14
1041491,0,0,0,0,0,10,33,14
1042649,0,0,0,0,0,11,33,14
1044629,0,0,0,0,0,11,33,15
1051316,0,0,0,0,0,10,33,16
1057540,0,0,0,0,0,10,33,17
1058834,0,0,0,0,0,10,34,17
1061017,0,0,0,0,0,10,34,17
1062049,0,0,0,0,0,11,34,17
1062109,0,0,0,0,0,12,34,17
1062187,0,0,0,0,0,12,34,17
1064146,0,0,0,0,0,12,34,17
1064215,0,0,0,0,0,12,36,17
1065511,0,0,0,0,0,11,36,18
1068634,0,0,0,0,0,12,36,18
1071580,0,0,0,0,0,13,36,18
1078287,0,0,0,0,0,14,36,18
1078349,0,0,0,0,0,13,37,18
1078499,0,0,0,0,0,13,37,18
1078520,0,0,0,0,0,13,36,18
1078558,0,0,0,0,0,13,36,18
1081252,0,0,0,0,0,14,36,18
1083560,0,0,0,0,0,14,36,18
1086977,0,0,0,0,0,14,36,19
1087027,0,0,0,0,0,14,36,19
1088222,0,0,0,0,0,15,36,19
1088798,0,0,0,0,0,14,40,20
1092167,0,0,0,0,0,15,40,20
1093901,0,0,0,0,0,15,40,20
1095354,0,0,0,0,0,15,40,20
1095394,0,0,0,0,0,15,40,20
1095479,0,0,0,0,0,15,40,20
1095513,0,0,0,0,0,16,40,20
1095546,0,0,0,0,0,15,43,20
1095578,0,0,0,0,0,15,43,20
1095698,0,0,0,0,0,15,43,20
1095725,0,0,0,0,0,16,43,20
1095751,0,0,0,0,0,16,43,20
1095787,0,0,0,0,0,16,43,20
1095885,0,0,0,0,0,16,43,20
1095914,0,0,0,0,0,15,50,20
1098912,0,0,0,0,0,15,50,20
1098951,0,0,0,0,0,15,50,20
1098983,0,0,0,0,0,15,50,20
1099017,0,0,0,0,0,15,50,20
1099054,0,0,0,0,0,15,50,20
1099104,0,0,0,0,0,16,50,20
1099265,0,0,0,0,0,17,50,20
1101445,0,0,0,0,0,18,50,20
1105595,0,0,0,0,0,19,50,20
1105635,0,0,0,0,0,20,50,20
1105822,0,0,0,0,0,21,50,20
1111825,0,0,0,0,0,22,50,20
1114093,0,0,0,0,0,23,50,20
1114608,0,0,0,0,0,24,50,20
1114631,0,0,0,0,0,24,50,21
1115754,0,0,0,0,0,25,50,21
1116292,0,0,0,0,0,24,50,22
1118114,0,0,0,0,0,25,50,22
1119028,0,0,0,0,0,26,50,22
1129450,0,0,0,0,0,26,50,23
1133603,0,0,0,0,0,27,50,23
1139216,0,0,0,0,0,25,54,24
1142859,0,0,0,0,0,25,54,25
1149652,0,0,0,0,0,25,54,25
1150477,0,0,0,0,0,24,54,26
1152816,0,0,0,0,0,24,54,26
1155403,0,0,0,0,0,25,54,26
1156171,0,0,0,0,0,25,54,27
1157802,0,0,0,0,0,25,54,27
1158164,0,0,0,0,0,25,57,27
1158343,0,0,0,0,0,25,57,27
1161486,0,0,0,0,0,25,57,27
1161506,0,0,0,0,0,25,57,27
1161521,0,0,0,0,0,26,57,27
1161554,0,0,0,0,0,26,57,27
1161574,0,0,0,0,0,26,57,27
1161592,0,0,0,0,0,26,57,27
1161607,0,0,0,0,0,26,57,27
1161611,0,0,0,0,0,27,57,27
1161628,0,0,0,0,0,27,57,27
1163262,0,0,0,0,0,28,57,27
1165251,0,0,0,0,0,27,61,27
1165268,0,0,0,0,0,27,61,27
1165288,0,0,0,0,0,27,61,27
1165303,0,0,0,0,0,28,61,27
1165316,0,0,0,0,0,28,61,27
1165329,0,0,0,0,0,28,61,27
1165345,0,0,0,0,0,28,61,27
1165363,0,0,0,0,0,29,61,27
1165380,0,0,0,0,0,30,61,27
1165398,0,0,0,0,0,30,61,27
1165414,0,0,0,0,0,28,62,27
1165433,0,0,0,0,0,28,62,27
1165455,0,0,0,0,0,28,62,27
1165474,0,0,0,0,0,29,62,27
1165490,0,0,0,0,0,29,62,27
1165508,0,0,0,0,0,29,62,27
1165528,0,0,0,0,0,30,62,27
1165542,0,0,0,0,0,30,62,27
1167323,0,0,0,0,0,30,62,27
1167678,0,0,0,0,0,30,62,27
1167697,0,0,0,0,0,30,62,27
1167711,0,0,0,0,0,31,62,27
1167724,0,0,0,0,0,31,62,27
1167735,0,0,0,0,0,31,62,27
1167748,0,0,0,0,0,32,62,27
1167770,0,0,0,0,0,33,62,27
1174016,0,0,0,0,0,33,62,28
1174693,0,0,0,0,0,33,62,29
1178118,0,0,0,0,0,33,62,29
1181272,0,0,0,0,0,34,62,29
1183981,0,0,0,0,0,33,65,30
1183985,0,0,0,0,0,33,65,31
1185991,0,0,0,0,0,33,65,32
1193173,0,0,0,0,0,31,68,33
1194187,0,0,0,0,0,32,68,33
1194668,0,0,0,0,0,33,68,33
1195817,0,0,0,0,0,34,68,33
1203924,0,0,0,0,0,34,68,34
1206025,0,0,0,0,0,33,68,35
1207706,0,0,0,0,0,34,68,35
1208064,0,0,0,0,0,33,68,36
1209590,0,0,0,0,0,32,68,37
1223535,0,0,0,0,0,33,68,37
1223683,0,0,0,0,0,32,68,38
1224475,0,0,0,0,0,31,68,39
1226214,0,0,0,0,0,31,68,40
1233608,0,0,0,0,0,31,68,40
1233879,0,0,0,0,0,31,71,40
1234963,0,0,0,0,0,31,71,40
1236344,0,0,0,0,0,30,71,41
1237023,0,0,0,0,0,30,67,42
1237035,0,0,0,0,0,30,67,43
1238400,0,0,0,0,0,31,67,43
1240489,0,0,0,0,0,32,67,43
1241289,0,0,0,0,0,33,67,43
1241695,0,0,0,0,0,34,67,43
1244100,0,0,0,0,0,34,67,43
1245265,0,0,0,0,0,33,68,43
1245289,0,0,0,0,0,33,68,43
1245296,0,0,0,0,0,34,68,43
1245315,0,0,0,0,0,34,68,43
1245511,0,0,0,0,0,34,68,43
1245523,0,0,0,0,0,35,68,43
1245524,0,0,0,0,0,35,68,43
1245696,0,0,0,0,0,35,68,43
1248859,0,0,0,0,0,35,71,44
1250682,0,0,0,0,0,35,71,45
1251322,0,0,0,0,0,35,71,45
1251444,0,0,0,0,0,36,71,45
1251720,0,0,0,0,0,37,71,45
1251798,0,0,0,0,0,38,71,45
1251897,0,0,0,0,0,39,71,45
1252001,0,0,0,0,0,38,71,46
1252909,0,0,0,0,0,38,71,46
1253665,0,0,0,0,0,39,71,46
1254374,0,0,0,0,0,39,71,46
1255259,0,0,0,0,0,40,71,46
1255294,0,0,0,0,0,41,71,46
1255314,0,0,0,0,0,42,71,46
1255332,0,0,0,0,0,43,71,46
1255347,0,0,0,0,0,44,71,46
1259800,0,0,0,0,0,43,71,47
1261278,0,0,0,0,0,43,71,47
1262028,0,0,0,0,0,44,71,47
1262609,0,0,0,0,0,45,71,47
1267059,0,0,0,0,0,45,71,48
1268369,0,0,0,0,0,44,71,49
1270720,0,0,0,0,0,44,71,50
1271714,0,0,0,0,0,45,71,50
1272262,0,0,0,0,0,46,71,50
1273245,0,0,0,0,0,47,71,50
1273276,0,0,0,0,0,48,71,50
1273759,0,0,0,0,0,47,71,51
1274247,0,0,0,0,0,47,71,52
1275147,0,0,0,0,0,47,71,53
1275933,0,0,0,0,0,48,71,53
1277547,0,0,0,0,0,49,71,53
1278989,0,0,0,0,0,50,71,53
1279070,0,0,0,0,0,51,71,53
1280138,0,0,0,0,0,51,71,53
1282302,0,0,0,0,0,51,71,54
1283033,0,0,0,0,0,52,71,54
1284564,0,0,0,0,0,53,71,54
1284590,0,0,0,0,0,54,71,54
1284627,0,0,0,0,0,55,71,54
1284690,0,0,0,0,0,56,71,54
1284714,0,0,0,0,0,57,71,54
1284745,0,0,0,0,0,58,71,54
1286547,0,0,0,0,0,57,71,55
1293192,0,0,0,0,0,58,71,55
1294010,0,0,0,0,0,56,72,56
1294887,0,0,0,0,0,56,72,57
1297699,0,0,0,0,0,57,72,57
1297984,0,0,0,0,0,57,73,58
1300071,0,0,0,0,0,58,73,58
1301259,0,0,0,0,0,57,73,59
1310986,0,0,0,0,0,57,73,60
1312082,0,0,0,0,0,58,73,60
1322871,0,0,0,0,0,58,72,60
1326576,0,0,0,0,0,59,72,60
1336414,0,0,0,0,0,60,72,60
1337525,0,0,0,0,0,60,75,61
1339183,0,0,0,0,0,61,75,61
1350010,0,0,0,0,0,62,75,61
1351301,0,0,0,0,0,62,75,62
1355804,0,0,0,0,0,63,75,62
1357023,0,0,0,0,0,64,75,62
1359082,0,0,0,0,0,64,75,62
1360448,0,0,0,0,0,62,72,63
1361293,0,0,0,0,0,61,72,64
1363504,0,0,0,0,0,60,71,65
1365390,0,0,0,0,0,60,71,65
1367607,0,0,0,0,0,59,78,66
1368361,0,0,0,0,0,60,78,66
1368374,0,0,0,0,0,61,78,66
1369754,0,0,0,0,0,61,75,66
1370008,0,0,0,0,0,62,75,66
1371390,0,0,0,0,0,63,75,66
1371422,0,0,0,0,0,63,72,66
1372983,0,0,0,0,0,64,72,66
1372999,0,0,0,0,0,64,72,66
1373136,0,0,0,0,0,65,72,66
1373383,0,0,0,0,0,64,72,67
1373901,0,0,0,0,0,65,72,67
1376722,0,0,0,0,0,65,72,68
1378443,0,0,0,0,0,66,72,68
1378546,0,0,0,0,0,67,72,68
1384680,0,0,0,0,0,68,72,68
