time,max,99th,95th,med
0,7,7,7,7
336541,49.2,49.2,49.2,49.2
475911,49.2,49.2,49.2,49.2
476285,49.2,49.2,49.2,49.2
543390,49.2,49.2,49.2,49.2
600049,49.2,49.2,49.2,49.2
627951,49.2,49.2,49.2,49.2
671239,49.2,49.2,49.2,49.2
837589,49.2,49.2,49.2,49.2
837888,49.2,49.2,49.2,49.2
880076,49.2,49.2,49.2,49.2
880119,49.2,49.2,49.2,49.2
880145,49.2,49.2,49.2,49.2
880165,49.2,49.2,49.2,49.2
881304,49.2,49.2,49.2,49.2
884079,49.2,49.2,49.2,49.2
896743,49.2,49.2,49.2,49.2
906050,49.2,49.2,49.2,49.2
906242,49.2,49.2,49.2,49.2
906308,49.2,49.2,49.2,49.2
912363,49.2,49.2,49.2,49.2
912416,49.2,49.2,49.2,49.2
912464,49.2,49.2,49.2,49.2
926406,52.4,52.4,52.4,49.2
926450,52.4,52.4,52.4,49.2
926459,52.4,52.4,52.4,49.2
930392,52.4,52.4,52.4,49.2
930730,52.4,52.4,52.4,49.2
930880,52.4,52.4,52.4,49.2
931137,52.4,52.4,52.4,49.2
931258,52.4,52.4,52.4,49.2
931389,52.4,52.4,52.4,49.2
931720,52.4,52.4,52.4,49.2
938339,52.4,52.4,52.4,49.2
946857,52.4,52.4,52.4,49.2
952206,52.4,52.4,52.4,49.2
953266,52.4,52.4,52.4,49.2
953317,52.4,52.4,52.4,49.2
956090,52.4,52.4,52.4,49.2
961716,52.4,52.4,52.4,49.2
961993,52.4,52.4,52.4,49.2
963028,52.4,52.4,52.4,49.2
975592,52.4,52.4,52.4,49.2
981636,52.4,52.4,52.4,49.2
982125,52.4,52.4,52.4,49.2
985990,52.4,52.4,52.4,49.2
989813,52.4,52.4,52.4,49.2
990126,52.4,52.4,52.4,49.2
990526,52.4,52.4,52.4,49.2
991447,52.4,52.4,52.4,49.2
991717,52.4,52.4,52.4,49.2
993353,52.4,52.4,52.4,49.2
996568,52.4,52.4,52.4,49.2
999486,52.4,52.4,52.4,49.2
999520,52.4,52.4,52.4,49.2
999843,52.4,52.4,52.4,49.2
1000104,52.4,52.4,52.4,49.2
1000852,52.4,52.4,52.4,49.2
1002141,52.4,52.4,52.4,49.2
1003841,52.4,52.4,52.4,49.2
1004148,52.4,52.4,52.4,49.2
1004200,52.4,52.4,52.4,49.2
1005202,52.4,52.4,52.4,49.2
1005484,52.4,52.4,52.4,49.2
1006297,52.4,52.4,52.4,49.2
1007947,52.4,52.4,52.4,49.2
1008092,52.4,52.4,52.4,49.2
1009393,52.4,52.4,52.4,49.2
1012535,52.4,52.4,52.4,49.2
1013092,52.4,52.4,52.4,49.2
1014256,52.4,52.4,52.4,49.2
1020508,52.4,52.4,52.4,49.2
1022485,52.4,52.4,52.4,49.2
1022592,52.4,52.4,52.4,49.2
1022622,52.4,52.4,52.4,49.2
1022908,52.4,52.4,52.4,49.2
1023510,52.4,52.4,52.4,49.2
1023955,52.4,52.4,52.4,49.2
1024189,52.4,52.4,52.4,49.2
1025289,52.4,52.4,52.4,49.2
1025721,52.4,52.4,52.4,49.2
1025799,52.4,52.4,52.4,49.2
1028041,52.4,52.4,52.4,49.2
1028741,52.4,52.4,52.4,49.2
1029550,52.4,52.4,52.4,49.2
1030698,52.4,52.4,52.4,49.2
1033426,52.4,52.4,52.4,49.2
1039575,52.4,52.4,52.4,49.2
1041491,52.4,52.4,52.4,49.2
1042649,52.4,52.4,52.4,49.2
1044629,52.4,52.4,52.4,49.2
1051316,52.4,52.4,52.4,49.2
1057540,52.4,52.4,52.4,49.2
1058834,52.4,52.4,52.4,49.2
1061017,52.4,52.4,52.4,49.2
1062049,52.4,52.4,52.4,49.2
1062109,52.4,52.4,52.4,49.2
1062187,52.4,52.4,52.4,49.2
1064146,52.4,52.4,52.4,49.2
1064215,52.4,52.4,52.4,49.2
1065511,52.4,52.4,52.4,49.2
1068634,52.4,52.4,52.4,49.2
1071580,52.4,52.4,52.4,49.2
1078287,52.4,52.4,52.4,49.2
1078349,52.4,52.4,52.4,49.2
1078499,52.4,52.4,52.4,49.2
1078520,52.4,52.4,52.4,49.2
1078558,52.4,52.4,52.4,49.2
1081252,52.4,52.4,52.4,49.2
1083560,52.4,52.4,52.4,49.2
1086977,52.4,52.4,52.4,49.2
1087027,52.4,52.4,52.4,49.2
1088222,52.4,52.4,52.4,49.2
1088798,52.4,52.4,52.4,49.2
1092167,52.4,52.4,52.4,49.2
1093901,52.4,52.4,52.4,49.2
1095354,52.4,52.4,52.4,49.2
1095394,52.4,52.4,52.4,49.2
1095479,52.4,52.4,52.4,49.2
1095513,52.4,52.4,52.4,49.2
1095546,52.4,52.4,52.4,49.2
1095578,52.4,52.4,52.4,49.2
1095698,52.4,52.4,52.4,49.2
1095725,52.4,52.4,52.4,49.2
1095751,52.4,52.4,52.4,49.2
1095787,52.4,52.4,52.4,49.2
1095885,52.4,52.4,52.4,49.2
1095914,52.4,52.4,52.4,22.0
1098912,52.4,52.4,52.4,22.0
1098951,52.4,52.4,52.4,22.0
1098983,52.4,52.4,52.4,22.0
1099017,52.4,52.4,52.4,22.0
1099054,52.4,52.4,52.4,22.0
1099104,52.4,52.4,52.4,22.0
1099265,52.4,52.4,52.4,22.0
1101445,52.4,52.4,52.4,22.0
1105595,52.4,52.4,52.4,22.0
1105635,52.4,52.4,52.4,22.0
1105822,52.4,52.4,52.4,22.0
1111825,52.4,52.4,52.4,22.0
1114093,52.4,52.4,52.4,22.0
1114608,52.4,52.4,52.4,22.0
1114631,52.4,52.4,52.4,22.0
1115754,52.4,52.4,52.4,22.0
1116292,52.4,52.4,52.4,22.0
1118114,52.4,52.4,52.4,22.0
1119028,52.4,52.4,52.4,22.0
1129450,52.4,52.4,52.4,22.0
1133603,52.4,52.4,52.4,22.0
1139216,52.4,52.4,52.4,22.0
1142859,52.4,52.4,52.4,22.0
1149652,52.4,52.4,52.4,22.0
1150477,52.4,52.4,52.4,22.0
1152816,52.4,52.4,52.4,22.0
1155403,52.4,52.4,52.4,22.0
1156171,52.4,52.4,52.4,22.0
1157802,52.4,52.4,52.4,22.0
1158164,52.4,52.4,52.4,22.0
1158343,52.4,52.4,52.4,22.0
1161486,52.4,52.4,52.4,22.0
1161506,52.4,52.4,52.4,22.0
1161521,52.4,52.4,52.4,22.0
1161554,52.4,52.4,52.4,22.0
1161574,52.4,52.4,52.4,22.0
1161592,52.4,52.4,52.4,22.0
1161607,52.4,52.4,52.4,22.0
1161611,52.4,52.4,52.4,22.0
1161628,52.4,52.4,52.4,22.0
1163262,52.4,52.4,52.4,22.0
1165251,52.4,52.4,52.4,22.0
1165268,52.4,52.4,52.4,22.0
1165288,52.4,52.4,52.4,22.0
1165303,52.4,52.4,52.4,22.0
1165316,52.4,52.4,52.4,22.0
1165329,52.4,52.4,52.4,22.0
1165345,52.4,52.4,52.4,22.0
1165363,52.4,52.4,52.4,22.0
1165380,52.4,52.4,52.4,22.0
1165398,52.4,52.4,52.4,22.0
1165414,49.2,49.2,49.2,22.0
1165433,49.2,49.2,49.2,22.0
1165455,49.2,49.2,49.2,22.0
1165474,49.2,49.2,49.2,22.0
1165490,49.2,49.2,49.2,22.0
1165508,49.2,49.2,49.2,22.0
1165528,49.2,49.2,49.2,22.0
1165542,49.2,49.2,49.2,22.0
1167323,49.2,49.2,49.2,22.0
1167678,49.2,49.2,49.2,22.0
1167697,49.2,49.2,49.2,22.0
1167711,49.2,49.2,49.2,22.0
1167724,49.2,49.2,49.2,22.0
1167735,49.2,49.2,49.2,22.0
1167748,49.2,49.2,49.2,22.0
1167770,49.2,49.2,49.2,22.0
1174016,49.2,49.2,49.2,22.0
1174693,49.2,49.2,49.2,22.0
1178118,49.2,49.2,49.2,22.0
1181272,49.2,49.2,49.2,22.0
1183981,49.2,49.2,49.2,22.0
1183985,49.2,49.2,49.2,22.0
1185991,49.2,49.2,49.2,22.0
1193173,49.2,49.2,49.2,22.0
1194187,49.2,49.2,49.2,22.0
1194668,49.2,49.2,49.2,22.0
1195817,49.2,49.2,49.2,22.0
1203924,49.2,49.2,49.2,22.0
1206025,49.2,49.2,49.2,22.0
1207706,49.2,49.2,49.2,22.0
1208064,49.2,49.2,49.2,22.0
1209590,49.2,49.2,49.2,22.0
1223535,49.2,49.2,49.2,22.0
1223683,49.2,49.2,49.2,22.0
1224475,49.2,49.2,49.2,22.0
1226214,49.2,49.2,49.2,22.0
1233608,49.2,49.2,49.2,22.0
1233879,49.2,49.2,49.2,22.0
1234963,49.2,49.2,49.2,22.0
1236344,49.2,49.2,49.2,22.0
1237023,49.2,49.2,49.2,22.0
1237035,49.2,49.2,49.2,22.0
1238400,49.2,49.2,49.2,22.0
1240489,49.2,49.2,49.2,22.0
1241289,49.2,49.2,49.2,22.0
1241695,49.2,49.2,49.2,22.0
1244100,49.2,49.2,49.2,22.0
1245265,49.2,49.2,49.2,22.0
1245289,49.2,49.2,49.2,22.0
1245296,49.2,49.2,49.2,22.0
1245315,49.2,49.2,49.2,22.0
1245511,49.2,49.2,49.2,22.0
1245523,49.2,49.2,49.2,22.0
1245524,49.2,49.2,49.2,22.0
1245696,49.2,49.2,49.2,22.0
1248859,49.2,49.2,49.2,22.0
1250682,49.2,49.2,49.2,22.0
1251322,49.2,49.2,49.2,22.0
1251444,49.2,49.2,49.2,22.0
1251720,49.2,49.2,49.2,22.0
1251798,49.2,49.2,49.2,22.0
1251897,49.2,49.2,49.2,22.0
1252001,49.2,49.2,49.2,22.0
1252909,49.2,49.2,49.2,22.0
1253665,49.2,49.2,49.2,22.0
1254374,49.2,49.2,49.2,22.0
1255259,49.2,49.2,49.2,22.0
1255294,49.2,49.2,49.2,22.0
1255314,49.2,49.2,49.2,22.0
1255332,49.2,49.2,49.2,22.0
1255347,49.2,49.2,49.2,22.0
1259800,49.2,49.2,49.2,22.0
1261278,49.2,49.2,49.2,22.0
1262028,49.2,49.2,49.2,22.0
1262609,49.2,49.2,49.2,22.0
1267059,49.2,49.2,49.2,22.0
1268369,49.2,49.2,49.2,22.0
1270720,49.2,49.2,49.2,22.0
1271714,49.2,49.2,49.2,22.0
1272262,49.2,49.2,49.2,22.0
1273245,49.2,49.2,49.2,22.0
1273276,49.2,49.2,49.2,22.0
1273759,49.2,49.2,49.2,22.0
1274247,49.2,49.2,49.2,22.0
1275147,49.2,49.2,49.2,22.0
1275933,49.2,49.2,49.2,22.0
1277547,49.2,49.2,49.2,22.0
1278989,49.2,49.2,49.2,22.0
1279070,49.2,49.2,49.2,22.0
1280138,49.2,49.2,49.2,22.0
1282302,49.2,49.2,49.2,22.0
