time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
931258,21,4,912416,912416,931258,18842,18842,18842,0,0,0
931389,24,16,926450,926450,931389,4939,4939,4939,0,0,0
976589,25,16,926459,931389,976589,45200,50130,45200,4930,0,0
985990,41,1,982125,982125,985990,3865,3865,3865,0,0,0
1000104,39,4,963028,963028,1000104,37076,37076,37076,0,0,0
1002141,47,1,993353,993353,1002141,8788,8788,8788,0,0,0
1005484,53,1,1003841,1003841,1005484,1643,1643,1643,0,0,0
1009393,58,1,1007947,1007947,1009393,1446,1446,1446,0,0,0
1011366,55,8,1004200,1005202,1011366,6164,7166,6164,1002,0,0
1012535,57,1,1006297,1006297,1012535,6238,6238,6238,0,0,0
1018070,42,4,989813,1000104,1018070,17966,28257,17966,10291,0,0
1025734,64,4,1023510,1023955,1025734,1779,2224,1779,445,0,0
1027220,49,4,999486,1004148,1027220,23072,27734,23072,4662,0,0
1039575,18,1,906242,906242,1039575,133333,133333,133333,0,0,0
1044629,63,1,1022908,1022908,1044629,21721,21721,21721,0,0,0
1051316,32,8,946857,946857,1051316,104459,104459,104459,0,0,0
1057446,73,8,1033426,1033426,1057446,24020,24020,24020,0,0,0
1057540,22,4,912464,912464,1057540,145076,145076,145076,0,0,0
1086977,86,1,1078349,1078349,1086977,8628,8628,8628,0,0,0
1113168,30,8,931720,956090,1113168,157078,181448,157078,24370,0,0
1114631,91,1,1083560,1083560,1114631,31071,31071,31071,0,0,0
1116292,1,8,336541,336541,1116292,779751,779751,779751,0,0,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1133144,83,4,1068634,1068634,1133144,64510,64510,64510,0,0,0
1139216,122,8,1115754,1116292,1139216,22924,23462,22924,538,0,0
1150477,54,1,1004148,1004148,1150477,146329,146329,146329,0,0,0
1160074,62,16,1022622,1057540,1160074,102534,137452,102534,34918,0,0
1166593,126,4,1149652,1160074,1166593,6519,16941,6519,10422,0,0
1172229,116,8,1105595,1113168,1172229,59061,66634,59061,7573,0,0
1174016,130,1,1158164,1158164,1174016,15852,15852,15852,0,0,0
1174693,131,1,1158343,1158343,1174693,16350,16350,16350,0,0,0
1181992,141,4,1163262,1163262,1181992,18730,18730,18730,0,0,0
1183985,95,1,1093901,1093901,1183985,90084,90084,90084,0,0,0
1185991,111,1,1099017,1099017,1185991,86974,86974,86974,0,0,0
1187101,124,4,1119028,1133144,1187101,53957,68073,53957,14116,0,0
1198101,66,8,1024189,1025734,1198101,172367,173912,172367,1545,0,0
1203924,76,1,1058834,1058834,1203924,145090,145090,145090,0,0,0
1206025,70,4,1028741,1028741,1206025,177284,177284,177284,0,0,0
1206916,71,4,1029550,1029550,1206916,177366,177366,177366,0,0,0
1210146,114,8,1099265,1139216,1210146,70930,110881,70930,39951,0,0
1223612,43,4,990126,1004148,1223612,219464,233486,219464,14022,0,0
1226214,151,1,1165398,1165398,1226214,60816,60816,60816,0,0,0
1229099,170,4,1194187,1198101,1229099,30998,34912,30998,3914,0,0
1237035,177,1,1234963,1234963,1237035,2072,2072,2072,0,0,0
1237650,117,8,1105635,1160074,1237650,77576,132015,77576,54439,0,0
1238896,171,4,1194668,1198101,1238896,40795,44228,40795,3433,0,0
1250682,140,1,1161628,1161628,1250682,89054,89054,89054,0,0,0
1252001,20,4,912363,912363,1252001,339638,339638,339638,0,0,0
1256230,181,4,1241695,1241695,1256230,14535,14535,14535,0,0,0
1267059,89,1,1078558,1078558,1267059,188501,188501,188501,0,0,0
