time,max,99th,95th,med
0,7.0,7.0,7.0,7.0
219316,12.0,12.0,12.0,12.0
251674,17.0,17.0,17.0,17.0
251699,22.0,22.0,22.0,22.0
256418,27.0,27.0,27.0,27.0
256458,27.0,7.0,7.0,27.0
256459,27.0,12.0,12.0,27.0
258863,27.0,17.0,17.0,27.0
258886,27.0,22.0,22.0,27.0
258888,42.0,12.0,12.0,42.0
259585,42.0,17.0,17.0,42.0
259600,42.0,22.0,22.0,42.0
259609,42.0,27.0,27.0,42.0
262503,42.0,27.0,27.0,27.0
262517,42.0,27.0,27.0,27.0
262523,42.0,27.0,27.0,27.0
268877,42.0,27.0,27.0,27.0
273432,42.0,27.0,27.0,27.0
274530,42.0,27.0,27.0,27.0
276110,42.0,27.0,27.0,22.0
287957,32.0,27.0,27.0,27.0
291767,27.0,27.0,27.0,27.0
308826,32.0,27.0,27.0,27.0
309095,27.0,27.0,27.0,27.0
310067,42.0,27.0,27.0,27.0
310087,42.0,27.0,27.0,27.0
314735,27.0,27.0,27.0,27.0
322266,42.0,27.0,27.0,27.0
323621,42.0,27.0,27.0,27.0
328412,42.0,27.0,27.0,27.0
328414,42.0,27.0,27.0,27.0
340950,42.0,27.0,27.0,27.0
365624,42.0,27.0,27.0,27.0
368092,42.0,27.0,27.0,27.0
370895,42.0,27.0,27.0,22.0
378921,42.0,27.0,27.0,17.0
381592,42.0,27.0,27.0,12.0
396126,42.0,27.0,27.0,17.0
409806,42.0,27.0,27.0,22.0
409827,42.0,27.0,27.0,27.0
420889,42.0,27.0,27.0,27.0
423645,37.0,27.0,27.0,27.0
427463,32.0,27.0,27.0,27.0
434937,27.0,27.0,27.0,27.0
435612,27.0,27.0,27.0,27.0
438136,27.0,27.0,27.0,27.0
445554,27.0,27.0,27.0,22.0
461937,27.0,27.0,27.0,22.0
499454,27.0,27.0,27.0,22.0
507107,42.0,27.0,27.0,12.0
519236,42.0,27.0,27.0,12.0
526225,27.0,27.0,27.0,27.0
552756,27.0,27.0,27.0,27.0
559930,27.0,27.0,27.0,27.0
571052,37.0,27.0,27.0,27.0
580807,37.0,27.0,27.0,27.0
587485,37.0,27.0,27.0,17.0
595709,27.0,27.0,27.0,22.0
611761,42.0,27.0,27.0,17.0
667980,27.0,27.0,27.0,22.0
667990,27.0,27.0,27.0,22.0
681498,42.0,27.0,27.0,17.0
693194,42.0,27.0,27.0,17.0
693196,27.0,27.0,27.0,27.0
714019,27.0,27.0,27.0,27.0
768308,42.0,27.0,27.0,17.0
785065,42.0,27.0,27.0,17.0
898683,27.0,27.0,27.0,22.0
977077,42.0,27.0,27.0,17.0
996104,42.0,27.0,27.0,17.0
1015055,27.0,27.0,27.0,22.0
1029525,27.0,27.0,27.0,17.0
1057527,27.0,27.0,27.0,17.0
1070705,27.0,27.0,27.0,22.0
1070742,27.0,27.0,27.0,22.0
1070743,42.0,32.0,32.0,17.0
1078190,27.0,27.0,27.0,22.0
1085610,27.0,27.0,27.0,27.0
1088036,42.0,27.0,27.0,22.0
1088037,42.0,27.0,27.0,22.0
1089801,27.0,27.0,27.0,22.0
1090064,42.0,27.0,27.0,17.0
1090067,42.0,27.0,27.0,17.0
1090799,27.0,27.0,27.0,22.0
1091516,42.0,27.0,27.0,17.0
1094822,27.0,27.0,27.0,22.0
1099193,27.0,27.0,27.0,22.0
1099261,27.0,27.0,27.0,22.0
1108307,27.0,27.0,27.0,22.0
1122029,27.0,27.0,27.0,17.0
1122645,27.0,27.0,27.0,17.0
1125316,27.0,27.0,27.0,22.0
1146205,27.0,27.0,27.0,17.0
1148546,27.0,27.0,27.0,22.0
1148547,27.0,27.0,27.0,22.0
1151950,27.0,27.0,27.0,27.0
1163074,27.0,27.0,27.0,22.0
1173713,27.0,27.0,27.0,22.0
1176018,27.0,27.0,27.0,17.0
1179128,27.0,27.0,27.0,17.0
1181518,27.0,27.0,27.0,17.0
1184080,42.0,27.0,27.0,17.0
1184261,27.0,27.0,27.0,17.0
1184265,27.0,27.0,27.0,17.0
1186580,27.0,27.0,27.0,17.0
1196785,42.0,27.0,27.0,17.0
1196788,42.0,27.0,27.0,17.0
1214088,42.0,27.0,27.0,17.0
1221987,42.0,27.0,27.0,17.0
