job_id,model_name,duration,submit_time,num_gpu,,,
0,b,95121,0,1,,,a
1,a,10000,6,1,,,b
2,c,27788,6,1,,,c
3,b,1104675,6,1,,,d
4,b,47442,10,1,,,e
5,c,2388099,11,1,,,f
6,e,2799809,12,1,,,
7,d,96431,14,1,,,
8,a,71711,17,1,,,
9,a,214573,18,1,,,
10,d,2788612,21,1,,,
11,e,138497,22,1,,,
12,c,1197774,25,1,,,
13,e,164354,26,1,,,
14,e,2403295,29,1,,,
15,a,282992,30,1,,,
16,a,926043,44477,1,,,
17,e,1225706,44477,1,,,
18,c,43515,44488,1,,,
19,f,1871555,44488,1,,,
20,b,3165582,44497,1,,,
21,c,354879,44498,1,,,
22,c,205417,44500,1,,,
23,d,1058998,44500,1,,,
24,d,6426,44506,1,,,
25,a,354579,44507,1,,,
26,b,2690105,44508,1,,,
27,e,161278,44508,1,,,
28,f,173390,224994,1,,,
29,e,2187333,224997,1,,,
30,f,8160,224999,1,,,
31,c,3533495,225000,1,,,
32,a,2488,225010,1,,,
33,b,104567,225012,1,,,
34,a,915833,225015,1,,,
35,c,1129705,225016,1,,,
36,a,10288513,291278,4,,,
37,f,2411821,291287,4,,,
38,f,330086,291295,4,,,
39,c,3349075,291300,4,,,
40,b,9294745,291309,4,,,
41,f,74483,291313,4,,,
42,f,2239303,291315,4,,,
43,d,29809229,291317,4,,,
44,e,35167161,343915,4,,,
45,a,1934260,343918,4,,,
46,c,45344643,343923,4,,,
47,d,669539,343925,4,,,
48,b,12331341,343968,4,,,
49,c,1075842,343982,4,,,
50,f,20595407,343996,4,,,
51,b,15386853,343999,4,,,
52,e,9046555,510176,4,,,
53,c,92915,510191,4,,,
54,e,731668,510211,4,,,
55,e,80100,632320,4,,,
56,e,689277,632320,4,,,
57,e,64520,632336,4,,,
58,f,55260,632338,4,,,
59,f,2016359,719719,2,,,
60,d,1163489,719728,2,,,
61,a,4338676,719742,2,,,
62,e,329010,719748,2,,,
63,d,144288,719754,2,,,
64,b,307293,719767,2,,,
65,c,330045,719816,2,,,
66,f,345135,719849,2,,,
67,b,27316089,769021,2,,,
68,b,5543106,769058,2,,,
69,c,40079335,769060,2,,,
70,d,3049368,769060,2,,,
71,a,3049319,769074,2,,,
72,d,2748946,769093,2,,,
73,d,9494037,769100,2,,,
74,d,2688813,769106,2,,,
75,b,37166405,769128,2,,,
76,e,1085508,810492,4,,,
77,b,8687549,810498,4,,,
78,a,8717369,810513,4,,,
79,f,1912884,810521,4,,,
80,d,21473827,810528,4,,,
81,c,25724720,810542,4,,,
82,f,4235980,810548,4,,,
83,a,1344014,810564,4,,,
84,d,18091594,810573,4,,,
85,f,2210569,810588,4,,,
86,f,56461,810604,4,,,
87,e,4486215,810619,4,,,
88,f,12980336,810624,4,,,
89,d,1231559,810916,4,,,
90,b,10509017,810916,4,,,
91,d,1409109,810994,4,,,
92,b,668015,810997,4,,,
93,f,4856485,960932,2,,,
94,c,10943195,960936,2,,,
95,b,18214782,960939,2,,,
96,e,2251842,960944,2,,,
97,a,1499754,960948,2,,,
98,a,23781664,960951,2,,,
99,a,12001051,960956,2,,,
100,e,1293269,960960,2,,,
101,a,4365113,960964,2,,,
102,b,2462520,960968,2,,,
103,e,11306132,960971,2,,,
104,c,2401851,960974,2,,,
105,b,2686488,960978,2,,,
106,b,3747881,960981,2,,,
107,b,5607708,960985,2,,,
108,d,4362170,960989,2,,,
109,b,17273063,960993,2,,,
110,b,28346190,960997,2,,,
111,c,129898,961001,2,,,
112,f,801886,961004,2,,,
113,f,131445971,961008,2,,,
114,b,16801492,961011,2,,,
115,f,16813469,961015,2,,,
116,b,409436,961019,2,,,
117,b,23673,961023,2,,,
118,e,674670,961026,2,,,
119,c,1726919,961030,2,,,
120,d,3089300,961033,2,,,
121,e,2298583,961036,2,,,
122,e,69713,961041,2,,,
123,e,8988097,961045,2,,,
124,e,38311,961048,2,,,
125,c,1229192,961051,2,,,
126,b,55829,961055,2,,,
127,a,16265970,961058,2,,,
128,a,835654,961062,2,,,
