job_id,model_name,duration,submit_time,num_gpu,,
0,b,5635991,0,1,,a
1,e,1079657,219316,4,,b
2,f,40093,251674,1,,c
3,f,1537674,251699,1,,d
4,d,31539,256418,1,,e
5,f,1687783,256458,1,,f
6,a,2431136,256459,1,,
7,e,64758,258863,1,,
8,c,55849,258886,1,,
9,b,176049,258888,1,,
10,b,1884978,259585,1,,
11,a,111295,259600,1,,
12,c,797918,259609,1,,
13,e,116418,262503,1,,
14,c,1618253,262517,1,,
15,f,199414,262523,1,,
16,a,1040073,268877,4,,
17,b,1326764,273432,4,,
18,c,47736,274530,4,,
19,c,5511053,276110,4,,
20,b,1089687,308826,1,,
21,c,118368,309095,1,,
22,a,71525,310067,1,,
23,f,2606365,310087,1,,
24,e,12538,328412,1,,
25,d,107198,328414,1,,
26,d,4105382,365624,4,,
27,d,2565908,368092,4,,
28,e,618929,396126,1,,
29,c,668384,409806,1,,
30,c,13818,409827,1,,
31,b,347419,420889,4,,
32,b,88089,438136,4,,
33,d,61553,445554,2,,
34,c,3175835,499454,1,,
35,f,20922066,519236,2,,
36,e,721418,552756,1,,
37,c,225135,559930,1,,
38,e,40709,571052,1,,
39,b,3161010,580807,2,,
40,d,11167541,587485,2,,
41,b,85789,595709,2,,
42,f,230703,667980,1,,
43,a,2501113,667990,1,,
44,c,31619143,693194,4,,
45,d,1520295,693196,4,,
46,e,11376803,714019,2,,
47,a,52448,977077,1,,
48,d,15381948,996104,2,,
49,c,110813,1070705,1,,
50,b,2004647,1070705,1,,
51,f,1433232,1070742,1,,
52,d,928457,1070743,1,,
53,a,13583,1085610,1,,
54,f,128478,1085610,1,,
55,a,11225,1088036,1,,
56,f,96043,1088037,1,,
57,d,998,1089801,4,,
58,d,1452,1090064,4,,
59,d,343830,1090067,4,,
60,a,91758,1094822,4,,
61,f,29356132,1108307,4,,
62,d,2324805,1122029,4,,
63,a,23560,1122645,4,,
64,e,2671,1122645,4,,
65,a,320502,1148546,1,,
66,a,14527,1148547,1,,
67,c,988926,1151950,1,,
68,b,2461634,1173713,2,,
69,a,12931591,1176018,4,,
70,e,1026738,1179128,4,,
71,f,136063,1184261,1,,
72,c,120242,1184265,1,,
73,d,404367,1196785,1,,
74,a,117837,1196788,1,,
75,c,19651592,1221987,4,,
76,d,1510037,1222004,4,,
77,a,1133135,1281443,1,,
78,d,1185490,1281444,1,,
79,c,298658,1282384,1,,
80,f,3371982,1282399,1,,
81,f,31198996,1305672,4,,
82,b,5710224,1307066,4,,
83,e,282514,1307455,1,,
84,d,2379237,1307455,1,,
85,f,2534203,1319234,4,,
86,b,100664,1322235,4,,
87,e,744860,1322761,1,,
88,f,2633893,1322761,1,,
89,e,2242693,1330834,4,,
90,f,20138019,1330843,4,,
91,e,247389,1362294,1,,
92,d,123139,1362333,1,,
93,a,1921573,1388103,4,,
94,d,21162365,1388150,4,,
95,b,2655258,1422424,2,,
96,e,1842965,1565365,4,,
97,c,2193609,1566328,2,,
98,a,1476057,1571362,1,,
99,a,1082355,1571375,1,,
100,f,932595,1571742,4,,
101,a,112931,1610864,1,,
102,e,247210,1610875,1,,
103,a,1151513,1630983,1,,
104,a,106717,1630997,1,,
105,c,56366,1631317,4,,
106,d,80669,1631322,4,,
107,b,20218,1647890,4,,
108,e,35930,1651211,4,,
109,e,1445086,1664217,1,,
110,f,959118,1664218,1,,
111,f,11831,1667778,1,,
112,b,70301,1667783,1,,
113,b,2546450,1687101,4,,
114,c,756238,1687106,4,,
115,f,8755596,1695296,4,,
116,e,59735,1695296,4,,
117,e,14951,1696457,1,,
118,a,412164,1696457,1,,
119,f,315404,1716607,1,,
120,b,1284455,1716609,1,,
121,a,8720351,1721528,4,,
122,e,100862,1722100,4,,
123,f,234469,1777206,4,,
124,c,1094,1777206,4,,
125,a,93280,1784253,1,,
126,b,9367,1784253,1,,
127,d,3408109,1819146,1,,
128,f,66985,1820628,1,,
129,d,9768011,1821515,4,,
130,e,393415,1821516,4,,
131,b,1472498,1847078,2,,
132,f,159145,1904135,1,,
133,c,7701,1904139,1,,
134,f,1556533,1905347,1,,
135,a,37488,1905356,1,,
136,d,1793075,1907469,1,,
137,f,70403,1907471,1,,
138,c,17239,1920806,4,,
139,b,378867,1922368,4,,
140,d,7228,1927711,4,,
141,e,4993,1927712,4,,
142,c,49034,1932851,4,,
143,b,416601,1936352,4,,
144,e,1171604,1942077,4,,
145,f,1139099,2013026,1,,
146,c,293181,2013046,1,,
147,f,1031251,2017157,1,,
148,c,716602,2017175,1,,
149,d,4838039,2036622,4,,
150,c,13287122,2036839,4,,
151,a,8217,2041079,4,,
152,f,292545,2041299,4,,
153,e,225891,2041865,1,,
154,b,124105,2041886,1,,
155,e,1823452,2042018,4,,
156,f,14150,2042018,4,,
157,b,65443,2042575,1,,
158,d,699368,2042593,1,,
159,e,12414,2042879,1,,
160,b,118282,2042954,1,,
161,e,66354,2059479,1,,
162,e,182235,2059484,1,,
163,e,73684,2062114,1,,
164,c,52907,2062114,1,,
165,e,276241,2063814,4,,
166,b,11708953,2097269,4,,
167,c,4580379,2161010,4,,
168,a,331152,2161010,4,,
169,e,105661,2161106,1,,
170,f,3665,2161107,1,,
171,c,135648,2161132,1,,
172,b,1624801,2161132,1,,
173,f,729279,2161425,1,,
174,b,3333,2161425,1,,
175,d,716793,2161666,1,,
176,b,291212,2161666,1,,
177,f,53851,2246046,4,,
178,c,5468282,2246734,4,,
179,e,8639520,2246734,4,,
180,c,3391988,2246791,4,,
181,f,36857,2246807,4,,
182,a,1101601,2246886,4,,
183,b,4882959,2246968,4,,
184,e,7914852,2247206,4,,
185,d,3361004,2247237,4,,
186,c,175225,2247257,1,,
187,f,1138610,2247257,1,,
188,b,221499,2247322,1,,
189,f,1073237,2247429,1,,
190,a,1558206,2248491,1,,
191,c,265616,2258973,1,,
192,e,6700091,2271389,4,,
193,e,818765,2271401,4,,
194,b,1476979,2272581,4,,
195,a,45672,2278490,4,,
196,c,2212199,2283834,4,,
197,b,17321448,2352993,4,,
198,d,155098,2352993,4,,
199,d,70842,2359902,4,,
200,c,124005,2360615,1,,
201,f,7975023,2360616,4,,
