job_id,model_name,duration,submit_time,num_gpu,,
0,d,5352613,0,4,,a
1,a,557847,1456,4,,b
2,f,981830,352430,4,,c
3,e,55459546,352712,4,,d
4,b,12092,512614,8,,e
5,c,603117,517969,8,,f
6,c,678351,533527,8,,
7,d,23731,542432,8,,
8,c,7992,589714,8,,
9,e,44831,665621,8,,
10,f,851490,665969,8,,
11,d,1586713,672805,8,,
12,e,14707597,672911,8,,
13,c,2052171,672933,8,,
14,c,29278374,672959,8,,
15,b,31494,680146,8,,
16,f,20732,680163,8,,
17,a,98305,773814,1,,
18,e,122450,895207,8,,
19,b,242481,929584,8,,
20,d,4575546,937052,32,,
21,a,259568,937075,32,,
22,b,165678,937097,32,,
23,d,179090,943298,1,,
24,d,116057,972336,8,,
25,c,995921,972341,8,,
26,f,8586536,972381,8,,
27,e,4106917,972384,8,,
28,d,2971674,972388,8,,
29,f,4885556,1198143,8,,
30,a,102959,1198165,8,,
31,c,8306106,1198187,8,,
32,a,79321,1198208,8,,
33,a,2064845,1198246,8,,
34,b,8428005,1202315,32,,
35,d,5112337,1202338,32,,
36,b,1549811,1202360,32,,
37,e,12495,1205035,8,,
38,c,2396,1207098,8,,
39,f,15269,1209098,8,,
40,e,96192,1212768,8,,
41,f,11874,1222021,4,,
42,d,544511,1273988,32,,
43,f,5067645,1274009,32,,
44,d,7973097,1274032,32,,
45,a,529696,1274054,32,,
46,c,6906966,1274076,32,,
47,d,6016,1288816,8,,
48,a,79361,1300065,8,,
49,a,95969,1300853,8,,
50,d,5880839,1315692,8,,
51,e,4713035,1316099,8,,
52,d,71077,1361647,8,,
53,d,844,1362087,8,,
54,d,7641,1363741,8,,
55,d,763,1366817,8,,
56,c,261255,1379050,32,,
57,c,25583,1379074,32,,
58,b,2800,1379974,8,,
59,e,357515,1382142,8,,
60,f,2539033,1383820,8,,
61,c,9656692,1383824,8,,
62,d,231329,1385826,8,,
63,c,309069,1387257,32,,
64,c,29043,1408253,8,,
65,d,19823,1435521,8,,
66,b,98920,1441858,8,,
67,e,279959,1441922,8,,
68,a,1729653,1447269,8,,
69,b,14451905,1448138,8,,
70,a,16902,1453262,8,,
71,b,22086,1457822,8,,
72,c,6541,1461874,8,,
73,c,2802083,1463016,8,,
74,c,815550,1463038,8,,
75,c,29560403,1463152,8,,
76,b,2200903,1463193,8,,
77,e,14947755,1463214,8,,
78,c,2632999,1466073,32,,
79,a,747780,1466095,32,,
80,e,13783969,1488829,8,,
81,f,28488597,1491324,8,,
82,e,62725,1499394,8,,
83,b,17046,1529623,8,,
84,a,21944792,1533742,8,,
85,f,15967,1536518,8,,
86,d,114851,1545400,8,,
87,c,5000012,1546505,8,,
88,d,6004767,1548807,32,,
89,a,588321,1548830,32,,
90,c,12021732,1548833,8,,
91,f,1638602,1548860,8,,
92,a,815752,1548882,8,,
93,e,10632795,1548919,8,,
94,f,24348750,1548940,8,,
95,d,14660619,1548982,8,,
96,d,2616158,1549002,8,,
97,c,1679036,1549769,8,,
98,c,8591394,1572361,8,,
99,f,7372645,1574758,2,,
100,c,343306,1741404,8,,
101,e,3484305,1784044,8,,
102,a,838001,1789807,8,,
103,e,11875326,1794916,8,,
104,c,862841,1811028,8,,
105,d,383237,1818396,8,,
106,f,850650,1933693,2,,
107,b,34404,1963257,8,,
108,f,21787,1968479,8,,
109,a,20095194,1971294,8,,
110,e,15155175,1971299,8,,
111,f,4811,1971303,8,,
112,d,508280,1976623,8,,
113,b,302993,1978758,8,,
114,f,198616,1984102,32,,
115,b,128223,1986862,16,,
116,d,2053,1987448,8,,
117,d,117801,1991832,8,,
118,b,1692621,2035614,8,,
119,f,3736508,2045080,8,,
120,d,942794,2045101,8,,
121,c,4179450,2052086,16,,
122,f,119244,2064450,8,,
123,b,724998,2078637,8,,
124,d,5613,2080187,1,,
125,c,32740,2092764,8,,
126,f,15165,2131377,8,,
127,d,32923458,2136227,8,,
128,e,205027,2159458,1,,
129,d,4148853,2161867,8,,
130,b,801493,2161892,8,,
131,e,228236,2168059,1,,
132,b,714768,2183382,1,,
133,c,1741,2187386,8,,
134,d,161807,2189193,8,,
135,d,388496,2190963,8,,
136,b,21338177,2191769,8,,
137,f,531848,2235058,8,,
138,f,1501079,2235061,8,,
139,b,36629486,2235070,8,,
140,f,42937,2235073,8,,
141,b,3528,2347736,1,,
142,d,117382,2352139,8,,
143,f,1023002,2352143,8,,
144,f,2540587,2352269,8,,
145,b,16275939,2352279,8,,
146,b,2577354,2352304,8,,
147,c,6914950,2387276,8,,
148,b,4854814,2398878,8,,
149,c,12547584,2399558,8,,
150,b,2072652,2443694,8,,
151,a,617,2533111,8,,
152,f,361022,2535022,8,,
153,c,287657,2561473,8,,
154,b,55345,2567407,8,,
155,e,15331493,2567954,8,,
156,f,7014,2569772,1,,
157,a,20434,2575861,1,,
158,d,263228,2575871,1,,
159,c,4885,2575880,1,,
160,a,33989,2575888,1,,
161,e,104731,2575898,1,,
162,d,53124,2575928,1,,
163,e,150983,2575937,1,,
164,a,140983,2575948,1,,
165,a,17340,2575958,1,,
166,a,723596,2575975,1,,
167,c,5237194,2647611,8,,
168,a,882633,2647617,8,,
169,c,3790918,2648019,8,,
170,b,131024,2648030,8,,
171,b,152512,2665170,8,,
172,d,1810240,2668028,8,,
173,c,1906541,2668371,8,,
174,e,7126,2671796,8,,
175,d,2213856,2672949,1,,
176,e,76743,2693483,8,,
177,c,100425,2739679,8,,
178,d,11057161,2739684,8,,
179,d,17557151,2739687,8,,
180,a,11859587,2763894,8,,
181,c,70345,2763952,8,,
182,d,714430,2763974,8,,
183,d,4698081,2764358,32,,
184,d,1043570,2808341,8,,
185,b,8032306,2959121,8,,
186,b,197479,2959239,32,,
187,f,77628,3000184,32,,
188,a,39085,3003988,32,,
189,a,4504690,3008241,32,,
190,e,12542049,3009761,8,,
191,e,7704688,3009764,8,,
192,d,13255445,3009768,8,,
193,c,1699941,3009771,8,,
194,b,2906856,3009781,8,,
195,b,117446,3009785,8,,
196,e,5180071,3009789,8,,
197,b,38215482,3009792,8,,
198,f,103183,3010664,8,,
199,b,189504,3021360,8,,
200,a,61377,3085485,1,,
201,d,764987,3173344,2,,
202,f,631,3184949,2,,
203,a,1133936,3188710,32,,
204,e,20692562,3188727,8,,
205,f,25404,3208775,8,,
206,e,3139722,3226969,32,,
207,d,6936414,3227452,8,,
208,e,621875,3227576,8,,
209,d,11146521,3267755,8,,
210,d,1090925,3267778,8,,
211,e,8534493,3267795,8,,
212,c,3742,3280677,1,,
213,f,32807,3302269,8,,
214,f,102014,3347678,1,,
215,d,17782,3347810,1,,
216,a,8574348,3385021,8,,
217,c,965825,3418308,8,,
218,e,302060,3625903,32,,
219,d,926726,3639937,8,,
220,f,7844728,3642869,8,,
221,f,5244198,3642919,8,,
222,b,3318511,3646247,8,,
223,c,1940,3694824,32,,
224,e,82914,3702669,32,,
225,f,59384,3723295,1,,
226,a,758712,3724758,8,,
227,e,3420788,3724810,8,,
228,f,44625,3780749,32,,
229,d,1133260,3799877,8,,
230,b,3617351,3799985,8,,
231,b,3679357,3814560,8,,
232,f,136900,3815828,8,,
233,b,5703,3869987,8,,
234,c,1035897,3930863,8,,
235,f,1048,3949328,8,,
236,a,288754,3950721,8,,
237,f,753139,3951467,8,,
238,d,45694,4031998,8,,
239,c,1659723,4035377,8,,
240,a,1664727,4037130,8,,
241,c,1197489,4039030,8,,
242,c,612866,4089062,1,,
243,a,496939,4095543,8,,
244,e,5225836,4095548,8,,
245,a,8464308,4095572,8,,
246,f,1659853,4095577,8,,
247,d,102597,4095598,8,,
248,b,3728300,4095603,8,,
249,d,6031064,4095722,32,,
250,f,9349521,4095727,32,,
251,d,26253,4199711,32,,
252,d,18621,4221357,1,,
253,e,2996875,4221911,1,,
