job_id,model_name,duration,submit_time,num_gpu,,
0,b,5928672,0,1,,a
1,d,618617,303,1,,b
2,a,1753170,328,1,,c
3,b,60779782,103680,1,,d
4,e,2628682,103686,1,,e
5,c,120142704,189282,1,,f
6,d,429152613,198471,1,,
7,a,14819240,198471,1,,
8,b,10709382,205455,1,,
9,c,9666571,274883,1,,
10,a,498646476,380602,1,,
11,b,19157460,380626,1,,
12,d,146466689,482808,1,,
13,f,19603787,482809,1,,
14,f,282857317,486181,1,,
15,f,33510749,486183,1,,
16,c,25340335,486268,1,,
17,e,33520669,486397,1,,
18,b,1181634,497648,1,,
19,e,45844560,542673,1,,
20,f,1545890,659108,1,,
21,a,86929,659244,4,,
22,c,51213,659689,1,,
23,d,29452560,666277,8,,
24,a,1452,677527,4,,
25,f,11986,677552,4,,
26,a,274221,681808,1,,
27,e,117229,681903,1,,
28,d,82225,681960,1,,
29,a,186359,682053,1,,
30,c,993,685458,4,,
31,d,1531541,691498,8,,
32,e,14912,691530,8,,
33,b,405683,691532,8,,
34,d,217092,698186,4,,
35,f,32281952,698322,1,,
36,f,9127836,698355,1,,
37,b,16121010,699280,1,,
38,a,192595,699991,1,,
39,e,1262672,700542,1,,
40,d,4506134,700736,1,,
41,a,656,702387,4,,
42,e,15218,707298,1,,
43,f,273115,731609,1,,
44,b,2451190,734387,8,,
45,b,402834,737715,1,,
46,e,17716778,743231,1,,
47,b,15029,752051,4,,
48,a,501634,756463,4,,
49,e,30986,758467,1,,
50,b,1205811,765496,8,,
51,a,395323,769898,1,,
52,a,245251,770107,1,,
53,b,2369,770107,1,,
54,b,28838,770166,1,,
55,b,2145,770172,1,,
56,d,567599,777378,1,,
57,c,767770,784329,1,,
58,b,451,784631,1,,
59,c,6670247,786835,1,,
60,b,64039299,786896,1,,
61,e,370678,788129,1,,
62,b,28219,788131,1,,
63,e,6581,790989,1,,
64,d,6141,791731,8,,
65,b,1108590,797846,1,,
66,f,84114,797852,1,,
67,d,9844540,798566,1,,
68,c,65465,828427,1,,
69,d,1925261,838439,1,,
70,e,8781616,850680,1,,
71,c,8775848,850680,1,,
72,d,7907813,851173,1,,
73,e,27318869,851193,1,,
74,d,7896431,853471,1,,
75,b,10998466,853473,1,,
76,e,15823,859912,1,,
77,c,104123,859942,1,,
78,c,130814,860177,1,,
79,c,27607,860230,1,,
80,a,2069982,863730,8,,
81,c,281002378,865675,1,,
82,c,2356155,886247,1,,
83,c,12274534,905711,1,,
84,c,4217964,914469,1,,
85,b,78255,914753,8,,
86,b,31030,916069,1,,
87,c,242451,916934,8,,
88,d,145841,919520,8,,
89,e,113475,920721,8,,
90,b,239866,925798,1,,
