job_id,model_name,duration,submit_time,num_gpu,,
0,e,16553419,0,1,,a
1,d,2693739,201694,8,,b
2,e,7635430,724670,8,,c
3,d,188749451,945683,1,,d
4,d,7835151,966542,1,,e
5,f,392891528,1245115,1,,f
6,f,458042975,1245337,1,,
7,f,15819506,1245348,1,,
8,b,13480812,1245386,1,,
9,f,28776753,1429823,8,,
10,e,392159634,1639747,1,,
11,e,21737258,1714609,1,,
12,b,147777212,1943248,1,,
13,b,20418941,1943781,1,,
14,e,295257571,1943786,1,,
15,b,34989907,1943792,1,,
16,e,26455762,1943802,1,,
17,f,34993152,1943808,1,,
18,f,1240822,1943813,1,,
19,d,53480615,1943819,1,,
20,e,90183855,1943835,1,,
21,d,10092765,1943846,1,,
22,e,5854815,1943851,1,,
23,b,222369295,1943861,1,,
24,e,1169067,1943873,1,,
25,a,10119920,1943885,1,,
26,b,90403637,1943901,1,,
27,e,34985762,1943907,1,,
28,c,26460528,1943923,1,,
29,e,62359670,1943927,1,,
30,b,1198009,1943932,1,,
31,c,100695350,1943937,1,,
32,f,988634,1943942,1,,
33,b,37943981,1943947,1,,
34,a,344249856,1943953,1,,
35,d,221628860,1943959,1,,
36,d,62385505,1943965,1,,
37,e,19683845,1943971,1,,
38,d,3484068,1945158,1,,
39,d,37823894,1945383,1,,
40,b,89597522,1945403,1,,
41,b,676417,1945408,1,,
42,d,20157236,1945418,1,,
43,f,208384152,1945454,1,,
44,d,341081875,1945464,1,,
45,d,16801373,1945474,1,,
46,f,243779821,1945483,1,,
47,a,5807674,1945499,1,,
48,a,134287646,1945503,1,,
49,f,10021787,1945509,1,,
50,a,219650984,1945514,1,,
51,e,157763317,1945520,1,,
52,c,99748414,1945545,1,,
53,c,1274308,1945550,1,,
54,b,11776992,1945555,1,,
55,f,1010437,2094682,8,,
56,f,8264266,2323019,1,,
57,a,795202,2324998,1,,
58,c,548137,2326954,1,,
59,c,128284135,2326970,1,,
60,d,53019317,2341107,1,,
61,c,444263695,2341194,1,,
62,e,20740797,2341233,1,,
63,c,8977195,2341283,1,,
64,f,1027112,2341345,1,,
65,a,16162395,2345983,1,,
66,b,929281,2348780,1,,
67,d,79862770,2352468,1,,
68,d,16199856,2353317,1,,
69,c,117124436,2353391,1,,
70,a,8911092,2353402,1,,
71,c,9006748,2353425,1,,
72,e,8115649,2353435,1,,
73,a,28030793,2353463,1,,
74,a,8115009,2353471,1,,
75,e,178138261,2353483,1,,
76,c,13585270,2353494,1,,
77,e,80672194,2353516,1,,
78,c,80653716,2353524,1,,
79,e,20586017,2353535,1,,
80,c,234038188,2353564,1,,
81,b,272836421,2353630,1,,
82,b,49436446,2353661,1,,
83,c,21195801,2353718,1,,
84,b,176129835,2354619,1,,
85,d,20919234,2357366,1,,
86,e,915880,2372731,1,,
87,b,48879883,2372737,1,,
88,f,174218133,2372744,1,,
89,f,20133364,2372749,1,,
90,f,174217161,2372756,1,,
91,c,26061094,2372761,1,,
92,b,7937697,2372766,1,,
93,b,70853534,2372773,1,,
