job_id,model_name,duration,submit_time,num_gpu,,
0,a,6720840,0,4,,a
1,b,460102,70024,8,,b
2,d,1924399,135296,4,,c
3,b,72814604,178298,4,,d
4,e,2919714,265278,4,,e
5,f,77242644,313422,4,,f
6,c,96206445,318554,8,,
7,d,3437211,318802,8,,
8,e,4793924,319542,8,,
9,e,10940552,319849,8,,
10,e,109946618,320203,16,,
11,a,5844722,323049,16,,
12,f,44047627,324143,8,,
13,c,6174342,324387,16,,
14,e,122067462,330439,8,,
15,c,7706762,394438,16,,
16,f,6052640,394610,16,,
17,a,8590190,394774,16,,
18,a,314827,394933,16,,
19,b,17483522,395522,8,,
20,a,44614058,395836,8,,
21,b,2158786,400593,16,,
22,e,1269666,400756,16,,
23,b,55188587,400914,16,,
24,e,286339,401067,16,,
25,b,2817446,401222,8,,
26,a,26137663,401376,8,,
27,d,11821307,401530,8,,
28,e,8607473,401681,8,,
29,a,13352064,504171,4,,
30,b,664666,573378,4,,
31,e,150856,664358,1,,
32,b,1262,664372,1,,
33,a,25499,664544,1,,
34,b,357308,664555,1,,
35,f,864146,674938,1,,
36,b,10022074,686170,4,,
37,e,4648901,686742,4,,
38,e,4284,737775,1,,
39,e,30813,737781,1,,
40,b,100144,737788,1,,
41,b,763,737793,1,,
42,e,25803,737803,1,,
43,e,228747,737808,1,,
44,b,501702,737814,1,,
45,b,26806,737821,1,,
46,f,358688,737830,1,,
47,f,5845,737837,1,,
48,f,161486,737844,1,,
49,a,11769,737849,1,,
50,f,292654,737855,1,,
51,b,213163,737861,1,,
52,d,133600,737868,1,,
53,d,1719,737875,1,,
54,c,18629,737884,1,,
55,e,1640,737891,1,,
56,e,10801,737896,1,,
57,c,1038,737902,1,,
58,a,1030,737907,1,,
59,b,190432,737912,1,,
60,d,133642,737918,1,,
61,f,437193,737924,1,,
62,b,42677,737934,1,,
63,b,14893,737941,1,,
64,a,1872,737946,1,,
65,d,38860,737952,1,,
66,b,1335,737957,1,,
67,f,150318,737962,1,,
68,a,23898,737967,1,,
69,e,250958,737973,1,,
70,b,9561,737984,1,,
71,a,7542,737989,1,,
72,f,6187,737996,1,,
73,f,31409,738002,1,,
74,d,8022,738019,1,,
75,c,206510,738025,1,,
76,d,15815,738038,1,,
77,b,89555,738049,1,,
78,a,75134,738069,1,,
79,c,19299,738082,1,,
80,e,214754,738097,1,,
81,e,238651,738103,1,,
82,e,54214,738116,1,,
83,b,18484,738129,1,,
84,e,191828,738137,1,,
85,b,15530,738153,1,,
86,d,934,738163,1,,
87,c,49065,738170,1,,
88,a,177255,738194,1,,
89,a,26896,738201,1,,
90,a,158255,738211,1,,
91,a,4066377,766066,4,,
92,c,1175141,766066,4,,
93,a,9441120,766066,4,,
94,e,9761889,766068,4,,
95,b,14831893,766070,4,,
96,e,5111195,766078,4,,
97,e,1618713,766093,4,,
98,b,10823397,766112,4,,
99,c,16279897,766117,4,,
100,a,3049919,780879,4,,
101,e,2276736,781010,4,,
102,b,7983990,782660,4,,
103,b,31840151,783187,4,,
104,a,2239657,784410,4,,
105,f,8470859,817779,4,,
106,e,7367835,817942,4,,
107,c,14021504,820095,4,,
108,a,15787430,820394,4,,
109,a,65975316,820530,4,,
110,f,37449297,820685,4,,
111,c,198482,820970,4,,
112,c,2003388,821081,4,,
113,d,48000525,842377,4,,
114,b,160584,854174,8,,
115,a,159557,854174,8,,
116,e,1560,854211,8,,
117,f,1690,854694,8,,
118,d,46749,854728,8,,
119,f,30509,855109,8,,
120,c,81335,855115,8,,
121,f,108620,855118,8,,
122,d,1943,857621,8,,
123,c,368868,857634,8,,
124,f,1643,857638,8,,
125,c,10891169,857704,8,,
126,a,866683,857742,8,,
127,f,198267159,857759,8,,
128,e,9909,857760,8,,
129,e,28392262,857791,8,,
130,b,4460081,857974,4,,
131,b,1775226,861361,8,,
132,f,1042157,861366,8,,
133,f,56594,869026,8,,
134,f,9076980,869029,8,,
135,d,714192,905181,4,,
136,c,27870424,948297,4,,
137,e,647637,960177,4,,
138,d,755528,960874,8,,
139,f,15406220,962031,8,,
140,b,2237,962109,4,,
141,e,58454,962888,4,,
142,e,64504,963205,8,,
143,a,559503,963492,8,,
144,b,2185298,963852,4,,
145,d,4442056,964317,8,,
146,a,1124484,964711,8,,
147,b,7758294,965019,4,,
148,f,3419853,965420,8,,
149,e,18847280,965719,8,,
150,a,3616777,995729,8,,
151,f,16713,995735,8,,
152,c,626408,995747,8,,
153,e,500066,995749,8,,
154,c,237198,995886,8,,
155,d,134145,995891,8,,
156,f,31147,996355,8,,
157,d,141971,996356,8,,
158,b,506164,996359,8,,
159,f,60711,996533,8,,
160,f,669565,996544,8,,
161,c,913602,996548,8,,
162,a,2192473,1019104,4,,
163,c,7780477,1019109,4,,
164,d,3459244,1019170,4,,
165,d,640820,1019194,4,,
166,f,18624048,1019195,4,,
167,c,18644685,1019219,4,,
168,b,5865900,1039080,4,,
169,c,1678454,1047350,8,,
170,f,58090,1047356,8,,
171,d,670744,1047360,8,,
172,d,203667,1047379,8,,
173,c,3020902,1047390,8,,
174,e,28603,1047391,8,,
175,b,283478,1047393,8,,
176,b,2502374,1047404,8,,
177,d,1459,1047409,8,,
178,d,5912297,1096057,8,,
179,f,197355070,1096070,8,,
180,d,3218138,1096082,8,,
181,c,478553,1096098,8,,
182,a,15199256,1096114,8,,
183,a,28491555,1096116,8,,
184,f,4301158,1178856,8,,
185,f,4707526,1178858,8,,
186,f,360937,1178859,8,,
187,a,7454984,1178860,8,,
188,f,1239250,1178874,8,,
189,c,1656241,1178884,8,,
190,c,4135277,1304037,8,,
191,c,6878598,1304039,8,,
192,b,12172306,1304040,8,,
193,f,547546,1304054,8,,
194,a,16260968,1343095,4,,
195,a,199014,1449863,16,,
196,a,731170,1449967,16,,
197,a,80921890,1450073,8,,
198,a,237766,1450142,8,,
199,e,50261,1511967,4,,
200,c,943475,1512239,4,,
201,c,69038295,1530230,4,,
202,b,361781,1530394,4,,
203,f,56328258,1550385,16,,
204,c,78515583,1551062,16,,
205,a,1229518,1557968,16,,
206,f,31656478,1557984,16,,
207,b,21818421,1558001,16,,
208,b,2325818,1558015,16,,
209,e,19277672,1613397,4,,
210,d,3554000,1627770,4,,
211,e,742697,1631004,4,,
212,f,4444,1631007,4,,
213,b,2434032,1631022,4,,
214,a,2335315,1631035,4,,
215,c,407394,1631039,4,,
216,a,3692544,1631050,4,,
217,c,23955602,1631051,4,,
218,e,2195709,1631067,4,,
219,c,126105,1631071,4,,
220,e,1007480,1631077,4,,
221,a,658378,1631083,4,,
222,a,6761534,1631085,4,,
223,a,7004,1631550,4,,
224,f,1294205,1631552,4,,
225,b,95644,1631555,4,,
226,b,656545,1631555,4,,
227,a,2211715,1631556,4,,
228,f,159019,1631570,4,,
229,c,386555,1631586,4,,
230,f,691051,1631600,4,,
231,f,3872230,1631618,4,,
232,b,383052,1632632,8,,
233,f,483456,1632658,8,,
234,d,36362033,1632724,8,,
235,e,761,1632770,8,,
236,a,42966982,1641711,8,,
237,d,4893469,1641723,8,,
238,d,487579,1641745,8,,
239,c,17184000,1641757,8,,
240,c,5904651,1646305,2,,
241,b,4244887,1646306,2,,
242,e,48715766,1646329,2,,
243,f,986445,1646494,2,,
244,e,10282698,1646496,2,,
245,c,14927798,1646501,2,,
246,d,2799272,1646505,2,,
247,a,163263,1646510,2,,
248,d,16769117,1687837,8,,
249,b,49267558,1687837,8,,
250,e,603834605,1687855,8,,
251,b,462086,1687883,8,,
252,f,719180,1687886,8,,
253,c,31393029,1688640,2,,
254,b,61895184,1688643,2,,
255,b,4479073,1688722,2,,
256,f,108608,1729967,8,,
257,d,2729632,1730048,8,,
258,d,1888420,1730062,8,,
259,d,245422,1767582,4,,
260,f,630453,1769033,4,,
261,e,34552,1770330,4,,
262,b,236736,1770381,2,,
263,f,1228,1770396,2,,
264,f,167469,1770401,2,,
265,e,17766,1770407,2,,
266,f,1343,1770430,2,,
267,e,104123,1770433,2,,
268,e,26672,1770435,2,,
269,b,1326,1770441,2,,
270,b,127530,1770447,4,,
271,e,224969,1770478,2,,
272,a,10772,1770525,4,,
273,d,64874,1770534,4,,
274,a,11968,1770574,4,,
275,f,120448,1774471,4,,
276,f,29696729,1774474,4,,
277,d,1429261,1774638,4,,
278,f,2006482,1774640,4,,
279,a,2829884,1774667,4,,
280,f,21866,1774669,4,,
281,f,2107672,1774670,4,,
282,d,8874936,1774802,4,,
283,d,15317,1774804,4,,
284,c,7424539,1774804,4,,
285,a,2332841,1774822,4,,
286,b,80916,1774829,4,,
287,f,23687,1819445,8,,
288,e,10001,1819598,8,,
289,a,20282,1822810,8,,
290,e,52243,1822816,8,,
291,a,268069,1822827,8,,
292,d,1238138,1822851,8,,
293,e,1959376,1822860,8,,
294,c,36050484,1822866,8,,
